ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
23.02.2026,АДА,14327
23.02.2026,АЛЕКСАНДРОВАЦ,20809
23.02.2026,АЛЕКСИНАЦ,39390
23.02.2026,АЛИБУНАР,16727
23.02.2026,АПАТИН,23537
23.02.2026,АРАНЂЕЛОВАЦ,36796
23.02.2026,АРИЉЕ,14778
23.02.2026,БАБУШНИЦА,8001
23.02.2026,БАЈИНА БАШТА,21470
23.02.2026,БАТОЧИНА,9656
23.02.2026,БАЧ,11861
23.02.2026,БАЧКА ПАЛАНКА,44581
23.02.2026,БАЧКА ТОПОЛА,26838
23.02.2026,БАЧКИ ПЕТРОВАЦ,11617
23.02.2026,БЕЛА ПАЛАНКА,8330
23.02.2026,БЕЛА ЦРКВА,15463
23.02.2026,БЕОГРАД-БАРАЈЕВО,23887
23.02.2026,БЕОГРАД-ВОЖДОВАЦ,162636
23.02.2026,БЕОГРАД-ВРАЧАР,62948
23.02.2026,БЕОГРАД-ГРОЦКА,73539
23.02.2026,БЕОГРАД-ЗВЕЗДАРА,163632
23.02.2026,БЕОГРАД-ЗЕМУН,170612
23.02.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49728
23.02.2026,БЕОГРАД-МЛАДЕНОВАЦ,45152
23.02.2026,БЕОГРАД-НОВИ БЕОГРАД,202468
23.02.2026,БЕОГРАД-ОБРЕНОВАЦ,64173
23.02.2026,БЕОГРАД-ПАЛИЛУЛА,175024
23.02.2026,БЕОГРАД-РАКОВИЦА,99011
23.02.2026,БЕОГРАД-САВСКИ ВЕНАЦ,40868
23.02.2026,БЕОГРАД-СОПОТ,17304
23.02.2026,БЕОГРАД-СТАРИ ГРАД,52994
23.02.2026,БЕОГРАД-СУРЧИН,40792
23.02.2026,БЕОГРАД-ЧУКАРИЦА,163157
23.02.2026,БЕОЧИН,13286
23.02.2026,БЕЧЕЈ,30620
23.02.2026,БЛАЦЕ,8216
23.02.2026,БОГАТИЋ,23864
23.02.2026,БОЈНИК,8091
23.02.2026,БОЉЕВАЦ,9462
23.02.2026,БОР - ГРАД,38523
23.02.2026,БОСИЛЕГРАД,7035
23.02.2026,БРУС,12372
23.02.2026,БУЈАНОВАЦ,43944
23.02.2026,ВАЉЕВО - ГРАД,74421
23.02.2026,ВАРВАРИН,14626
23.02.2026,ВЕЛИКА ПЛАНА,35045
23.02.2026,ВЕЛИКО ГРАДИШТЕ,18691
23.02.2026,ВИТИНА,2468
23.02.2026,ВЛАДИМИРЦИ,13566
23.02.2026,ВЛАДИЧИН ХАН,15909
23.02.2026,ВЛАСОТИНЦЕ,22495
23.02.2026,ВРАЊЕ - ГРАД,59804
23.02.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7895
23.02.2026,ВРБАС,33519
23.02.2026,ВРЊАЧКА БАЊА,23474
23.02.2026,ВРШАЦ - ГРАД,43620
23.02.2026,ВУЧИТРН,3637
23.02.2026,ГАЏИН ХАН,5330
23.02.2026,ГЊИЛАНЕ,7913
23.02.2026,ГОЛУБАЦ,7899
23.02.2026,ГОРА,6923
23.02.2026,ГОРЊИ МИЛАНОВАЦ,34302
23.02.2026,ДЕСПОТОВАЦ,21258
23.02.2026,ДИМИТРОВГРАД,7770
23.02.2026,ДОЉЕВАЦ,13719
23.02.2026,ЖАБАЉ,21142
23.02.2026,ЖАБАРИ,11046
23.02.2026,ЖАГУБИЦА,10323
23.02.2026,ЖИТИШТЕ,13374
23.02.2026,ЖИТОРАЂА,11764
23.02.2026,ЗАЈЕЧАР - ГРАД,47003
23.02.2026,ЗВЕЧАН,5547
23.02.2026,ЗРЕЊАНИН - ГРАД,98337
23.02.2026,ЗУБИН ПОТОК,4314
23.02.2026,ИВАЊИЦА,24197
23.02.2026,ИНЂИЈА,40539
23.02.2026,ИРИГ,8979
23.02.2026,ИСТОК,3132
23.02.2026,ЈАГОДИНА - ГРАД,63511
23.02.2026,КАЊИЖА,20740
23.02.2026,КИКИНДА - ГРАД,46039
23.02.2026,КЛАДОВО,21083
23.02.2026,КЛИНА,1933
23.02.2026,КНИЋ,10304
23.02.2026,КЊАЖЕВАЦ,22249
23.02.2026,КОВАЧИЦА,20817
23.02.2026,КОВИН,27219
23.02.2026,КОСЈЕРИЋ,8839
23.02.2026,КОСОВО ПОЉЕ,4909
23.02.2026,КОСОВСКА КАМЕНИЦА,6287
23.02.2026,КОСОВСКА МИТРОВИЦА,14816
23.02.2026,КОЦЕЉЕВА,10396
23.02.2026,КРАГУЈЕВАЦ - ГРАД,152566
23.02.2026,КРАЉЕВО - ГРАД,98042
23.02.2026,КРУПАЊ,12661
23.02.2026,КРУШЕВАЦ - ГРАД,103808
23.02.2026,КУЛА,33277
23.02.2026,КУРШУМЛИЈА,13599
23.02.2026,КУЧЕВО,15298
23.02.2026,ЛАЈКОВАЦ,11282
23.02.2026,ЛАПОВО,6406
23.02.2026,ЛЕБАНЕ,16401
23.02.2026,ЛЕПОСАВИЋ,9076
23.02.2026,ЛЕСКОВАЦ - ГРАД,112570
23.02.2026,ЛИПЉАН,6038
23.02.2026,ЛОЗНИЦА - ГРАД,76475
23.02.2026,ЛУЧАНИ,14632
23.02.2026,ЉИГ,8445
23.02.2026,ЉУБОВИЈА,13184
23.02.2026,МАЈДАНПЕК,15431
23.02.2026,МАЛИ ЗВОРНИК,16214
23.02.2026,МАЛИ ИЂОШ,9803
23.02.2026,МАЛО ЦРНИЋЕ,11586
23.02.2026,МЕДВЕЂА,5980
