ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
13.04.2026,АДА,14317
13.04.2026,АЛЕКСАНДРОВАЦ,20737
13.04.2026,АЛЕКСИНАЦ,39313
13.04.2026,АЛИБУНАР,16704
13.04.2026,АПАТИН,23503
13.04.2026,АРАНЂЕЛОВАЦ,36800
13.04.2026,АРИЉЕ,14758
13.04.2026,БАБУШНИЦА,7985
13.04.2026,БАЈИНА БАШТА,21433
13.04.2026,БАТОЧИНА,9666
13.04.2026,БАЧ,11842
13.04.2026,БАЧКА ПАЛАНКА,44517
13.04.2026,БАЧКА ТОПОЛА,26765
13.04.2026,БАЧКИ ПЕТРОВАЦ,11633
13.04.2026,БЕЛА ПАЛАНКА,8313
13.04.2026,БЕЛА ЦРКВА,15415
13.04.2026,БЕОГРАД-БАРАЈЕВО,23965
13.04.2026,БЕОГРАД-ВОЖДОВАЦ,162767
13.04.2026,БЕОГРАД-ВРАЧАР,62947
13.04.2026,БЕОГРАД-ГРОЦКА,73609
13.04.2026,БЕОГРАД-ЗВЕЗДАРА,163928
13.04.2026,БЕОГРАД-ЗЕМУН,170724
13.04.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49684
13.04.2026,БЕОГРАД-МЛАДЕНОВАЦ,45137
13.04.2026,БЕОГРАД-НОВИ БЕОГРАД,202375
13.04.2026,БЕОГРАД-ОБРЕНОВАЦ,64194
13.04.2026,БЕОГРАД-ПАЛИЛУЛА,175187
13.04.2026,БЕОГРАД-РАКОВИЦА,98949
13.04.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41046
13.04.2026,БЕОГРАД-СОПОТ,17318
13.04.2026,БЕОГРАД-СТАРИ ГРАД,52961
13.04.2026,БЕОГРАД-СУРЧИН,40855
13.04.2026,БЕОГРАД-ЧУКАРИЦА,163144
13.04.2026,БЕОЧИН,13290
13.04.2026,БЕЧЕЈ,30503
13.04.2026,БЛАЦЕ,8195
13.04.2026,БОГАТИЋ,23825
13.04.2026,БОЈНИК,8062
13.04.2026,БОЉЕВАЦ,9439
13.04.2026,БОР - ГРАД,38428
13.04.2026,БОСИЛЕГРАД,7015
13.04.2026,БРУС,12347
13.04.2026,БУЈАНОВАЦ,44055
13.04.2026,ВАЉЕВО - ГРАД,74383
13.04.2026,ВАРВАРИН,14604
13.04.2026,ВЕЛИКА ПЛАНА,34996
13.04.2026,ВЕЛИКО ГРАДИШТЕ,18668
13.04.2026,ВИТИНА,2441
13.04.2026,ВЛАДИМИРЦИ,13545
13.04.2026,ВЛАДИЧИН ХАН,15889
13.04.2026,ВЛАСОТИНЦЕ,22464
13.04.2026,ВРАЊЕ - ГРАД,59796
13.04.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7890
13.04.2026,ВРБАС,33478
13.04.2026,ВРЊАЧКА БАЊА,23539
13.04.2026,ВРШАЦ - ГРАД,43566
13.04.2026,ВУЧИТРН,3623
13.04.2026,ГАЏИН ХАН,5313
13.04.2026,ГЊИЛАНЕ,7926
13.04.2026,ГОЛУБАЦ,7880
13.04.2026,ГОРА,6919
13.04.2026,ГОРЊИ МИЛАНОВАЦ,34242
13.04.2026,ДЕСПОТОВАЦ,21209
13.04.2026,ДИМИТРОВГРАД,7753
13.04.2026,ДОЉЕВАЦ,13720
13.04.2026,ЖАБАЉ,21140
13.04.2026,ЖАБАРИ,11039
13.04.2026,ЖАГУБИЦА,10285
13.04.2026,ЖИТИШТЕ,13339
13.04.2026,ЖИТОРАЂА,11764
13.04.2026,ЗАЈЕЧАР - ГРАД,46934
13.04.2026,ЗВЕЧАН,5525
13.04.2026,ЗРЕЊАНИН - ГРАД,98234
13.04.2026,ЗУБИН ПОТОК,4307
13.04.2026,ИВАЊИЦА,24160
13.04.2026,ИНЂИЈА,40522
13.04.2026,ИРИГ,8982
13.04.2026,ИСТОК,3098
13.04.2026,ЈАГОДИНА - ГРАД,63481
13.04.2026,КАЊИЖА,20708
13.04.2026,КИКИНДА - ГРАД,45960
13.04.2026,КЛАДОВО,21066
13.04.2026,КЛИНА,1919
13.04.2026,КНИЋ,10276
13.04.2026,КЊАЖЕВАЦ,22247
13.04.2026,КОВАЧИЦА,20791
13.04.2026,КОВИН,27203
13.04.2026,КОСЈЕРИЋ,8831
13.04.2026,КОСОВО ПОЉЕ,4895
13.04.2026,КОСОВСКА КАМЕНИЦА,6272
13.04.2026,КОСОВСКА МИТРОВИЦА,14808
13.04.2026,КОЦЕЉЕВА,10379
13.04.2026,КРАГУЈЕВАЦ - ГРАД,152484
13.04.2026,КРАЉЕВО - ГРАД,97949
13.04.2026,КРУПАЊ,12624
13.04.2026,КРУШЕВАЦ - ГРАД,103720
13.04.2026,КУЛА,33252
13.04.2026,КУРШУМЛИЈА,13567
13.04.2026,КУЧЕВО,15273
13.04.2026,ЛАЈКОВАЦ,11269
13.04.2026,ЛАПОВО,6401
13.04.2026,ЛЕБАНЕ,16366
13.04.2026,ЛЕПОСАВИЋ,9031
13.04.2026,ЛЕСКОВАЦ - ГРАД,112470
13.04.2026,ЛИПЉАН,6032
13.04.2026,ЛОЗНИЦА - ГРАД,76489
13.04.2026,ЛУЧАНИ,14623
13.04.2026,ЉИГ,8456
13.04.2026,ЉУБОВИЈА,13158
13.04.2026,МАЈДАНПЕК,15386
13.04.2026,МАЛИ ЗВОРНИК,16190
13.04.2026,МАЛИ ИЂОШ,9788
13.04.2026,МАЛО ЦРНИЋЕ,11557
13.04.2026,МЕДВЕЂА,5974
13.04.2026,МЕРОШИНА,9714
13.04.2026,МИОНИЦА,10624
13.04.2026,НЕГОТИН,35474
13.04.2026,НИШ-МЕДИЈАНА,76489
13.04.2026,НИШ-НИШКА БАЊА,11567
13.04.2026,НИШ-ПАЛИЛУЛА,63218
13.04.2026,НИШ-ПАНТЕЛЕЈ,46321
13.04.2026,НИШ-ЦРВЕНИ КРСТ,29296
13.04.2026,НОВА ВАРОШ,12158
13.04.2026,НОВА ЦРЊА,7761
13.04.2026,НОВИ БЕЧЕЈ,18157
13.04.2026,НОВИ КНЕЖЕВАЦ,8325
13.04.2026,НОВИ ПАЗАР - ГРАД,94193
13.04.2026,НОВИ САД - ГРАД,343650
13.04.2026,НОВО БРДО,962
13.04.2026,ОБИЛИЋ,3580
13.04.2026,ОПОВО,7993
13.04.2026,ОРАХОВАЦ,1555
13.04.2026,ОСЕЧИНА,8925
13.04.2026,ОЏАЦИ,23365
13.04.2026,ПАНЧЕВО - ГРАД,106184
