ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
20.04.2026,26.04.2026,АДА,Упис по основу стицања пунолетства,1
20.04.2026,26.04.2026,АДА,Упис по основу пријаве пребивалишта,2
20.04.2026,26.04.2026,АДА,Промена адресе пребивалишта,4
20.04.2026,26.04.2026,АДА,Брисање по основу одјаве пребивалишта,2
20.04.2026,26.04.2026,АДА,Брисање по основу смрти лица,10
20.04.2026,26.04.2026,АДА,Брисање по службеној дужности,1
20.04.2026,26.04.2026,АЛЕКСАНДРОВАЦ,Упис по основу стицања пунолетства,5
20.04.2026,26.04.2026,АЛЕКСАНДРОВАЦ,Упис по основу пријаве пребивалишта,2
20.04.2026,26.04.2026,АЛЕКСАНДРОВАЦ,Промена личних података,2
20.04.2026,26.04.2026,АЛЕКСАНДРОВАЦ,Промена адресе пребивалишта,9
20.04.2026,26.04.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,1
20.04.2026,26.04.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,4
20.04.2026,26.04.2026,АЛЕКСАНДРОВАЦ,Брисање по службеној дужности,2
20.04.2026,26.04.2026,АЛЕКСАНДРОВАЦ,Упис по основу последњег пребивалишта,1
20.04.2026,26.04.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,9
20.04.2026,26.04.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,9
20.04.2026,26.04.2026,АЛЕКСИНАЦ,Промена личних података,10
20.04.2026,26.04.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,67
20.04.2026,26.04.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,5
20.04.2026,26.04.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,15
20.04.2026,26.04.2026,АЛИБУНАР,Упис по основу стицања пунолетства,2
20.04.2026,26.04.2026,АЛИБУНАР,Упис по основу пријаве пребивалишта,4
20.04.2026,26.04.2026,АЛИБУНАР,Промена личних података,2
20.04.2026,26.04.2026,АЛИБУНАР,Промена адресе пребивалишта,7
20.04.2026,26.04.2026,АЛИБУНАР,Брисање по основу одјаве пребивалишта,7
20.04.2026,26.04.2026,АЛИБУНАР,Брисање по основу смрти лица,3
20.04.2026,26.04.2026,АЛИБУНАР,Исправка техничке грешке,1
20.04.2026,26.04.2026,АПАТИН,Упис по основу стицања пунолетства,2
20.04.2026,26.04.2026,АПАТИН,Упис по основу пријаве пребивалишта,3
20.04.2026,26.04.2026,АПАТИН,Промена личних података,4
20.04.2026,26.04.2026,АПАТИН,Промена адресе пребивалишта,7
