ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
22.06.2026,АДА,14299
22.06.2026,АЛЕКСАНДРОВАЦ,20684
22.06.2026,АЛЕКСИНАЦ,39232
22.06.2026,АЛИБУНАР,16700
22.06.2026,АПАТИН,23475
22.06.2026,АРАНЂЕЛОВАЦ,36812
22.06.2026,АРИЉЕ,14764
22.06.2026,БАБУШНИЦА,7948
22.06.2026,БАЈИНА БАШТА,21401
22.06.2026,БАТОЧИНА,9659
22.06.2026,БАЧ,11815
22.06.2026,БАЧКА ПАЛАНКА,44465
22.06.2026,БАЧКА ТОПОЛА,26681
22.06.2026,БАЧКИ ПЕТРОВАЦ,11630
22.06.2026,БЕЛА ПАЛАНКА,8289
22.06.2026,БЕЛА ЦРКВА,15400
22.06.2026,БЕОГРАД-БАРАЈЕВО,24034
22.06.2026,БЕОГРАД-ВОЖДОВАЦ,162878
22.06.2026,БЕОГРАД-ВРАЧАР,62971
22.06.2026,БЕОГРАД-ГРОЦКА,73711
22.06.2026,БЕОГРАД-ЗВЕЗДАРА,164293
22.06.2026,БЕОГРАД-ЗЕМУН,170989
22.06.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49671
22.06.2026,БЕОГРАД-МЛАДЕНОВАЦ,45199
22.06.2026,БЕОГРАД-НОВИ БЕОГРАД,202379
22.06.2026,БЕОГРАД-ОБРЕНОВАЦ,64229
22.06.2026,БЕОГРАД-ПАЛИЛУЛА,175531
22.06.2026,БЕОГРАД-РАКОВИЦА,99014
22.06.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41133
22.06.2026,БЕОГРАД-СОПОТ,17325
22.06.2026,БЕОГРАД-СТАРИ ГРАД,52960
22.06.2026,БЕОГРАД-СУРЧИН,40969
22.06.2026,БЕОГРАД-ЧУКАРИЦА,163113
22.06.2026,БЕОЧИН,13287
22.06.2026,БЕЧЕЈ,30472
22.06.2026,БЛАЦЕ,8175
22.06.2026,БОГАТИЋ,23816
22.06.2026,БОЈНИК,8046
22.06.2026,БОЉЕВАЦ,9403
22.06.2026,БОР - ГРАД,38324
22.06.2026,БОСИЛЕГРАД,6996
22.06.2026,БРУС,12312
22.06.2026,БУЈАНОВАЦ,44167
22.06.2026,ВАЉЕВО - ГРАД,74265
22.06.2026,ВАРВАРИН,14581
22.06.2026,ВЕЛИКА ПЛАНА,34970
22.06.2026,ВЕЛИКО ГРАДИШТЕ,18679
22.06.2026,ВИТИНА,2426
22.06.2026,ВЛАДИМИРЦИ,13546
22.06.2026,ВЛАДИЧИН ХАН,15840
22.06.2026,ВЛАСОТИНЦЕ,22400
22.06.2026,ВРАЊЕ - ГРАД,59734
22.06.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7890
22.06.2026,ВРБАС,33439
22.06.2026,ВРЊАЧКА БАЊА,23500
22.06.2026,ВРШАЦ - ГРАД,43551
22.06.2026,ВУЧИТРН,3609
22.06.2026,ГАЏИН ХАН,5284
22.06.2026,ГЊИЛАНЕ,8034
22.06.2026,ГОЛУБАЦ,7855
22.06.2026,ГОРА,6908
22.06.2026,ГОРЊИ МИЛАНОВАЦ,34219
22.06.2026,ДЕСПОТОВАЦ,21155
22.06.2026,ДИМИТРОВГРАД,7739
22.06.2026,ДОЉЕВАЦ,13680
22.06.2026,ЖАБАЉ,21105
22.06.2026,ЖАБАРИ,11027
22.06.2026,ЖАГУБИЦА,10278
22.06.2026,ЖИТИШТЕ,13315
22.06.2026,ЖИТОРАЂА,11743
22.06.2026,ЗАЈЕЧАР - ГРАД,46850
22.06.2026,ЗВЕЧАН,5506
22.06.2026,ЗРЕЊАНИН - ГРАД,98157
22.06.2026,ЗУБИН ПОТОК,4297
22.06.2026,ИВАЊИЦА,24101
22.06.2026,ИНЂИЈА,40529
22.06.2026,ИРИГ,8977
22.06.2026,ИСТОК,3066
22.06.2026,ЈАГОДИНА - ГРАД,63488
22.06.2026,КАЊИЖА,20672
22.06.2026,КИКИНДА - ГРАД,45832
22.06.2026,КЛАДОВО,21065
22.06.2026,КЛИНА,1897
22.06.2026,КНИЋ,10262
22.06.2026,КЊАЖЕВАЦ,22201
22.06.2026,КОВАЧИЦА,20770
22.06.2026,КОВИН,27175
22.06.2026,КОСЈЕРИЋ,8802
22.06.2026,КОСОВО ПОЉЕ,4866
22.06.2026,КОСОВСКА КАМЕНИЦА,6233
22.06.2026,КОСОВСКА МИТРОВИЦА,14751
22.06.2026,КОЦЕЉЕВА,10351
22.06.2026,КРАГУЈЕВАЦ - ГРАД,152670
22.06.2026,КРАЉЕВО - ГРАД,97946
22.06.2026,КРУПАЊ,12608
22.06.2026,КРУШЕВАЦ - ГРАД,103728
22.06.2026,КУЛА,33181
22.06.2026,КУРШУМЛИЈА,13523
22.06.2026,КУЧЕВО,15241
22.06.2026,ЛАЈКОВАЦ,11251
22.06.2026,ЛАПОВО,6397
22.06.2026,ЛЕБАНЕ,16342
22.06.2026,ЛЕПОСАВИЋ,8971
22.06.2026,ЛЕСКОВАЦ - ГРАД,112337
22.06.2026,ЛИПЉАН,6019
22.06.2026,ЛОЗНИЦА - ГРАД,76554
22.06.2026,ЛУЧАНИ,14598
22.06.2026,ЉИГ,8435
22.06.2026,ЉУБОВИЈА,13078
22.06.2026,МАЈДАНПЕК,15330
22.06.2026,МАЛИ ЗВОРНИК,16132
22.06.2026,МАЛИ ИЂОШ,9793
22.06.2026,МАЛО ЦРНИЋЕ,11537
22.06.2026,МЕДВЕЂА,5972
22.06.2026,МЕРОШИНА,9701
22.06.2026,МИОНИЦА,10619
22.06.2026,НЕГОТИН,35420
22.06.2026,НИШ-МЕДИЈАНА,76503
22.06.2026,НИШ-НИШКА БАЊА,11549
22.06.2026,НИШ-ПАЛИЛУЛА,63283
22.06.2026,НИШ-ПАНТЕЛЕЈ,46417
22.06.2026,НИШ-ЦРВЕНИ КРСТ,29299
22.06.2026,НОВА ВАРОШ,12113
22.06.2026,НОВА ЦРЊА,7737
22.06.2026,НОВИ БЕЧЕЈ,18136
22.06.2026,НОВИ КНЕЖЕВАЦ,8285
22.06.2026,НОВИ ПАЗАР - ГРАД,94479
22.06.2026,НОВИ САД - ГРАД,344259
22.06.2026,НОВО БРДО,956
22.06.2026,ОБИЛИЋ,3560
22.06.2026,ОПОВО,7977
22.06.2026,ОРАХОВАЦ,1545
22.06.2026,ОСЕЧИНА,8886
22.06.2026,ОЏАЦИ,23346
22.06.2026,ПАНЧЕВО - ГРАД,106233
22.06.2026,ПАРАЋИН,45549
22.06.2026,ПЕТРОВАЦ НА МЛАВИ,30606
22.06.2026,ПЕЋ,3906
22.06.2026,ПЕЋИНЦИ,15500
22.06.2026,ПИРОТ - ГРАД,44377
22.06.2026,ПЛАНДИШТЕ,8279
22.06.2026,ПОДУЈЕВО,407
22.06.2026,ПОЖАРЕВАЦ,56898
22.06.2026,ПОЖАРЕВАЦ-КОСТОЛАЦ,11342
22.06.2026,ПОЖЕГА,22479
22.06.2026,ПРЕШЕВО,44260
22.06.2026,ПРИБОЈ,26677
22.06.2026,ПРИЗРЕН,4582
22.06.2026,ПРИЈЕПОЉЕ,31579
22.06.2026,ПРИШТИНА - ГРАД,13818
22.06.2026,ПРОКУПЉЕ - ГРАД,35371
22.06.2026,РАЖАЊ,5913
22.06.2026,РАЧА,8918
22.06.2026,РАШКА,19558
22.06.2026,РЕКОВАЦ,7848
22.06.2026,РУМА,45260
22.06.2026,СВИЛАЈНАЦ,23454
22.06.2026,СВРЉИГ,9829
22.06.2026,СЕНТА,19356
22.06.2026,СЕЧАЊ,10155
22.06.2026,СЈЕНИЦА,27857
22.06.2026,СМЕДЕРЕВО - ГРАД,93914
22.06.2026,СМЕДЕРЕВСКА ПАЛАНКА,38821
22.06.2026,СОКОБАЊА,12815
22.06.2026,СОМБОР - ГРАД,69694
22.06.2026,СРБИЦА,292
22.06.2026,СРБОБРАН,13045
22.06.2026,СРЕМСКА МИТРОВИЦА - ГРАД,68000
22.06.2026,СРЕМСКИ КАРЛОВЦИ,7903
22.06.2026,СТАРА ПАЗОВА,56861
22.06.2026,СУБОТИЦА - ГРАД,124432
22.06.2026,СУРДУЛИЦА,16104
22.06.2026,ТЕМЕРИН,24792
22.06.2026,ТИТЕЛ,12558
22.06.2026,ТОПОЛА,17198
22.06.2026,ТРГОВИШТЕ,4373
22.06.2026,ТРСТЕНИК,33405
22.06.2026,ТУТИН,33696
22.06.2026,ЋИЋЕВАЦ,7125
22.06.2026,ЋУПРИЈА,27905
22.06.2026,УБ,22415
22.06.2026,УЖИЦЕ - ГРАД,56849
22.06.2026,УЖИЦЕ-СЕВОЈНО,5533
22.06.2026,УРОШЕВАЦ,3840
22.06.2026,ЦРНА ТРАВА,935
22.06.2026,ЧАЈЕТИНА,14504
22.06.2026,ЧАЧАК - ГРАД,93676
22.06.2026,ЧОКА,8518
22.06.2026,ШАБАЦ - ГРАД,99012
22.06.2026,ШИД,28797
22.06.2026,ШТРПЦЕ,5821
