ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
14.09.2026,20.09.2026,АДА,Упис по основу стицања пунолетства,15
14.09.2026,20.09.2026,АДА,Упис по основу пријаве пребивалишта,15
14.09.2026,20.09.2026,АДА,Промена личних података,31
14.09.2026,20.09.2026,АДА,Промена адресе пребивалишта,13
14.09.2026,20.09.2026,АДА,Брисање по основу одјаве пребивалишта,3
14.09.2026,20.09.2026,АДА,Брисање боравишта интерно расељеног лица,1
14.09.2026,20.09.2026,АДА,Упис за гласање по месту боравишта у земљи,1
14.09.2026,20.09.2026,АДА,Упис за гласање по месту боравишта у иностранству,7
14.09.2026,20.09.2026,АДА,Брисање по службеној дужности,1
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Упис по основу пријаве пребивалишта,18
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Промена личних података,213
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Промена адресе пребивалишта,9
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Брисање по основу дуплог уписа,3
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,8
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,9
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Упис за гласање по месту боравишта у земљи,4
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Упис за гласање по месту боравишта у иностранству,35
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Промена гласања по месту боравишта у земљи,3
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Потврда о упису у бирачки списак,5
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Потврда о изборном праву,2
14.09.2026,20.09.2026,АЛЕКСАНДРОВАЦ,Упис по основу последњег пребивалишта,1
14.09.2026,20.09.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,55
14.09.2026,20.09.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,33
14.09.2026,20.09.2026,АЛЕКСИНАЦ,Упис по основу пријаве боравишта интерно расељеног лица,4
14.09.2026,20.09.2026,АЛЕКСИНАЦ,Промена личних података,12
14.09.2026,20.09.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,50
14.09.2026,20.09.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,28
14.09.2026,20.09.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,9
