ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
18.05.2026,24.05.2026,АДА,Промена личних података,1
18.05.2026,24.05.2026,АДА,Промена адресе пребивалишта,6
18.05.2026,24.05.2026,АДА,Брисање по основу дуплог уписа,1
18.05.2026,24.05.2026,АДА,Брисање по основу одјаве пребивалишта,2
18.05.2026,24.05.2026,АДА,Брисање по основу губитка пословне способности,2
18.05.2026,24.05.2026,АДА,Брисање по основу смрти лица,5
18.05.2026,24.05.2026,АДА,Брисање по службеној дужности,1
18.05.2026,24.05.2026,АЛЕКСАНДРОВАЦ,Упис по основу стицања пунолетства,3
18.05.2026,24.05.2026,АЛЕКСАНДРОВАЦ,Промена личних података,4
18.05.2026,24.05.2026,АЛЕКСАНДРОВАЦ,Промена адресе пребивалишта,11
18.05.2026,24.05.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,6
18.05.2026,24.05.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,7
18.05.2026,24.05.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,6
18.05.2026,24.05.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,4
18.05.2026,24.05.2026,АЛЕКСИНАЦ,Промена личних података,10
18.05.2026,24.05.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,44
18.05.2026,24.05.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,5
18.05.2026,24.05.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,20
18.05.2026,24.05.2026,АЛЕКСИНАЦ,Исправка техничке грешке,1
18.05.2026,24.05.2026,АЛИБУНАР,Упис по основу стицања пунолетства,3
18.05.2026,24.05.2026,АЛИБУНАР,Упис по основу пријаве пребивалишта,4
18.05.2026,24.05.2026,АЛИБУНАР,Промена личних података,1
18.05.2026,24.05.2026,АЛИБУНАР,Промена адресе пребивалишта,3
18.05.2026,24.05.2026,АЛИБУНАР,Брисање по основу одјаве пребивалишта,2
18.05.2026,24.05.2026,АЛИБУНАР,Брисање по основу смрти лица,5
18.05.2026,24.05.2026,АПАТИН,Упис по основу стицања пунолетства,4
18.05.2026,24.05.2026,АПАТИН,Упис по основу пријаве пребивалишта,7
18.05.2026,24.05.2026,АПАТИН,Промена личних података,8
18.05.2026,24.05.2026,АПАТИН,Промена адресе пребивалишта,9
18.05.2026,24.05.2026,АПАТИН,Брисање по основу одјаве пребивалишта,3
18.05.2026,24.05.2026,АПАТИН,Брисање по основу смрти лица,10
18.05.2026,24.05.2026,АРАНЂЕЛОВАЦ,Упис по основу стицања пунолетства,11
18.05.2026,24.05.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве пребивалишта,13
18.05.2026,24.05.2026,АРАНЂЕЛОВАЦ,Промена личних података,6
18.05.2026,24.05.2026,АРАНЂЕЛОВАЦ,Промена адресе пребивалишта,18
18.05.2026,24.05.2026,АРАНЂЕЛОВАЦ,Брисање по основу одјаве пребивалишта,8
18.05.2026,24.05.2026,АРАНЂЕЛОВАЦ,Брисање по основу смрти лица,10
18.05.2026,24.05.2026,АРИЉЕ,Упис по основу стицања пунолетства,2
18.05.2026,24.05.2026,АРИЉЕ,Упис по основу пријаве пребивалишта,1
18.05.2026,24.05.2026,АРИЉЕ,Промена личних података,1
18.05.2026,24.05.2026,АРИЉЕ,Промена адресе пребивалишта,26
18.05.2026,24.05.2026,АРИЉЕ,Брисање по основу одјаве пребивалишта,2
18.05.2026,24.05.2026,АРИЉЕ,Брисање по основу смрти лица,8
18.05.2026,24.05.2026,АРИЉЕ,Брисање по службеној дужности,1
18.05.2026,24.05.2026,БАБУШНИЦА,Упис по основу стицања пунолетства,1
18.05.2026,24.05.2026,БАБУШНИЦА,Упис по основу пријаве пребивалишта,1
18.05.2026,24.05.2026,БАБУШНИЦА,Промена личних података,1
18.05.2026,24.05.2026,БАБУШНИЦА,Промена адресе пребивалишта,8
18.05.2026,24.05.2026,БАБУШНИЦА,Брисање по основу одјаве пребивалишта,3
18.05.2026,24.05.2026,БАБУШНИЦА,Брисање по основу смрти лица,3
18.05.2026,24.05.2026,БАЈИНА БАШТА,Упис по основу стицања пунолетства,2
