ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
21.09.2026,АДА,14315
21.09.2026,АЛЕКСАНДРОВАЦ,20638
21.09.2026,АЛЕКСИНАЦ,39240
21.09.2026,АЛИБУНАР,16696
21.09.2026,АПАТИН,23364
21.09.2026,АРАНЂЕЛОВАЦ,36843
21.09.2026,АРИЉЕ,14774
21.09.2026,БАБУШНИЦА,7913
21.09.2026,БАЈИНА БАШТА,21387
21.09.2026,БАТОЧИНА,9692
21.09.2026,БАЧ,11809
21.09.2026,БАЧКА ПАЛАНКА,44476
21.09.2026,БАЧКА ТОПОЛА,26607
21.09.2026,БАЧКИ ПЕТРОВАЦ,11619
21.09.2026,БЕЛА ПАЛАНКА,8259
21.09.2026,БЕЛА ЦРКВА,15351
21.09.2026,БЕОГРАД-БАРАЈЕВО,23964
21.09.2026,БЕОГРАД-ВОЖДОВАЦ,163088
21.09.2026,БЕОГРАД-ВРАЧАР,62858
21.09.2026,БЕОГРАД-ГРОЦКА,73996
21.09.2026,БЕОГРАД-ЗВЕЗДАРА,164623
21.09.2026,БЕОГРАД-ЗЕМУН,171323
21.09.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49762
21.09.2026,БЕОГРАД-МЛАДЕНОВАЦ,45324
21.09.2026,БЕОГРАД-НОВИ БЕОГРАД,202050
21.09.2026,БЕОГРАД-ОБРЕНОВАЦ,64361
21.09.2026,БЕОГРАД-ПАЛИЛУЛА,175861
21.09.2026,БЕОГРАД-РАКОВИЦА,98937
21.09.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41468
21.09.2026,БЕОГРАД-СОПОТ,17381
21.09.2026,БЕОГРАД-СТАРИ ГРАД,52996
21.09.2026,БЕОГРАД-СУРЧИН,41315
21.09.2026,БЕОГРАД-ЧУКАРИЦА,163663
21.09.2026,БЕОЧИН,13297
21.09.2026,БЕЧЕЈ,30445
21.09.2026,БЛАЦЕ,8162
21.09.2026,БОГАТИЋ,23835
21.09.2026,БОЈНИК,8053
21.09.2026,БОЉЕВАЦ,9396
21.09.2026,БОР - ГРАД,38208
21.09.2026,БОСИЛЕГРАД,6963
21.09.2026,БРУС,12287
21.09.2026,БУЈАНОВАЦ,44593
21.09.2026,ВАЉЕВО - ГРАД,74361
21.09.2026,ВАРВАРИН,14597
21.09.2026,ВЕЛИКА ПЛАНА,35019
21.09.2026,ВЕЛИКО ГРАДИШТЕ,18674
21.09.2026,ВИТИНА,2388
21.09.2026,ВЛАДИМИРЦИ,13584
21.09.2026,ВЛАДИЧИН ХАН,15872
21.09.2026,ВЛАСОТИНЦЕ,22379
21.09.2026,ВРАЊЕ - ГРАД,59915
21.09.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7889
21.09.2026,ВРБАС,33453
21.09.2026,ВРЊАЧКА БАЊА,23626
21.09.2026,ВРШАЦ - ГРАД,43602
21.09.2026,ВУЧИТРН,3598
21.09.2026,ГАЏИН ХАН,5258
21.09.2026,ГЊИЛАНЕ,7979
21.09.2026,ГОЛУБАЦ,7850
21.09.2026,ГОРА,6887
21.09.2026,ГОРЊИ МИЛАНОВАЦ,34185
21.09.2026,ДЕСПОТОВАЦ,21125
21.09.2026,ДИМИТРОВГРАД,7730
21.09.2026,ДОЉЕВАЦ,13740
21.09.2026,ЖАБАЉ,21136
21.09.2026,ЖАБАРИ,11052
21.09.2026,ЖАГУБИЦА,10282
21.09.2026,ЖИТИШТЕ,13349
21.09.2026,ЖИТОРАЂА,11758
21.09.2026,ЗАЈЕЧАР - ГРАД,46809
21.09.2026,ЗВЕЧАН,5474
21.09.2026,ЗРЕЊАНИН - ГРАД,98207
21.09.2026,ЗУБИН ПОТОК,4278
21.09.2026,ИВАЊИЦА,24021
21.09.2026,ИНЂИЈА,40673
21.09.2026,ИРИГ,8987
21.09.2026,ИСТОК,3046
21.09.2026,ЈАГОДИНА - ГРАД,63611
21.09.2026,КАЊИЖА,20618
21.09.2026,КИКИНДА - ГРАД,45779
21.09.2026,КЛАДОВО,21060
21.09.2026,КЛИНА,1877
21.09.2026,КНИЋ,10259
21.09.2026,КЊАЖЕВАЦ,22173
21.09.2026,КОВАЧИЦА,20829
21.09.2026,КОВИН,27189
21.09.2026,КОСЈЕРИЋ,8806
21.09.2026,КОСОВО ПОЉЕ,4831
21.09.2026,КОСОВСКА КАМЕНИЦА,6211
21.09.2026,КОСОВСКА МИТРОВИЦА,14665
21.09.2026,КОЦЕЉЕВА,10317
21.09.2026,КРАГУЈЕВАЦ - ГРАД,153190
21.09.2026,КРАЉЕВО - ГРАД,98086
21.09.2026,КРУПАЊ,12592
21.09.2026,КРУШЕВАЦ - ГРАД,103776
21.09.2026,КУЛА,33155
21.09.2026,КУРШУМЛИЈА,13521
21.09.2026,КУЧЕВО,15262
21.09.2026,ЛАЈКОВАЦ,11239
21.09.2026,ЛАПОВО,6404
21.09.2026,ЛЕБАНЕ,16321
21.09.2026,ЛЕПОСАВИЋ,8782
21.09.2026,ЛЕСКОВАЦ - ГРАД,112386
21.09.2026,ЛИПЉАН,6022
21.09.2026,ЛОЗНИЦА - ГРАД,76616
21.09.2026,ЛУЧАНИ,14593
21.09.2026,ЉИГ,8442
21.09.2026,ЉУБОВИЈА,13072
21.09.2026,МАЈДАНПЕК,15284
21.09.2026,МАЛИ ЗВОРНИК,16136
21.09.2026,МАЛИ ИЂОШ,9788
21.09.2026,МАЛО ЦРНИЋЕ,11541
21.09.2026,МЕДВЕЂА,5994
21.09.2026,МЕРОШИНА,9714
21.09.2026,МИОНИЦА,10622
21.09.2026,НЕГОТИН,35459
21.09.2026,НИШ-МЕДИЈАНА,76712
21.09.2026,НИШ-НИШКА БАЊА,11545
21.09.2026,НИШ-ПАЛИЛУЛА,63481
21.09.2026,НИШ-ПАНТЕЛЕЈ,46660
21.09.2026,НИШ-ЦРВЕНИ КРСТ,29341
21.09.2026,НОВА ВАРОШ,12094
21.09.2026,НОВА ЦРЊА,7706
21.09.2026,НОВИ БЕЧЕЈ,18178
21.09.2026,НОВИ КНЕЖЕВАЦ,8269
21.09.2026,НОВИ ПАЗАР - ГРАД,95224
21.09.2026,НОВИ САД - ГРАД,345879
21.09.2026,НОВО БРДО,944
21.09.2026,ОБИЛИЋ,3518
21.09.2026,ОПОВО,7993
21.09.2026,ОРАХОВАЦ,1519
21.09.2026,ОСЕЧИНА,8864
21.09.2026,ОЏАЦИ,23267
21.09.2026,ПАНЧЕВО - ГРАД,106383
21.09.2026,ПАРАЋИН,45599
21.09.2026,ПЕТРОВАЦ НА МЛАВИ,30651
21.09.2026,ПЕЋ,3889
21.09.2026,ПЕЋИНЦИ,15515
21.09.2026,ПИРОТ - ГРАД,44282
21.09.2026,ПЛАНДИШТЕ,8255
21.09.2026,ПОДУЈЕВО,402
21.09.2026,ПОЖАРЕВАЦ,56883
21.09.2026,ПОЖАРЕВАЦ-КОСТОЛАЦ,11327
21.09.2026,ПОЖЕГА,22514
21.09.2026,ПРЕШЕВО,44612
21.09.2026,ПРИБОЈ,26707
21.09.2026,ПРИЗРЕН,4517
21.09.2026,ПРИЈЕПОЉЕ,31644
21.09.2026,ПРИШТИНА - ГРАД,13726
21.09.2026,ПРОКУПЉЕ - ГРАД,35421
21.09.2026,РАЖАЊ,5915
21.09.2026,РАЧА,8917
21.09.2026,РАШКА,19768
21.09.2026,РЕКОВАЦ,7854
21.09.2026,РУМА,45395
21.09.2026,СВИЛАЈНАЦ,23478
21.09.2026,СВРЉИГ,9808
21.09.2026,СЕНТА,19367
21.09.2026,СЕЧАЊ,10150
21.09.2026,СЈЕНИЦА,27964
21.09.2026,СМЕДЕРЕВО - ГРАД,93906
21.09.2026,СМЕДЕРЕВСКА ПАЛАНКА,38926
21.09.2026,СОКОБАЊА,12790
21.09.2026,СОМБОР - ГРАД,69737
21.09.2026,СРБИЦА,290
21.09.2026,СРБОБРАН,13069
21.09.2026,СРЕМСКА МИТРОВИЦА - ГРАД,68037
21.09.2026,СРЕМСКИ КАРЛОВЦИ,7921
21.09.2026,СТАРА ПАЗОВА,57170
21.09.2026,СУБОТИЦА - ГРАД,124366
21.09.2026,СУРДУЛИЦА,16126
21.09.2026,ТЕМЕРИН,24805
21.09.2026,ТИТЕЛ,12550
21.09.2026,ТОПОЛА,17201
21.09.2026,ТРГОВИШТЕ,4373
21.09.2026,ТРСТЕНИК,33364
21.09.2026,ТУТИН,33848
21.09.2026,ЋИЋЕВАЦ,7128
21.09.2026,ЋУПРИЈА,27973
21.09.2026,УБ,22491
21.09.2026,УЖИЦЕ - ГРАД,56825
21.09.2026,УЖИЦЕ-СЕВОЈНО,5526
21.09.2026,УРОШЕВАЦ,3825
