ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
07.09.2026,АДА,14299
07.09.2026,АЛЕКСАНДРОВАЦ,20640
07.09.2026,АЛЕКСИНАЦ,39195
07.09.2026,АЛИБУНАР,16685
07.09.2026,АПАТИН,23380
07.09.2026,АРАНЂЕЛОВАЦ,36807
07.09.2026,АРИЉЕ,14743
07.09.2026,БАБУШНИЦА,7919
07.09.2026,БАЈИНА БАШТА,21360
07.09.2026,БАТОЧИНА,9674
07.09.2026,БАЧ,11803
07.09.2026,БАЧКА ПАЛАНКА,44404
07.09.2026,БАЧКА ТОПОЛА,26616
07.09.2026,БАЧКИ ПЕТРОВАЦ,11625
07.09.2026,БЕЛА ПАЛАНКА,8271
07.09.2026,БЕЛА ЦРКВА,15323
07.09.2026,БЕОГРАД-БАРАЈЕВО,23981
07.09.2026,БЕОГРАД-ВОЖДОВАЦ,163069
07.09.2026,БЕОГРАД-ВРАЧАР,62918
07.09.2026,БЕОГРАД-ГРОЦКА,73892
07.09.2026,БЕОГРАД-ЗВЕЗДАРА,164528
07.09.2026,БЕОГРАД-ЗЕМУН,171265
07.09.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49666
07.09.2026,БЕОГРАД-МЛАДЕНОВАЦ,45252
07.09.2026,БЕОГРАД-НОВИ БЕОГРАД,202205
07.09.2026,БЕОГРАД-ОБРЕНОВАЦ,64340
07.09.2026,БЕОГРАД-ПАЛИЛУЛА,175704
07.09.2026,БЕОГРАД-РАКОВИЦА,99024
07.09.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41261
07.09.2026,БЕОГРАД-СОПОТ,17367
07.09.2026,БЕОГРАД-СТАРИ ГРАД,52910
07.09.2026,БЕОГРАД-СУРЧИН,41157
07.09.2026,БЕОГРАД-ЧУКАРИЦА,163246
07.09.2026,БЕОЧИН,13296
07.09.2026,БЕЧЕЈ,30408
07.09.2026,БЛАЦЕ,8155
07.09.2026,БОГАТИЋ,23801
07.09.2026,БОЈНИК,8044
07.09.2026,БОЉЕВАЦ,9389
07.09.2026,БОР - ГРАД,38194
07.09.2026,БОСИЛЕГРАД,6970
07.09.2026,БРУС,12275
07.09.2026,БУЈАНОВАЦ,44484
07.09.2026,ВАЉЕВО - ГРАД,74242
07.09.2026,ВАРВАРИН,14573
07.09.2026,ВЕЛИКА ПЛАНА,34997
07.09.2026,ВЕЛИКО ГРАДИШТЕ,18680
07.09.2026,ВИТИНА,2400
07.09.2026,ВЛАДИМИРЦИ,13543
07.09.2026,ВЛАДИЧИН ХАН,15845
07.09.2026,ВЛАСОТИНЦЕ,22362
07.09.2026,ВРАЊЕ - ГРАД,59783
07.09.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7886
07.09.2026,ВРБАС,33433
07.09.2026,ВРЊАЧКА БАЊА,23563
07.09.2026,ВРШАЦ - ГРАД,43522
07.09.2026,ВУЧИТРН,3600
07.09.2026,ГАЏИН ХАН,5263
07.09.2026,ГЊИЛАНЕ,8003
07.09.2026,ГОЛУБАЦ,7847
07.09.2026,ГОРА,6895
07.09.2026,ГОРЊИ МИЛАНОВАЦ,34190
07.09.2026,ДЕСПОТОВАЦ,21117
07.09.2026,ДИМИТРОВГРАД,7722
07.09.2026,ДОЉЕВАЦ,13687
07.09.2026,ЖАБАЉ,21118
07.09.2026,ЖАБАРИ,11042
07.09.2026,ЖАГУБИЦА,10271
07.09.2026,ЖИТИШТЕ,13319
07.09.2026,ЖИТОРАЂА,11726
07.09.2026,ЗАЈЕЧАР - ГРАД,46795
07.09.2026,ЗВЕЧАН,5480
07.09.2026,ЗРЕЊАНИН - ГРАД,98052
07.09.2026,ЗУБИН ПОТОК,4260
07.09.2026,ИВАЊИЦА,24026
07.09.2026,ИНЂИЈА,40578
07.09.2026,ИРИГ,8973
07.09.2026,ИСТОК,3051
07.09.2026,ЈАГОДИНА - ГРАД,63479
07.09.2026,КАЊИЖА,20649
07.09.2026,КИКИНДА - ГРАД,45775
07.09.2026,КЛАДОВО,21053
07.09.2026,КЛИНА,1887
07.09.2026,КНИЋ,10241
07.09.2026,КЊАЖЕВАЦ,22143
07.09.2026,КОВАЧИЦА,20766
07.09.2026,КОВИН,27169
07.09.2026,КОСЈЕРИЋ,8798
07.09.2026,КОСОВО ПОЉЕ,4827
07.09.2026,КОСОВСКА КАМЕНИЦА,6221
07.09.2026,КОСОВСКА МИТРОВИЦА,14673
07.09.2026,КОЦЕЉЕВА,10332
07.09.2026,КРАГУЈЕВАЦ - ГРАД,152850
07.09.2026,КРАЉЕВО - ГРАД,97924
07.09.2026,КРУПАЊ,12572
07.09.2026,КРУШЕВАЦ - ГРАД,103731
07.09.2026,КУЛА,33136
07.09.2026,КУРШУМЛИЈА,13502
07.09.2026,КУЧЕВО,15256
07.09.2026,ЛАЈКОВАЦ,11213
07.09.2026,ЛАПОВО,6392
07.09.2026,ЛЕБАНЕ,16310
07.09.2026,ЛЕПОСАВИЋ,8857
07.09.2026,ЛЕСКОВАЦ - ГРАД,112209
07.09.2026,ЛИПЉАН,6014
07.09.2026,ЛОЗНИЦА - ГРАД,76632
07.09.2026,ЛУЧАНИ,14565
07.09.2026,ЉИГ,8437
07.09.2026,ЉУБОВИЈА,13075
07.09.2026,МАЈДАНПЕК,15283
07.09.2026,МАЛИ ЗВОРНИК,16130
07.09.2026,МАЛИ ИЂОШ,9795
07.09.2026,МАЛО ЦРНИЋЕ,11553
07.09.2026,МЕДВЕЂА,5971
07.09.2026,МЕРОШИНА,9701
07.09.2026,МИОНИЦА,10612
07.09.2026,НЕГОТИН,35421
07.09.2026,НИШ-МЕДИЈАНА,76575
07.09.2026,НИШ-НИШКА БАЊА,11540
07.09.2026,НИШ-ПАЛИЛУЛА,63374
07.09.2026,НИШ-ПАНТЕЛЕЈ,46509
07.09.2026,НИШ-ЦРВЕНИ КРСТ,29314
07.09.2026,НОВА ВАРОШ,12090
07.09.2026,НОВА ЦРЊА,7711
07.09.2026,НОВИ БЕЧЕЈ,18144
07.09.2026,НОВИ КНЕЖЕВАЦ,8263
07.09.2026,НОВИ ПАЗАР - ГРАД,94902
07.09.2026,НОВИ САД - ГРАД,344846
07.09.2026,НОВО БРДО,948
07.09.2026,ОБИЛИЋ,3527
07.09.2026,ОПОВО,7975
07.09.2026,ОРАХОВАЦ,1527
07.09.2026,ОСЕЧИНА,8866
07.09.2026,ОЏАЦИ,23299
07.09.2026,ПАНЧЕВО - ГРАД,106372
07.09.2026,ПАРАЋИН,45553
07.09.2026,ПЕТРОВАЦ НА МЛАВИ,30642
07.09.2026,ПЕЋ,3879
07.09.2026,ПЕЋИНЦИ,15494
07.09.2026,ПИРОТ - ГРАД,44304
07.09.2026,ПЛАНДИШТЕ,8255
07.09.2026,ПОДУЈЕВО,404
07.09.2026,ПОЖАРЕВАЦ,56913
07.09.2026,ПОЖАРЕВАЦ-КОСТОЛАЦ,11339
07.09.2026,ПОЖЕГА,22481
07.09.2026,ПРЕШЕВО,44527
07.09.2026,ПРИБОЈ,26635
07.09.2026,ПРИЗРЕН,4546
07.09.2026,ПРИЈЕПОЉЕ,31573
07.09.2026,ПРИШТИНА - ГРАД,13721
07.09.2026,ПРОКУПЉЕ - ГРАД,35360
07.09.2026,РАЖАЊ,5909
07.09.2026,РАЧА,8904
07.09.2026,РАШКА,19630
07.09.2026,РЕКОВАЦ,7843
07.09.2026,РУМА,45282
07.09.2026,СВИЛАЈНАЦ,23458
07.09.2026,СВРЉИГ,9814
07.09.2026,СЕНТА,19338
07.09.2026,СЕЧАЊ,10144
07.09.2026,СЈЕНИЦА,27926
07.09.2026,СМЕДЕРЕВО - ГРАД,93827
07.09.2026,СМЕДЕРЕВСКА ПАЛАНКА,38855
07.09.2026,СОКОБАЊА,12783
07.09.2026,СОМБОР - ГРАД,69667
07.09.2026,СРБИЦА,291
07.09.2026,СРБОБРАН,13076
07.09.2026,СРЕМСКА МИТРОВИЦА - ГРАД,67960
07.09.2026,СРЕМСКИ КАРЛОВЦИ,7908
07.09.2026,СТАРА ПАЗОВА,57077
07.09.2026,СУБОТИЦА - ГРАД,124401
07.09.2026,СУРДУЛИЦА,16100
07.09.2026,ТЕМЕРИН,24787
07.09.2026,ТИТЕЛ,12564
07.09.2026,ТОПОЛА,17189
07.09.2026,ТРГОВИШТЕ,4370
07.09.2026,ТРСТЕНИК,33317
07.09.2026,ТУТИН,33730
07.09.2026,ЋИЋЕВАЦ,7120
07.09.2026,ЋУПРИЈА,27937
07.09.2026,УБ,22435
07.09.2026,УЖИЦЕ - ГРАД,56789
07.09.2026,УЖИЦЕ-СЕВОЈНО,5521
07.09.2026,УРОШЕВАЦ,3828
07.09.2026,ЦРНА ТРАВА,928
07.09.2026,ЧАЈЕТИНА,14586
07.09.2026,ЧАЧАК - ГРАД,93773
07.09.2026,ЧОКА,8477
07.09.2026,ШАБАЦ - ГРАД,98975
07.09.2026,ШИД,28806
07.09.2026,ШТРПЦЕ,5820
