ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
27.07.2026,АДА,14287
27.07.2026,АЛЕКСАНДРОВАЦ,20649
27.07.2026,АЛЕКСИНАЦ,39219
27.07.2026,АЛИБУНАР,16680
27.07.2026,АПАТИН,23460
27.07.2026,АРАНЂЕЛОВАЦ,36827
27.07.2026,АРИЉЕ,14754
27.07.2026,БАБУШНИЦА,7929
27.07.2026,БАЈИНА БАШТА,21400
27.07.2026,БАТОЧИНА,9662
27.07.2026,БАЧ,11803
27.07.2026,БАЧКА ПАЛАНКА,44433
27.07.2026,БАЧКА ТОПОЛА,26641
27.07.2026,БАЧКИ ПЕТРОВАЦ,11635
27.07.2026,БЕЛА ПАЛАНКА,8275
27.07.2026,БЕЛА ЦРКВА,15396
27.07.2026,БЕОГРАД-БАРАЈЕВО,24043
27.07.2026,БЕОГРАД-ВОЖДОВАЦ,162956
27.07.2026,БЕОГРАД-ВРАЧАР,62931
27.07.2026,БЕОГРАД-ГРОЦКА,73757
27.07.2026,БЕОГРАД-ЗВЕЗДАРА,164380
27.07.2026,БЕОГРАД-ЗЕМУН,170995
27.07.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49653
27.07.2026,БЕОГРАД-МЛАДЕНОВАЦ,45219
27.07.2026,БЕОГРАД-НОВИ БЕОГРАД,202280
27.07.2026,БЕОГРАД-ОБРЕНОВАЦ,64240
27.07.2026,БЕОГРАД-ПАЛИЛУЛА,175613
27.07.2026,БЕОГРАД-РАКОВИЦА,99006
27.07.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41167
27.07.2026,БЕОГРАД-СОПОТ,17348
27.07.2026,БЕОГРАД-СТАРИ ГРАД,52908
27.07.2026,БЕОГРАД-СУРЧИН,41038
27.07.2026,БЕОГРАД-ЧУКАРИЦА,163149
27.07.2026,БЕОЧИН,13288
27.07.2026,БЕЧЕЈ,30428
27.07.2026,БЛАЦЕ,8172
27.07.2026,БОГАТИЋ,23817
27.07.2026,БОЈНИК,8037
27.07.2026,БОЉЕВАЦ,9396
27.07.2026,БОР - ГРАД,38283
27.07.2026,БОСИЛЕГРАД,6987
27.07.2026,БРУС,12293
27.07.2026,БУЈАНОВАЦ,44325
27.07.2026,ВАЉЕВО - ГРАД,74294
27.07.2026,ВАРВАРИН,14577
27.07.2026,ВЕЛИКА ПЛАНА,34974
27.07.2026,ВЕЛИКО ГРАДИШТЕ,18664
27.07.2026,ВИТИНА,2415
27.07.2026,ВЛАДИМИРЦИ,13534
27.07.2026,ВЛАДИЧИН ХАН,15874
27.07.2026,ВЛАСОТИНЦЕ,22387
27.07.2026,ВРАЊЕ - ГРАД,59703
27.07.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7891
27.07.2026,ВРБАС,33442
27.07.2026,ВРЊАЧКА БАЊА,23528
27.07.2026,ВРШАЦ - ГРАД,43533
27.07.2026,ВУЧИТРН,3604
27.07.2026,ГАЏИН ХАН,5278
27.07.2026,ГЊИЛАНЕ,8014
27.07.2026,ГОЛУБАЦ,7851
27.07.2026,ГОРА,6903
27.07.2026,ГОРЊИ МИЛАНОВАЦ,34193
27.07.2026,ДЕСПОТОВАЦ,21131
27.07.2026,ДИМИТРОВГРАД,7722
27.07.2026,ДОЉЕВАЦ,13694
27.07.2026,ЖАБАЉ,21112
27.07.2026,ЖАБАРИ,11022
27.07.2026,ЖАГУБИЦА,10270
27.07.2026,ЖИТИШТЕ,13301
27.07.2026,ЖИТОРАЂА,11746
27.07.2026,ЗАЈЕЧАР - ГРАД,46816
27.07.2026,ЗВЕЧАН,5492
27.07.2026,ЗРЕЊАНИН - ГРАД,98155
27.07.2026,ЗУБИН ПОТОК,4283
27.07.2026,ИВАЊИЦА,24041
27.07.2026,ИНЂИЈА,40526
27.07.2026,ИРИГ,8967
27.07.2026,ИСТОК,3061
27.07.2026,ЈАГОДИНА - ГРАД,63465
27.07.2026,КАЊИЖА,20661
27.07.2026,КИКИНДА - ГРАД,45811
27.07.2026,КЛАДОВО,21052
27.07.2026,КЛИНА,1895
27.07.2026,КНИЋ,10244
27.07.2026,КЊАЖЕВАЦ,22181
27.07.2026,КОВАЧИЦА,20763
27.07.2026,КОВИН,27161
27.07.2026,КОСЈЕРИЋ,8796
27.07.2026,КОСОВО ПОЉЕ,4842
27.07.2026,КОСОВСКА КАМЕНИЦА,6220
27.07.2026,КОСОВСКА МИТРОВИЦА,14729
27.07.2026,КОЦЕЉЕВА,10342
27.07.2026,КРАГУЈЕВАЦ - ГРАД,152737
27.07.2026,КРАЉЕВО - ГРАД,97872
27.07.2026,КРУПАЊ,12593
27.07.2026,КРУШЕВАЦ - ГРАД,103734
27.07.2026,КУЛА,33163
27.07.2026,КУРШУМЛИЈА,13513
27.07.2026,КУЧЕВО,15239
27.07.2026,ЛАЈКОВАЦ,11233
27.07.2026,ЛАПОВО,6393
27.07.2026,ЛЕБАНЕ,16324
27.07.2026,ЛЕПОСАВИЋ,8920
27.07.2026,ЛЕСКОВАЦ - ГРАД,112267
27.07.2026,ЛИПЉАН,6011
27.07.2026,ЛОЗНИЦА - ГРАД,76621
27.07.2026,ЛУЧАНИ,14585
27.07.2026,ЉИГ,8422
27.07.2026,ЉУБОВИЈА,13067
27.07.2026,МАЈДАНПЕК,15313
27.07.2026,МАЛИ ЗВОРНИК,16137
27.07.2026,МАЛИ ИЂОШ,9795
27.07.2026,МАЛО ЦРНИЋЕ,11543
27.07.2026,МЕДВЕЂА,5975
27.07.2026,МЕРОШИНА,9708
27.07.2026,МИОНИЦА,10607
27.07.2026,НЕГОТИН,35402
27.07.2026,НИШ-МЕДИЈАНА,76520
27.07.2026,НИШ-НИШКА БАЊА,11542
27.07.2026,НИШ-ПАЛИЛУЛА,63309
27.07.2026,НИШ-ПАНТЕЛЕЈ,46431
27.07.2026,НИШ-ЦРВЕНИ КРСТ,29289
27.07.2026,НОВА ВАРОШ,12110
27.07.2026,НОВА ЦРЊА,7719
27.07.2026,НОВИ БЕЧЕЈ,18135
27.07.2026,НОВИ КНЕЖЕВАЦ,8275
27.07.2026,НОВИ ПАЗАР - ГРАД,94667
27.07.2026,НОВИ САД - ГРАД,344468
27.07.2026,НОВО БРДО,953
27.07.2026,ОБИЛИЋ,3546
27.07.2026,ОПОВО,7979
27.07.2026,ОРАХОВАЦ,1536
27.07.2026,ОСЕЧИНА,8881
27.07.2026,ОЏАЦИ,23299
27.07.2026,ПАНЧЕВО - ГРАД,106256
27.07.2026,ПАРАЋИН,45552
27.07.2026,ПЕТРОВАЦ НА МЛАВИ,30647
27.07.2026,ПЕЋ,3899
27.07.2026,ПЕЋИНЦИ,15494
27.07.2026,ПИРОТ - ГРАД,44355
27.07.2026,ПЛАНДИШТЕ,8270
27.07.2026,ПОДУЈЕВО,406
27.07.2026,ПОЖАРЕВАЦ,56897
27.07.2026,ПОЖАРЕВАЦ-КОСТОЛАЦ,11331
27.07.2026,ПОЖЕГА,22485
27.07.2026,ПРЕШЕВО,44379
27.07.2026,ПРИБОЈ,26649
27.07.2026,ПРИЗРЕН,4565
27.07.2026,ПРИЈЕПОЉЕ,31511
27.07.2026,ПРИШТИНА - ГРАД,13770
27.07.2026,ПРОКУПЉЕ - ГРАД,35347
27.07.2026,РАЖАЊ,5907
27.07.2026,РАЧА,8917
27.07.2026,РАШКА,19595
27.07.2026,РЕКОВАЦ,7844
27.07.2026,РУМА,45285
27.07.2026,СВИЛАЈНАЦ,23431
27.07.2026,СВРЉИГ,9820
27.07.2026,СЕНТА,19347
27.07.2026,СЕЧАЊ,10133
27.07.2026,СЈЕНИЦА,27901
27.07.2026,СМЕДЕРЕВО - ГРАД,93864
27.07.2026,СМЕДЕРЕВСКА ПАЛАНКА,38807
27.07.2026,СОКОБАЊА,12807
27.07.2026,СОМБОР - ГРАД,69671
27.07.2026,СРБИЦА,291
27.07.2026,СРБОБРАН,13059
27.07.2026,СРЕМСКА МИТРОВИЦА - ГРАД,67963
27.07.2026,СРЕМСКИ КАРЛОВЦИ,7911
27.07.2026,СТАРА ПАЗОВА,56978
27.07.2026,СУБОТИЦА - ГРАД,124390
27.07.2026,СУРДУЛИЦА,16105
27.07.2026,ТЕМЕРИН,24784
27.07.2026,ТИТЕЛ,12538
27.07.2026,ТОПОЛА,17175
27.07.2026,ТРГОВИШТЕ,4372
27.07.2026,ТРСТЕНИК,33379
27.07.2026,ТУТИН,33725
27.07.2026,ЋИЋЕВАЦ,7125
27.07.2026,ЋУПРИЈА,27930
27.07.2026,УБ,22408
27.07.2026,УЖИЦЕ - ГРАД,56816
27.07.2026,УЖИЦЕ-СЕВОЈНО,5528
27.07.2026,УРОШЕВАЦ,3832
27.07.2026,ЦРНА ТРАВА,932
27.07.2026,ЧАЈЕТИНА,14526
27.07.2026,ЧАЧАК - ГРАД,93771
27.07.2026,ЧОКА,8502
27.07.2026,ШАБАЦ - ГРАД,98946
27.07.2026,ШИД,28791
27.07.2026,ШТРПЦЕ,5825
