ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
23.03.2026,29.03.2026,АДА,Упис по основу стицања пунолетства,3
23.03.2026,29.03.2026,АДА,Упис по основу пријаве пребивалишта,3
23.03.2026,29.03.2026,АДА,Промена личних података,1
23.03.2026,29.03.2026,АДА,Промена адресе пребивалишта,3
23.03.2026,29.03.2026,АДА,Брисање по основу смрти лица,5
23.03.2026,29.03.2026,АЛЕКСАНДРОВАЦ,Упис по основу стицања пунолетства,2
23.03.2026,29.03.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,3
23.03.2026,29.03.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,5
23.03.2026,29.03.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,3
23.03.2026,29.03.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,7
23.03.2026,29.03.2026,АЛЕКСИНАЦ,Промена личних података,1
23.03.2026,29.03.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,59
23.03.2026,29.03.2026,АЛЕКСИНАЦ,Промена адресе боравишта интерно расељеног лица,1
23.03.2026,29.03.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,4
23.03.2026,29.03.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,12
23.03.2026,29.03.2026,АЛЕКСИНАЦ,Исправка техничке грешке,1
23.03.2026,29.03.2026,АЛИБУНАР,Упис по основу стицања пунолетства,2
23.03.2026,29.03.2026,АЛИБУНАР,Упис по основу пријаве пребивалишта,1
23.03.2026,29.03.2026,АЛИБУНАР,Промена личних података,3
23.03.2026,29.03.2026,АЛИБУНАР,Промена адресе пребивалишта,6
23.03.2026,29.03.2026,АЛИБУНАР,Брисање по основу одјаве пребивалишта,2
23.03.2026,29.03.2026,АЛИБУНАР,Брисање по основу смрти лица,13
23.03.2026,29.03.2026,АПАТИН,Упис по основу стицања пунолетства,7
23.03.2026,29.03.2026,АПАТИН,Упис по основу пријаве пребивалишта,8
23.03.2026,29.03.2026,АПАТИН,Промена личних података,2
23.03.2026,29.03.2026,АПАТИН,Промена адресе пребивалишта,5
23.03.2026,29.03.2026,АПАТИН,Брисање по основу отпуста из држављанства,1
23.03.2026,29.03.2026,АПАТИН,Брисање по основу одјаве пребивалишта,4
23.03.2026,29.03.2026,АПАТИН,Брисање по основу смрти лица,6
23.03.2026,29.03.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве пребивалишта,4
23.03.2026,29.03.2026,АРАНЂЕЛОВАЦ,Промена личних података,1
23.03.2026,29.03.2026,АРАНЂЕЛОВАЦ,Брисање по основу одјаве пребивалишта,2
23.03.2026,29.03.2026,АРАНЂЕЛОВАЦ,Потврда о упису у бирачки списак,2
23.03.2026,29.03.2026,АРИЉЕ,Упис по основу стицања пунолетства,3
23.03.2026,29.03.2026,АРИЉЕ,Упис по основу пријаве пребивалишта,8
23.03.2026,29.03.2026,АРИЉЕ,Промена личних података,3
23.03.2026,29.03.2026,АРИЉЕ,Промена адресе пребивалишта,44
23.03.2026,29.03.2026,АРИЉЕ,Брисање по основу одјаве пребивалишта,3
23.03.2026,29.03.2026,АРИЉЕ,Брисање по основу смрти лица,3
23.03.2026,29.03.2026,БАБУШНИЦА,Упис по основу пријаве пребивалишта,3
23.03.2026,29.03.2026,БАБУШНИЦА,Промена личних података,1
23.03.2026,29.03.2026,БАБУШНИЦА,Промена адресе пребивалишта,14
23.03.2026,29.03.2026,БАБУШНИЦА,Брисање по основу одјаве пребивалишта,3
23.03.2026,29.03.2026,БАБУШНИЦА,Брисање по основу смрти лица,3
23.03.2026,29.03.2026,БАЈИНА БАШТА,Упис по основу пријаве пребивалишта,6
23.03.2026,29.03.2026,БАЈИНА БАШТА,Промена адресе пребивалишта,2
23.03.2026,29.03.2026,БАЈИНА БАШТА,Брисање по основу одјаве пребивалишта,4
23.03.2026,29.03.2026,БАТОЧИНА,Упис по основу стицања пунолетства,1
23.03.2026,29.03.2026,БАТОЧИНА,Упис по основу пријаве пребивалишта,6
23.03.2026,29.03.2026,БАТОЧИНА,Упис по основу пријема у држављанство,1
23.03.2026,29.03.2026,БАТОЧИНА,Промена личних података,2
23.03.2026,29.03.2026,БАТОЧИНА,Промена адресе пребивалишта,8
23.03.2026,29.03.2026,БАТОЧИНА,Брисање по основу одјаве пребивалишта,2
23.03.2026,29.03.2026,БАТОЧИНА,Брисање по основу смрти лица,2
23.03.2026,29.03.2026,БАТОЧИНА,Брисање боравишта интерно расељеног лица,1
23.03.2026,29.03.2026,БАЧ,Упис по основу стицања пунолетства,1
23.03.2026,29.03.2026,БАЧ,Брисање по основу одјаве пребивалишта,2
23.03.2026,29.03.2026,БАЧКА ПАЛАНКА,Упис по основу стицања пунолетства,4
23.03.2026,29.03.2026,БАЧКА ПАЛАНКА,Упис по основу пријаве пребивалишта,19
23.03.2026,29.03.2026,БАЧКА ПАЛАНКА,Промена личних података,5
23.03.2026,29.03.2026,БАЧКА ПАЛАНКА,Промена адресе пребивалишта,10
23.03.2026,29.03.2026,БАЧКА ПАЛАНКА,Брисање по основу дуплог уписа,1
23.03.2026,29.03.2026,БАЧКА ПАЛАНКА,Брисање по основу одјаве пребивалишта,12
23.03.2026,29.03.2026,БАЧКА ПАЛАНКА,Брисање по основу смрти лица,13
23.03.2026,29.03.2026,БАЧКА ПАЛАНКА,Брисање по службеној дужности,2
