ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
04.05.2026,АДА,14313
04.05.2026,АЛЕКСАНДРОВАЦ,20727
04.05.2026,АЛЕКСИНАЦ,39294
04.05.2026,АЛИБУНАР,16700
04.05.2026,АПАТИН,23500
04.05.2026,АРАНЂЕЛОВАЦ,36808
04.05.2026,АРИЉЕ,14757
04.05.2026,БАБУШНИЦА,7968
04.05.2026,БАЈИНА БАШТА,21416
04.05.2026,БАТОЧИНА,9668
04.05.2026,БАЧ,11837
04.05.2026,БАЧКА ПАЛАНКА,44518
04.05.2026,БАЧКА ТОПОЛА,26759
04.05.2026,БАЧКИ ПЕТРОВАЦ,11625
04.05.2026,БЕЛА ПАЛАНКА,8306
04.05.2026,БЕЛА ЦРКВА,15415
04.05.2026,БЕОГРАД-БАРАЈЕВО,23995
04.05.2026,БЕОГРАД-ВОЖДОВАЦ,162835
04.05.2026,БЕОГРАД-ВРАЧАР,62957
04.05.2026,БЕОГРАД-ГРОЦКА,73659
04.05.2026,БЕОГРАД-ЗВЕЗДАРА,164077
04.05.2026,БЕОГРАД-ЗЕМУН,170850
04.05.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49691
04.05.2026,БЕОГРАД-МЛАДЕНОВАЦ,45163
04.05.2026,БЕОГРАД-НОВИ БЕОГРАД,202391
04.05.2026,БЕОГРАД-ОБРЕНОВАЦ,64213
04.05.2026,БЕОГРАД-ПАЛИЛУЛА,175432
04.05.2026,БЕОГРАД-РАКОВИЦА,99015
04.05.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41068
04.05.2026,БЕОГРАД-СОПОТ,17300
04.05.2026,БЕОГРАД-СТАРИ ГРАД,52970
04.05.2026,БЕОГРАД-СУРЧИН,40889
04.05.2026,БЕОГРАД-ЧУКАРИЦА,163176
04.05.2026,БЕОЧИН,13284
04.05.2026,БЕЧЕЈ,30495
04.05.2026,БЛАЦЕ,8186
04.05.2026,БОГАТИЋ,23823
04.05.2026,БОЈНИК,8066
04.05.2026,БОЉЕВАЦ,9425
04.05.2026,БОР - ГРАД,38385
04.05.2026,БОСИЛЕГРАД,7008
04.05.2026,БРУС,12334
04.05.2026,БУЈАНОВАЦ,44084
04.05.2026,ВАЉЕВО - ГРАД,74365
04.05.2026,ВАРВАРИН,14588
04.05.2026,ВЕЛИКА ПЛАНА,34996
04.05.2026,ВЕЛИКО ГРАДИШТЕ,18670
04.05.2026,ВИТИНА,2438
04.05.2026,ВЛАДИМИРЦИ,13545
04.05.2026,ВЛАДИЧИН ХАН,15877
04.05.2026,ВЛАСОТИНЦЕ,22444
04.05.2026,ВРАЊЕ - ГРАД,59791
04.05.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7892
04.05.2026,ВРБАС,33469
04.05.2026,ВРЊАЧКА БАЊА,23511
04.05.2026,ВРШАЦ - ГРАД,43573
04.05.2026,ВУЧИТРН,3620
04.05.2026,ГАЏИН ХАН,5293
04.05.2026,ГЊИЛАНЕ,7932
04.05.2026,ГОЛУБАЦ,7870
04.05.2026,ГОРА,6921
04.05.2026,ГОРЊИ МИЛАНОВАЦ,34236
04.05.2026,ДЕСПОТОВАЦ,21182
04.05.2026,ДИМИТРОВГРАД,7747
04.05.2026,ДОЉЕВАЦ,13706
04.05.2026,ЖАБАЉ,21130
04.05.2026,ЖАБАРИ,11036
04.05.2026,ЖАГУБИЦА,10284
04.05.2026,ЖИТИШТЕ,13334
04.05.2026,ЖИТОРАЂА,11756
04.05.2026,ЗАЈЕЧАР - ГРАД,46916
04.05.2026,ЗВЕЧАН,5520
04.05.2026,ЗРЕЊАНИН - ГРАД,98237
04.05.2026,ЗУБИН ПОТОК,4312
04.05.2026,ИВАЊИЦА,24137
04.05.2026,ИНЂИЈА,40526
04.05.2026,ИРИГ,8978
04.05.2026,ИСТОК,3091
04.05.2026,ЈАГОДИНА - ГРАД,63523
04.05.2026,КАЊИЖА,20696
04.05.2026,КИКИНДА - ГРАД,45897
04.05.2026,КЛАДОВО,21070
04.05.2026,КЛИНА,1916
04.05.2026,КНИЋ,10272
04.05.2026,КЊАЖЕВАЦ,22239
04.05.2026,КОВАЧИЦА,20790
04.05.2026,КОВИН,27198
04.05.2026,КОСЈЕРИЋ,8823
04.05.2026,КОСОВО ПОЉЕ,4890
04.05.2026,КОСОВСКА КАМЕНИЦА,6263
04.05.2026,КОСОВСКА МИТРОВИЦА,14790
04.05.2026,КОЦЕЉЕВА,10366
04.05.2026,КРАГУЈЕВАЦ - ГРАД,152536
04.05.2026,КРАЉЕВО - ГРАД,97944
04.05.2026,КРУПАЊ,12621
04.05.2026,КРУШЕВАЦ - ГРАД,103689
04.05.2026,КУЛА,33227
04.05.2026,КУРШУМЛИЈА,13557
04.05.2026,КУЧЕВО,15255
04.05.2026,ЛАЈКОВАЦ,11266
04.05.2026,ЛАПОВО,6392
04.05.2026,ЛЕБАНЕ,16362
04.05.2026,ЛЕПОСАВИЋ,9009
04.05.2026,ЛЕСКОВАЦ - ГРАД,112401
04.05.2026,ЛИПЉАН,6025
04.05.2026,ЛОЗНИЦА - ГРАД,76509
04.05.2026,ЛУЧАНИ,14610
04.05.2026,ЉИГ,8440
04.05.2026,ЉУБОВИЈА,13102
04.05.2026,МАЈДАНПЕК,15368
04.05.2026,МАЛИ ЗВОРНИК,16175
04.05.2026,МАЛИ ИЂОШ,9800
04.05.2026,МАЛО ЦРНИЋЕ,11555
04.05.2026,МЕДВЕЂА,5975
04.05.2026,МЕРОШИНА,9706
04.05.2026,МИОНИЦА,10622
04.05.2026,НЕГОТИН,35451
04.05.2026,НИШ-МЕДИЈАНА,76533
04.05.2026,НИШ-НИШКА БАЊА,11571
04.05.2026,НИШ-ПАЛИЛУЛА,63245
04.05.2026,НИШ-ПАНТЕЛЕЈ,46345
