ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
16.03.2026,АДА,14315
16.03.2026,АЛЕКСАНДРОВАЦ,20751
16.03.2026,АЛЕКСИНАЦ,39342
16.03.2026,АЛИБУНАР,16717
16.03.2026,АПАТИН,23509
16.03.2026,АРАНЂЕЛОВАЦ,36841
16.03.2026,АРИЉЕ,14768
16.03.2026,БАБУШНИЦА,7992
16.03.2026,БАЈИНА БАШТА,21462
16.03.2026,БАТОЧИНА,9656
16.03.2026,БАЧ,11841
16.03.2026,БАЧКА ПАЛАНКА,44569
16.03.2026,БАЧКА ТОПОЛА,26814
16.03.2026,БАЧКИ ПЕТРОВАЦ,11619
16.03.2026,БЕЛА ПАЛАНКА,8325
16.03.2026,БЕЛА ЦРКВА,15439
16.03.2026,БЕОГРАД-БАРАЈЕВО,23862
16.03.2026,БЕОГРАД-ВОЖДОВАЦ,162662
16.03.2026,БЕОГРАД-ВРАЧАР,62934
16.03.2026,БЕОГРАД-ГРОЦКА,73594
16.03.2026,БЕОГРАД-ЗВЕЗДАРА,163775
16.03.2026,БЕОГРАД-ЗЕМУН,170678
16.03.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49707
16.03.2026,БЕОГРАД-МЛАДЕНОВАЦ,45144
16.03.2026,БЕОГРАД-НОВИ БЕОГРАД,202407
16.03.2026,БЕОГРАД-ОБРЕНОВАЦ,64184
16.03.2026,БЕОГРАД-ПАЛИЛУЛА,175101
16.03.2026,БЕОГРАД-РАКОВИЦА,99016
16.03.2026,БЕОГРАД-САВСКИ ВЕНАЦ,40990
16.03.2026,БЕОГРАД-СОПОТ,17313
16.03.2026,БЕОГРАД-СТАРИ ГРАД,52959
16.03.2026,БЕОГРАД-СУРЧИН,40833
16.03.2026,БЕОГРАД-ЧУКАРИЦА,163126
16.03.2026,БЕОЧИН,13286
16.03.2026,БЕЧЕЈ,30555
16.03.2026,БЛАЦЕ,8209
16.03.2026,БОГАТИЋ,23836
16.03.2026,БОЈНИК,8076
16.03.2026,БОЉЕВАЦ,9444
16.03.2026,БОР - ГРАД,38511
16.03.2026,БОСИЛЕГРАД,7019
16.03.2026,БРУС,12356
16.03.2026,БУЈАНОВАЦ,43986
16.03.2026,ВАЉЕВО - ГРАД,74390
16.03.2026,ВАРВАРИН,14613
16.03.2026,ВЕЛИКА ПЛАНА,34995
16.03.2026,ВЕЛИКО ГРАДИШТЕ,18688
16.03.2026,ВИТИНА,2452
16.03.2026,ВЛАДИМИРЦИ,13546
16.03.2026,ВЛАДИЧИН ХАН,15907
16.03.2026,ВЛАСОТИНЦЕ,22489
16.03.2026,ВРАЊЕ - ГРАД,59811
16.03.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7889
16.03.2026,ВРБАС,33501
16.03.2026,ВРЊАЧКА БАЊА,23486
16.03.2026,ВРШАЦ - ГРАД,43587
16.03.2026,ВУЧИТРН,3626
16.03.2026,ГАЏИН ХАН,5326
16.03.2026,ГЊИЛАНЕ,7914
16.03.2026,ГОЛУБАЦ,7891
16.03.2026,ГОРА,6921
16.03.2026,ГОРЊИ МИЛАНОВАЦ,34271
16.03.2026,ДЕСПОТОВАЦ,21235
16.03.2026,ДИМИТРОВГРАД,7760
16.03.2026,ДОЉЕВАЦ,13723
16.03.2026,ЖАБАЉ,21136
16.03.2026,ЖАБАРИ,11042
16.03.2026,ЖАГУБИЦА,10290
16.03.2026,ЖИТИШТЕ,13358
16.03.2026,ЖИТОРАЂА,11766
16.03.2026,ЗАЈЕЧАР - ГРАД,46975
16.03.2026,ЗВЕЧАН,5533
16.03.2026,ЗРЕЊАНИН - ГРАД,98290
16.03.2026,ЗУБИН ПОТОК,4324
16.03.2026,ИВАЊИЦА,24191
16.03.2026,ИНЂИЈА,40536
16.03.2026,ИРИГ,8975
16.03.2026,ИСТОК,3115
16.03.2026,ЈАГОДИНА - ГРАД,63516
16.03.2026,КАЊИЖА,20716
16.03.2026,КИКИНДА - ГРАД,45988
16.03.2026,КЛАДОВО,21090
16.03.2026,КЛИНА,1923
16.03.2026,КНИЋ,10288
16.03.2026,КЊАЖЕВАЦ,22256
16.03.2026,КОВАЧИЦА,20807
16.03.2026,КОВИН,27209
16.03.2026,КОСЈЕРИЋ,8833
16.03.2026,КОСОВО ПОЉЕ,4903
16.03.2026,КОСОВСКА КАМЕНИЦА,6277
16.03.2026,КОСОВСКА МИТРОВИЦА,14810
