ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
25.05.2026,31.05.2026,АДА,Брисање по основу одјаве пребивалишта,2
25.05.2026,31.05.2026,АЛЕКСАНДРОВАЦ,Упис по основу стицања пунолетства,3
25.05.2026,31.05.2026,АЛЕКСАНДРОВАЦ,Промена личних података,5
25.05.2026,31.05.2026,АЛЕКСАНДРОВАЦ,Промена адресе пребивалишта,9
25.05.2026,31.05.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,3
25.05.2026,31.05.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,6
25.05.2026,31.05.2026,АЛЕКСАНДРОВАЦ,Брисање по службеној дужности,1
25.05.2026,31.05.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,8
25.05.2026,31.05.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,5
25.05.2026,31.05.2026,АЛЕКСИНАЦ,Промена личних података,2
25.05.2026,31.05.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,40
25.05.2026,31.05.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,9
25.05.2026,31.05.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,11
25.05.2026,31.05.2026,АЛЕКСИНАЦ,Исправка техничке грешке,1
25.05.2026,31.05.2026,АЛИБУНАР,Упис по основу стицања пунолетства,3
25.05.2026,31.05.2026,АЛИБУНАР,Упис по основу пријаве пребивалишта,11
25.05.2026,31.05.2026,АЛИБУНАР,Промена личних података,4
25.05.2026,31.05.2026,АЛИБУНАР,Промена адресе пребивалишта,3
25.05.2026,31.05.2026,АЛИБУНАР,Брисање по основу одјаве пребивалишта,4
25.05.2026,31.05.2026,АЛИБУНАР,Брисање по основу смрти лица,6
25.05.2026,31.05.2026,АПАТИН,Упис по основу стицања пунолетства,4
25.05.2026,31.05.2026,АПАТИН,Упис по основу пријаве пребивалишта,2
25.05.2026,31.05.2026,АПАТИН,Промена личних података,3
25.05.2026,31.05.2026,АПАТИН,Промена адресе пребивалишта,9
25.05.2026,31.05.2026,АПАТИН,Брисање по основу одјаве пребивалишта,2
25.05.2026,31.05.2026,АПАТИН,Брисање по основу смрти лица,6
25.05.2026,31.05.2026,АРАНЂЕЛОВАЦ,Упис по основу стицања пунолетства,4
