ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
02.03.2026,08.03.2026,АДА,Упис по основу стицања пунолетства,4
02.03.2026,08.03.2026,АДА,Упис по основу пријаве пребивалишта,1
02.03.2026,08.03.2026,АДА,Промена личних података,1
02.03.2026,08.03.2026,АДА,Промена адресе пребивалишта,2
02.03.2026,08.03.2026,АДА,Брисање по основу одјаве пребивалишта,3
02.03.2026,08.03.2026,АДА,Брисање по основу смрти лица,4
02.03.2026,08.03.2026,АДА,Брисање по службеној дужности,5
02.03.2026,08.03.2026,АЛЕКСАНДРОВАЦ,Упис по основу стицања пунолетства,5
02.03.2026,08.03.2026,АЛЕКСАНДРОВАЦ,Упис по основу пријаве пребивалишта,2
02.03.2026,08.03.2026,АЛЕКСАНДРОВАЦ,Промена адресе пребивалишта,8
02.03.2026,08.03.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,2
02.03.2026,08.03.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,4
02.03.2026,08.03.2026,АЛЕКСАНДРОВАЦ,Брисање по службеној дужности,48
02.03.2026,08.03.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,10
02.03.2026,08.03.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,12
02.03.2026,08.03.2026,АЛЕКСИНАЦ,Промена личних података,3
02.03.2026,08.03.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,56
02.03.2026,08.03.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,15
02.03.2026,08.03.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,15
02.03.2026,08.03.2026,АЛЕКСИНАЦ,Исправка техничке грешке,1
02.03.2026,08.03.2026,АЛИБУНАР,Упис по основу стицања пунолетства,4
02.03.2026,08.03.2026,АЛИБУНАР,Упис по основу пријаве пребивалишта,10
02.03.2026,08.03.2026,АЛИБУНАР,Промена личних података,1
02.03.2026,08.03.2026,АЛИБУНАР,Промена адресе пребивалишта,6
02.03.2026,08.03.2026,АЛИБУНАР,Брисање по основу одјаве пребивалишта,6
02.03.2026,08.03.2026,АЛИБУНАР,Брисање по основу смрти лица,3
02.03.2026,08.03.2026,АПАТИН,Упис по основу стицања пунолетства,3
02.03.2026,08.03.2026,АПАТИН,Упис по основу пријаве пребивалишта,5
02.03.2026,08.03.2026,АПАТИН,Промена личних података,2
02.03.2026,08.03.2026,АПАТИН,Промена адресе пребивалишта,4
02.03.2026,08.03.2026,АПАТИН,Брисање по основу одјаве пребивалишта,11
02.03.2026,08.03.2026,АПАТИН,Брисање по основу смрти лица,8
02.03.2026,08.03.2026,АРАНЂЕЛОВАЦ,Упис по основу стицања пунолетства,38
02.03.2026,08.03.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве пребивалишта,46
02.03.2026,08.03.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве боравишта интерно расељеног лица,1
02.03.2026,08.03.2026,АРАНЂЕЛОВАЦ,Промена личних података,12
02.03.2026,08.03.2026,АРАНЂЕЛОВАЦ,Промена адресе пребивалишта,53
02.03.2026,08.03.2026,АРАНЂЕЛОВАЦ,Брисање по основу одјаве пребивалишта,9
02.03.2026,08.03.2026,АРАНЂЕЛОВАЦ,Брисање по основу смрти лица,10
02.03.2026,08.03.2026,АРАНЂЕЛОВАЦ,Брисање боравишта интерно расељеног лица,1
02.03.2026,08.03.2026,АРАНЂЕЛОВАЦ,Исправка техничке грешке,2
02.03.2026,08.03.2026,АРИЉЕ,Упис по основу стицања пунолетства,1
02.03.2026,08.03.2026,АРИЉЕ,Промена личних података,1
02.03.2026,08.03.2026,АРИЉЕ,Промена адресе пребивалишта,17
02.03.2026,08.03.2026,АРИЉЕ,Брисање по основу одјаве пребивалишта,5
02.03.2026,08.03.2026,АРИЉЕ,Брисање по основу смрти лица,4
02.03.2026,08.03.2026,БАБУШНИЦА,Упис по основу стицања пунолетства,1
02.03.2026,08.03.2026,БАБУШНИЦА,Упис по основу пријаве пребивалишта,4
02.03.2026,08.03.2026,БАБУШНИЦА,Промена личних података,1
02.03.2026,08.03.2026,БАБУШНИЦА,Промена адресе пребивалишта,13
02.03.2026,08.03.2026,БАБУШНИЦА,Брисање по основу одјаве пребивалишта,8
02.03.2026,08.03.2026,БАБУШНИЦА,Брисање по основу смрти лица,3
02.03.2026,08.03.2026,БАЈИНА БАШТА,Упис по основу стицања пунолетства,18
02.03.2026,08.03.2026,БАЈИНА БАШТА,Упис по основу пријаве пребивалишта,24
02.03.2026,08.03.2026,БАЈИНА БАШТА,Промена личних података,6
02.03.2026,08.03.2026,БАЈИНА БАШТА,Промена адресе пребивалишта,18
02.03.2026,08.03.2026,БАЈИНА БАШТА,Брисање по основу одјаве пребивалишта,11
02.03.2026,08.03.2026,БАЈИНА БАШТА,Брисање по основу губитка пословне способности,9
02.03.2026,08.03.2026,БАЈИНА БАШТА,Брисање по основу смрти лица,12
02.03.2026,08.03.2026,БАЈИНА БАШТА,Брисање по службеној дужности,5
02.03.2026,08.03.2026,БАТОЧИНА,Упис по основу стицања пунолетства,5
02.03.2026,08.03.2026,БАТОЧИНА,Упис по основу пријаве пребивалишта,5
02.03.2026,08.03.2026,БАТОЧИНА,Промена адресе пребивалишта,6
02.03.2026,08.03.2026,БАТОЧИНА,Брисање по основу одјаве пребивалишта,2
02.03.2026,08.03.2026,БАТОЧИНА,Брисање по основу смрти лица,3
02.03.2026,08.03.2026,БАТОЧИНА,Брисање по службеној дужности,1
02.03.2026,08.03.2026,БАЧ,Упис по основу стицања пунолетства,1
02.03.2026,08.03.2026,БАЧ,Промена адресе пребивалишта,3
02.03.2026,08.03.2026,БАЧ,Брисање по основу одјаве пребивалишта,8
02.03.2026,08.03.2026,БАЧ,Брисање по основу смрти лица,2
02.03.2026,08.03.2026,БАЧКА ПАЛАНКА,Упис по основу стицања пунолетства,8
02.03.2026,08.03.2026,БАЧКА ПАЛАНКА,Упис по основу пријаве пребивалишта,15
02.03.2026,08.03.2026,БАЧКА ПАЛАНКА,Промена личних података,3
02.03.2026,08.03.2026,БАЧКА ПАЛАНКА,Промена адресе пребивалишта,7
02.03.2026,08.03.2026,БАЧКА ПАЛАНКА,Брисање по основу одјаве пребивалишта,19
02.03.2026,08.03.2026,БАЧКА ПАЛАНКА,Брисање по основу губитка пословне способности,1
02.03.2026,08.03.2026,БАЧКА ПАЛАНКА,Брисање по основу смрти лица,13
02.03.2026,08.03.2026,БАЧКА ПАЛАНКА,Брисање по службеној дужности,15
02.03.2026,08.03.2026,БАЧКА ТОПОЛА,Упис по основу стицања пунолетства,7
02.03.2026,08.03.2026,БАЧКА ТОПОЛА,Упис по основу пријаве пребивалишта,7
02.03.2026,08.03.2026,БАЧКА ТОПОЛА,Промена личних података,50
02.03.2026,08.03.2026,БАЧКА ТОПОЛА,Промена адресе пребивалишта,25
02.03.2026,08.03.2026,БАЧКА ТОПОЛА,Брисање по основу дуплог уписа,2
02.03.2026,08.03.2026,БАЧКА ТОПОЛА,Брисање по основу одјаве пребивалишта,9
02.03.2026,08.03.2026,БАЧКА ТОПОЛА,Брисање по основу смрти лица,9
02.03.2026,08.03.2026,БАЧКА ТОПОЛА,Брисање по службеној дужности,2
02.03.2026,08.03.2026,БАЧКИ ПЕТРОВАЦ,Упис по основу стицања пунолетства,4
02.03.2026,08.03.2026,БАЧКИ ПЕТРОВАЦ,Упис по основу пријаве пребивалишта,1
02.03.2026,08.03.2026,БАЧКИ ПЕТРОВАЦ,Промена личних података,2
02.03.2026,08.03.2026,БАЧКИ ПЕТРОВАЦ,Промена адресе пребивалишта,1
02.03.2026,08.03.2026,БАЧКИ ПЕТРОВАЦ,Брисање по основу одјаве пребивалишта,1
02.03.2026,08.03.2026,БАЧКИ ПЕТРОВАЦ,Брисање по основу смрти лица,7
02.03.2026,08.03.2026,БЕЛА ПАЛАНКА,Упис по основу стицања пунолетства,3
02.03.2026,08.03.2026,БЕЛА ПАЛАНКА,Упис по основу пријаве пребивалишта,3
02.03.2026,08.03.2026,БЕЛА ПАЛАНКА,Промена адресе пребивалишта,10
02.03.2026,08.03.2026,БЕЛА ПАЛАНКА,Брисање по основу одјаве пребивалишта,3
