ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
25.05.2026,АДА,14322
25.05.2026,АЛЕКСАНДРОВАЦ,20695
25.05.2026,АЛЕКСИНАЦ,39256
25.05.2026,АЛИБУНАР,16705
25.05.2026,АПАТИН,23489
25.05.2026,АРАНЂЕЛОВАЦ,36811
25.05.2026,АРИЉЕ,14770
25.05.2026,БАБУШНИЦА,7961
25.05.2026,БАЈИНА БАШТА,21404
25.05.2026,БАТОЧИНА,9663
25.05.2026,БАЧ,11827
25.05.2026,БАЧКА ПАЛАНКА,44483
25.05.2026,БАЧКА ТОПОЛА,26722
25.05.2026,БАЧКИ ПЕТРОВАЦ,11622
25.05.2026,БЕЛА ПАЛАНКА,8296
25.05.2026,БЕЛА ЦРКВА,15399
25.05.2026,БЕОГРАД-БАРАЈЕВО,24039
25.05.2026,БЕОГРАД-ВОЖДОВАЦ,162788
25.05.2026,БЕОГРАД-ВРАЧАР,62999
25.05.2026,БЕОГРАД-ГРОЦКА,73680
25.05.2026,БЕОГРАД-ЗВЕЗДАРА,164200
25.05.2026,БЕОГРАД-ЗЕМУН,170889
25.05.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49687
25.05.2026,БЕОГРАД-МЛАДЕНОВАЦ,45176
25.05.2026,БЕОГРАД-НОВИ БЕОГРАД,202399
25.05.2026,БЕОГРАД-ОБРЕНОВАЦ,64253
25.05.2026,БЕОГРАД-ПАЛИЛУЛА,175514
25.05.2026,БЕОГРАД-РАКОВИЦА,98990
25.05.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41086
25.05.2026,БЕОГРАД-СОПОТ,17305
25.05.2026,БЕОГРАД-СТАРИ ГРАД,52955
25.05.2026,БЕОГРАД-СУРЧИН,40923
25.05.2026,БЕОГРАД-ЧУКАРИЦА,163119
25.05.2026,БЕОЧИН,13288
25.05.2026,БЕЧЕЈ,30492
25.05.2026,БЛАЦЕ,8178
25.05.2026,БОГАТИЋ,23832
25.05.2026,БОЈНИК,8057
25.05.2026,БОЉЕВАЦ,9408
25.05.2026,БОР - ГРАД,38343
25.05.2026,БОСИЛЕГРАД,7000
25.05.2026,БРУС,12326
25.05.2026,БУЈАНОВАЦ,44097
25.05.2026,ВАЉЕВО - ГРАД,74329
25.05.2026,ВАРВАРИН,14590
25.05.2026,ВЕЛИКА ПЛАНА,34988
25.05.2026,ВЕЛИКО ГРАДИШТЕ,18673
25.05.2026,ВИТИНА,2433
25.05.2026,ВЛАДИМИРЦИ,13547
25.05.2026,ВЛАДИЧИН ХАН,15874
25.05.2026,ВЛАСОТИНЦЕ,22425
25.05.2026,ВРАЊЕ - ГРАД,59761
25.05.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7889
25.05.2026,ВРБАС,33457
25.05.2026,ВРЊАЧКА БАЊА,23513
25.05.2026,ВРШАЦ - ГРАД,43563
25.05.2026,ВУЧИТРН,3614
25.05.2026,ГАЏИН ХАН,5285
25.05.2026,ГЊИЛАНЕ,7974
25.05.2026,ГОЛУБАЦ,7871
25.05.2026,ГОРА,6916
25.05.2026,ГОРЊИ МИЛАНОВАЦ,34228
25.05.2026,ДЕСПОТОВАЦ,21170
25.05.2026,ДИМИТРОВГРАД,7748
25.05.2026,ДОЉЕВАЦ,13679
25.05.2026,ЖАБАЉ,21108
25.05.2026,ЖАБАРИ,11035
