ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
29.06.2026,АДА,14299
29.06.2026,АЛЕКСАНДРОВАЦ,20676
29.06.2026,АЛЕКСИНАЦ,39234
29.06.2026,АЛИБУНАР,16698
29.06.2026,АПАТИН,23474
29.06.2026,АРАНЂЕЛОВАЦ,36794
29.06.2026,АРИЉЕ,14762
29.06.2026,БАБУШНИЦА,7946
29.06.2026,БАЈИНА БАШТА,21412
29.06.2026,БАТОЧИНА,9662
29.06.2026,БАЧ,11809
29.06.2026,БАЧКА ПАЛАНКА,44462
29.06.2026,БАЧКА ТОПОЛА,26674
29.06.2026,БАЧКИ ПЕТРОВАЦ,11631
29.06.2026,БЕЛА ПАЛАНКА,8288
29.06.2026,БЕЛА ЦРКВА,15403
29.06.2026,БЕОГРАД-БАРАЈЕВО,24017
29.06.2026,БЕОГРАД-ВОЖДОВАЦ,162920
29.06.2026,БЕОГРАД-ВРАЧАР,62972
29.06.2026,БЕОГРАД-ГРОЦКА,73728
29.06.2026,БЕОГРАД-ЗВЕЗДАРА,164309
29.06.2026,БЕОГРАД-ЗЕМУН,170975
29.06.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49665
29.06.2026,БЕОГРАД-МЛАДЕНОВАЦ,45204
29.06.2026,БЕОГРАД-НОВИ БЕОГРАД,202360
29.06.2026,БЕОГРАД-ОБРЕНОВАЦ,64236
29.06.2026,БЕОГРАД-ПАЛИЛУЛА,175587
29.06.2026,БЕОГРАД-РАКОВИЦА,99035
29.06.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41139
29.06.2026,БЕОГРАД-СОПОТ,17317
29.06.2026,БЕОГРАД-СТАРИ ГРАД,52926
29.06.2026,БЕОГРАД-СУРЧИН,40984
29.06.2026,БЕОГРАД-ЧУКАРИЦА,163104
29.06.2026,БЕОЧИН,13284
29.06.2026,БЕЧЕЈ,30467
29.06.2026,БЛАЦЕ,8179
29.06.2026,БОГАТИЋ,23816
29.06.2026,БОЈНИК,8049
29.06.2026,БОЉЕВАЦ,9404
29.06.2026,БОР - ГРАД,38309
29.06.2026,БОСИЛЕГРАД,6995
29.06.2026,БРУС,12311
29.06.2026,БУЈАНОВАЦ,44164
29.06.2026,ВАЉЕВО - ГРАД,74260
29.06.2026,ВАРВАРИН,14580
29.06.2026,ВЕЛИКА ПЛАНА,34973
29.06.2026,ВЕЛИКО ГРАДИШТЕ,18670
29.06.2026,ВИТИНА,2425
29.06.2026,ВЛАДИМИРЦИ,13545
29.06.2026,ВЛАДИЧИН ХАН,15834
29.06.2026,ВЛАСОТИНЦЕ,22397
29.06.2026,ВРАЊЕ - ГРАД,59715
29.06.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7888
29.06.2026,ВРБАС,33440
29.06.2026,ВРЊАЧКА БАЊА,23521
29.06.2026,ВРШАЦ - ГРАД,43548
29.06.2026,ВУЧИТРН,3604
29.06.2026,ГАЏИН ХАН,5284
29.06.2026,ГЊИЛАНЕ,8033
29.06.2026,ГОЛУБАЦ,7854
29.06.2026,ГОРА,6908
29.06.2026,ГОРЊИ МИЛАНОВАЦ,34209
29.06.2026,ДЕСПОТОВАЦ,21147
29.06.2026,ДИМИТРОВГРАД,7738
29.06.2026,ДОЉЕВАЦ,13694
29.06.2026,ЖАБАЉ,21100
29.06.2026,ЖАБАРИ,11028
