ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
27.04.2026,АДА,14314
27.04.2026,АЛЕКСАНДРОВАЦ,20730
27.04.2026,АЛЕКСИНАЦ,39302
27.04.2026,АЛИБУНАР,16697
27.04.2026,АПАТИН,23496
27.04.2026,АРАНЂЕЛОВАЦ,36820
27.04.2026,АРИЉЕ,14761
27.04.2026,БАБУШНИЦА,7974
27.04.2026,БАЈИНА БАШТА,21416
27.04.2026,БАТОЧИНА,9667
27.04.2026,БАЧ,11838
27.04.2026,БАЧКА ПАЛАНКА,44519
27.04.2026,БАЧКА ТОПОЛА,26756
27.04.2026,БАЧКИ ПЕТРОВАЦ,11629
27.04.2026,БЕЛА ПАЛАНКА,8307
27.04.2026,БЕЛА ЦРКВА,15412
27.04.2026,БЕОГРАД-БАРАЈЕВО,23981
27.04.2026,БЕОГРАД-ВОЖДОВАЦ,162816
27.04.2026,БЕОГРАД-ВРАЧАР,62951
27.04.2026,БЕОГРАД-ГРОЦКА,73645
27.04.2026,БЕОГРАД-ЗВЕЗДАРА,164039
27.04.2026,БЕОГРАД-ЗЕМУН,170784
27.04.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49689
27.04.2026,БЕОГРАД-МЛАДЕНОВАЦ,45159
27.04.2026,БЕОГРАД-НОВИ БЕОГРАД,202359
27.04.2026,БЕОГРАД-ОБРЕНОВАЦ,64203
27.04.2026,БЕОГРАД-ПАЛИЛУЛА,175377
27.04.2026,БЕОГРАД-РАКОВИЦА,98984
27.04.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41054
27.04.2026,БЕОГРАД-СОПОТ,17304
27.04.2026,БЕОГРАД-СТАРИ ГРАД,52965
27.04.2026,БЕОГРАД-СУРЧИН,40876
27.04.2026,БЕОГРАД-ЧУКАРИЦА,163138
27.04.2026,БЕОЧИН,13283
27.04.2026,БЕЧЕЈ,30505
27.04.2026,БЛАЦЕ,8187
27.04.2026,БОГАТИЋ,23820
27.04.2026,БОЈНИК,8069
27.04.2026,БОЉЕВАЦ,9424
27.04.2026,БОР - ГРАД,38397
27.04.2026,БОСИЛЕГРАД,7008
27.04.2026,БРУС,12338
27.04.2026,БУЈАНОВАЦ,44079
27.04.2026,ВАЉЕВО - ГРАД,74360
27.04.2026,ВАРВАРИН,14590
27.04.2026,ВЕЛИКА ПЛАНА,34989
27.04.2026,ВЕЛИКО ГРАДИШТЕ,18668
27.04.2026,ВИТИНА,2440
27.04.2026,ВЛАДИМИРЦИ,13544
27.04.2026,ВЛАДИЧИН ХАН,15883
