ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
23.02.2026,01.03.2026,АДА,Упис по основу стицања пунолетства,3
23.02.2026,01.03.2026,АДА,Упис по основу пријаве пребивалишта,4
23.02.2026,01.03.2026,АДА,Промена адресе пребивалишта,8
23.02.2026,01.03.2026,АДА,Брисање по основу одјаве пребивалишта,2
23.02.2026,01.03.2026,АДА,Брисање по основу смрти лица,8
23.02.2026,01.03.2026,АЛЕКСАНДРОВАЦ,Упис по основу стицања пунолетства,5
23.02.2026,01.03.2026,АЛЕКСАНДРОВАЦ,Упис по основу пријаве пребивалишта,5
23.02.2026,01.03.2026,АЛЕКСАНДРОВАЦ,Промена личних података,2
23.02.2026,01.03.2026,АЛЕКСАНДРОВАЦ,Промена адресе пребивалишта,22
23.02.2026,01.03.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,4
23.02.2026,01.03.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,6
23.02.2026,01.03.2026,АЛЕКСАНДРОВАЦ,Брисање по службеној дужности,1
23.02.2026,01.03.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,10
23.02.2026,01.03.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,12
23.02.2026,01.03.2026,АЛЕКСИНАЦ,Промена личних података,5
23.02.2026,01.03.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,40
23.02.2026,01.03.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,13
23.02.2026,01.03.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,15
23.02.2026,01.03.2026,АЛИБУНАР,Упис по основу стицања пунолетства,3
23.02.2026,01.03.2026,АЛИБУНАР,Упис по основу пријаве пребивалишта,6
23.02.2026,01.03.2026,АЛИБУНАР,Промена личних података,3
23.02.2026,01.03.2026,АЛИБУНАР,Промена адресе пребивалишта,2
23.02.2026,01.03.2026,АЛИБУНАР,Брисање по основу отпуста из држављанства,1
23.02.2026,01.03.2026,АЛИБУНАР,Брисање по основу одјаве пребивалишта,6
23.02.2026,01.03.2026,АЛИБУНАР,Брисање по основу губитка пословне способности,2
23.02.2026,01.03.2026,АЛИБУНАР,Брисање по основу смрти лица,10
23.02.2026,01.03.2026,АПАТИН,Упис по основу стицања пунолетства,1
23.02.2026,01.03.2026,АПАТИН,Упис по основу пријаве пребивалишта,7
23.02.2026,01.03.2026,АПАТИН,Промена личних података,3
23.02.2026,01.03.2026,АПАТИН,Промена адресе пребивалишта,2
23.02.2026,01.03.2026,АПАТИН,Брисање по основу одјаве пребивалишта,3
23.02.2026,01.03.2026,АПАТИН,Брисање по основу смрти лица,13
23.02.2026,01.03.2026,АРАНЂЕЛОВАЦ,Упис по основу стицања пунолетства,11
23.02.2026,01.03.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве пребивалишта,2
23.02.2026,01.03.2026,АРАНЂЕЛОВАЦ,Промена личних података,8
23.02.2026,01.03.2026,АРАНЂЕЛОВАЦ,Промена адресе пребивалишта,40
23.02.2026,01.03.2026,АРАНЂЕЛОВАЦ,Брисање по основу одјаве пребивалишта,8
23.02.2026,01.03.2026,АРАНЂЕЛОВАЦ,Брисање по основу смрти лица,11
23.02.2026,01.03.2026,АРАНЂЕЛОВАЦ,Брисање боравишта интерно расељеног лица,1
23.02.2026,01.03.2026,АРАНЂЕЛОВАЦ,Брисање по службеној дужности,6
23.02.2026,01.03.2026,АРИЉЕ,Упис по основу стицања пунолетства,4
23.02.2026,01.03.2026,АРИЉЕ,Упис по основу пријаве пребивалишта,1
