ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
17.08.2026,ОСЕЧИНА,8868
17.08.2026,ОЏАЦИ,23302
17.08.2026,ПАНЧЕВО - ГРАД,106328
17.08.2026,ПАРАЋИН,45574
17.08.2026,ПЕТРОВАЦ НА МЛАВИ,30637
17.08.2026,ПЕЋ,3889
17.08.2026,ПЕЋИНЦИ,15500
17.08.2026,ПИРОТ - ГРАД,44320
17.08.2026,ПЛАНДИШТЕ,8265
17.08.2026,ПОДУЈЕВО,404
17.08.2026,ПОЖАРЕВАЦ,56908
17.08.2026,ПОЖАРЕВАЦ-КОСТОЛАЦ,11340
17.08.2026,ПОЖЕГА,22479
17.08.2026,ПРЕШЕВО,44475
17.08.2026,ПРИБОЈ,26636
17.08.2026,ПРИЗРЕН,4554
17.08.2026,ПРИЈЕПОЉЕ,31545
17.08.2026,ПРИШТИНА - ГРАД,13738
17.08.2026,ПРОКУПЉЕ - ГРАД,35364
17.08.2026,РАЖАЊ,5905
17.08.2026,РАЧА,8908
17.08.2026,РАШКА,19616
17.08.2026,РЕКОВАЦ,7840
17.08.2026,РУМА,45296
17.08.2026,СВИЛАЈНАЦ,23449
17.08.2026,СВРЉИГ,9818
17.08.2026,СЕНТА,19343
17.08.2026,СЕЧАЊ,10147
17.08.2026,СЈЕНИЦА,27895
17.08.2026,СМЕДЕРЕВО - ГРАД,93850
17.08.2026,СМЕДЕРЕВСКА ПАЛАНКА,38822
17.08.2026,СОКОБАЊА,12799
17.08.2026,СОМБОР - ГРАД,69666
17.08.2026,СРБИЦА,291
17.08.2026,СРБОБРАН,13065
17.08.2026,СРЕМСКА МИТРОВИЦА - ГРАД,67964
17.08.2026,СРЕМСКИ КАРЛОВЦИ,7901
17.08.2026,СТАРА ПАЗОВА,57018
17.08.2026,СУБОТИЦА - ГРАД,124396
17.08.2026,СУРДУЛИЦА,16114
17.08.2026,ТЕМЕРИН,24786
17.08.2026,ТИТЕЛ,12552
17.08.2026,ТОПОЛА,17195
17.08.2026,ТРГОВИШТЕ,4369
17.08.2026,ТРСТЕНИК,33345
17.08.2026,ТУТИН,33725
17.08.2026,ЋИЋЕВАЦ,7123
17.08.2026,ЋУПРИЈА,27928
17.08.2026,УБ,22424
17.08.2026,УЖИЦЕ - ГРАД,56781
17.08.2026,УЖИЦЕ-СЕВОЈНО,5523
17.08.2026,УРОШЕВАЦ,3837
17.08.2026,ЦРНА ТРАВА,927
17.08.2026,ЧАЈЕТИНА,14565
17.08.2026,ЧАЧАК - ГРАД,93816
17.08.2026,ЧОКА,8481
17.08.2026,ШАБАЦ - ГРАД,98954
17.08.2026,ШИД,28808
17.08.2026,ШТРПЦЕ,5823
