ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
04.05.2026,10.05.2026,АДА,Упис по основу стицања пунолетства,19
04.05.2026,10.05.2026,АДА,Упис по основу пријаве пребивалишта,4
04.05.2026,10.05.2026,АДА,Промена личних података,1
04.05.2026,10.05.2026,АДА,Промена адресе пребивалишта,7
04.05.2026,10.05.2026,АДА,Брисање по основу одјаве пребивалишта,5
04.05.2026,10.05.2026,АДА,Брисање по основу смрти лица,5
04.05.2026,10.05.2026,АЛЕКСАНДРОВАЦ,Упис по основу стицања пунолетства,2
04.05.2026,10.05.2026,АЛЕКСАНДРОВАЦ,Промена личних података,1
04.05.2026,10.05.2026,АЛЕКСАНДРОВАЦ,Промена адресе пребивалишта,4
04.05.2026,10.05.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,4
04.05.2026,10.05.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,10
04.05.2026,10.05.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,5
04.05.2026,10.05.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,10
04.05.2026,10.05.2026,АЛЕКСИНАЦ,Промена личних података,3
04.05.2026,10.05.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,43
04.05.2026,10.05.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,12
04.05.2026,10.05.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,18
04.05.2026,10.05.2026,АЛЕКСИНАЦ,Исправка техничке грешке,1
04.05.2026,10.05.2026,АЛЕКСИНАЦ,Брисање по службеној дужности,3
04.05.2026,10.05.2026,АЛИБУНАР,Упис по основу стицања пунолетства,8
04.05.2026,10.05.2026,АЛИБУНАР,Упис по основу пријаве пребивалишта,4
04.05.2026,10.05.2026,АЛИБУНАР,Промена личних података,2
04.05.2026,10.05.2026,АЛИБУНАР,Промена адресе пребивалишта,2
04.05.2026,10.05.2026,АЛИБУНАР,Брисање по основу одјаве пребивалишта,3
04.05.2026,10.05.2026,АЛИБУНАР,Брисање по основу смрти лица,7
04.05.2026,10.05.2026,АПАТИН,Упис по основу стицања пунолетства,3
04.05.2026,10.05.2026,АПАТИН,Упис по основу пријаве пребивалишта,3
04.05.2026,10.05.2026,АПАТИН,Промена личних података,4
04.05.2026,10.05.2026,АПАТИН,Промена адресе пребивалишта,4
04.05.2026,10.05.2026,АПАТИН,Брисање по основу одјаве пребивалишта,4
04.05.2026,10.05.2026,АПАТИН,Брисање по основу смрти лица,7
04.05.2026,10.05.2026,АРАНЂЕЛОВАЦ,Упис по основу стицања пунолетства,6
04.05.2026,10.05.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве пребивалишта,11
04.05.2026,10.05.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве боравишта интерно расељеног лица,1
04.05.2026,10.05.2026,АРАНЂЕЛОВАЦ,Промена личних података,9
04.05.2026,10.05.2026,АРАНЂЕЛОВАЦ,Промена адресе пребивалишта,17
04.05.2026,10.05.2026,АРАНЂЕЛОВАЦ,Промена адресе боравишта интерно расељеног лица,1
04.05.2026,10.05.2026,АРАНЂЕЛОВАЦ,Брисање по основу одјаве пребивалишта,4
04.05.2026,10.05.2026,АРАНЂЕЛОВАЦ,Брисање по основу смрти лица,11
04.05.2026,10.05.2026,АРАНЂЕЛОВАЦ,Исправка техничке грешке,1
04.05.2026,10.05.2026,АРИЉЕ,Промена личних података,2
04.05.2026,10.05.2026,АРИЉЕ,Промена адресе пребивалишта,1
04.05.2026,10.05.2026,АРИЉЕ,Брисање по основу одјаве пребивалишта,2
04.05.2026,10.05.2026,АРИЉЕ,Брисање по основу смрти лица,6
04.05.2026,10.05.2026,БАБУШНИЦА,Упис по основу пријаве пребивалишта,2
04.05.2026,10.05.2026,БАБУШНИЦА,Промена адресе пребивалишта,12
04.05.2026,10.05.2026,БАЈИНА БАШТА,Упис по основу стицања пунолетства,1
04.05.2026,10.05.2026,БАЈИНА БАШТА,Упис по основу пријаве пребивалишта,8
04.05.2026,10.05.2026,БАЈИНА БАШТА,Промена личних података,2
04.05.2026,10.05.2026,БАЈИНА БАШТА,Промена адресе пребивалишта,84
04.05.2026,10.05.2026,БАЈИНА БАШТА,Брисање по основу одјаве пребивалишта,11
04.05.2026,10.05.2026,БАЈИНА БАШТА,Брисање по основу смрти лица,6
04.05.2026,10.05.2026,БАТОЧИНА,Упис по основу стицања пунолетства,1
04.05.2026,10.05.2026,БАТОЧИНА,Упис по основу пријаве пребивалишта,1
04.05.2026,10.05.2026,БАТОЧИНА,Промена личних података,2
04.05.2026,10.05.2026,БАТОЧИНА,Промена адресе пребивалишта,5
04.05.2026,10.05.2026,БАТОЧИНА,Брисање по основу одјаве пребивалишта,2
04.05.2026,10.05.2026,БАТОЧИНА,Брисање по основу смрти лица,1
04.05.2026,10.05.2026,БАТОЧИНА,Брисање боравишта интерно расељеног лица,1
04.05.2026,10.05.2026,БАЧ,Упис по основу стицања пунолетства,1
04.05.2026,10.05.2026,БАЧ,Упис по основу пријаве пребивалишта,1
04.05.2026,10.05.2026,БАЧ,Промена адресе пребивалишта,3
04.05.2026,10.05.2026,БАЧ,Брисање по основу одјаве пребивалишта,4
04.05.2026,10.05.2026,БАЧ,Брисање по основу смрти лица,7
04.05.2026,10.05.2026,БАЧКА ПАЛАНКА,Упис по основу стицања пунолетства,8
04.05.2026,10.05.2026,БАЧКА ПАЛАНКА,Упис по основу пријаве пребивалишта,7
04.05.2026,10.05.2026,БАЧКА ПАЛАНКА,Промена личних података,1
04.05.2026,10.05.2026,БАЧКА ПАЛАНКА,Промена адресе пребивалишта,17
04.05.2026,10.05.2026,БАЧКА ПАЛАНКА,Брисање по основу одјаве пребивалишта,6
04.05.2026,10.05.2026,БАЧКА ПАЛАНКА,Брисање по основу смрти лица,20
04.05.2026,10.05.2026,БАЧКА ТОПОЛА,Упис по основу стицања пунолетства,8
04.05.2026,10.05.2026,БАЧКА ТОПОЛА,Упис по основу пријаве пребивалишта,8
04.05.2026,10.05.2026,БАЧКА ТОПОЛА,Промена личних података,29
04.05.2026,10.05.2026,БАЧКА ТОПОЛА,Промена адресе пребивалишта,19
04.05.2026,10.05.2026,БАЧКА ТОПОЛА,Брисање по основу дуплог уписа,1
04.05.2026,10.05.2026,БАЧКА ТОПОЛА,Брисање по основу одјаве пребивалишта,6
04.05.2026,10.05.2026,БАЧКА ТОПОЛА,Брисање по основу смрти лица,11
04.05.2026,10.05.2026,БАЧКИ ПЕТРОВАЦ,Упис по основу стицања пунолетства,4
04.05.2026,10.05.2026,БАЧКИ ПЕТРОВАЦ,Упис по основу пријаве пребивалишта,3
04.05.2026,10.05.2026,БАЧКИ ПЕТРОВАЦ,Промена адресе пребивалишта,5
04.05.2026,10.05.2026,БАЧКИ ПЕТРОВАЦ,Брисање по основу одјаве пребивалишта,2
04.05.2026,10.05.2026,БАЧКИ ПЕТРОВАЦ,Брисање по основу смрти лица,5
04.05.2026,10.05.2026,БЕЛА ПАЛАНКА,Упис по основу стицања пунолетства,3
04.05.2026,10.05.2026,БЕЛА ПАЛАНКА,Упис по основу пријаве пребивалишта,2
04.05.2026,10.05.2026,БЕЛА ПАЛАНКА,Промена адресе пребивалишта,12
04.05.2026,10.05.2026,БЕЛА ПАЛАНКА,Брисање по основу одјаве пребивалишта,3
04.05.2026,10.05.2026,БЕЛА ПАЛАНКА,Брисање по основу смрти лица,4
04.05.2026,10.05.2026,БЕЛА ЦРКВА,Упис по основу стицања пунолетства,1
04.05.2026,10.05.2026,БЕЛА ЦРКВА,Упис по основу пријаве пребивалишта,3
04.05.2026,10.05.2026,БЕЛА ЦРКВА,Промена адресе пребивалишта,5
04.05.2026,10.05.2026,БЕЛА ЦРКВА,Брисање по основу одјаве пребивалишта,3
04.05.2026,10.05.2026,БЕЛА ЦРКВА,Брисање по основу смрти лица,7
04.05.2026,10.05.2026,БЕОГРАД-БАРАЈЕВО,Упис по основу стицања пунолетства,5
04.05.2026,10.05.2026,БЕОГРАД-БАРАЈЕВО,Упис по основу пријаве пребивалишта,19
04.05.2026,10.05.2026,БЕОГРАД-БАРАЈЕВО,Упис по основу пријаве боравишта интерно расељеног лица,1
04.05.2026,10.05.2026,БЕОГРАД-БАРАЈЕВО,Промена личних података,12
04.05.2026,10.05.2026,БЕОГРАД-БАРАЈЕВО,Промена адресе пребивалишта,6
04.05.2026,10.05.2026,БЕОГРАД-БАРАЈЕВО,Промена адресе боравишта интерно расељеног лица,1
04.05.2026,10.05.2026,БЕОГРАД-БАРАЈЕВО,Брисање по основу одјаве пребивалишта,13
04.05.2026,10.05.2026,БЕОГРАД-БАРАЈЕВО,Брисање по основу смрти лица,7
04.05.2026,10.05.2026,БЕОГРАД-БАРАЈЕВО,Брисање боравишта интерно расељеног лица,2
04.05.2026,10.05.2026,БЕОГРАД-ВОЖДОВАЦ,Упис по основу стицања пунолетства,38
04.05.2026,10.05.2026,БЕОГРАД-ВОЖДОВАЦ,Упис по основу пријаве пребивалишта,97
04.05.2026,10.05.2026,БЕОГРАД-ВОЖДОВАЦ,Упис по основу пријаве боравишта интерно расељеног лица,5
04.05.2026,10.05.2026,БЕОГРАД-ВОЖДОВАЦ,Промена личних података,43
04.05.2026,10.05.2026,БЕОГРАД-ВОЖДОВАЦ,Промена адресе пребивалишта,47
04.05.2026,10.05.2026,БЕОГРАД-ВОЖДОВАЦ,Брисање по основу одјаве пребивалишта,97
04.05.2026,10.05.2026,БЕОГРАД-ВОЖДОВАЦ,Брисање по основу смрти лица,38
04.05.2026,10.05.2026,БЕОГРАД-ВОЖДОВАЦ,Исправка техничке грешке,2
04.05.2026,10.05.2026,БЕОГРАД-ВОЖДОВАЦ,Брисање по службеној дужности,4
04.05.2026,10.05.2026,БЕОГРАД-ВРАЧАР,Упис по основу стицања пунолетства,14
04.05.2026,10.05.2026,БЕОГРАД-ВРАЧАР,Упис по основу пријаве пребивалишта,76
04.05.2026,10.05.2026,БЕОГРАД-ВРАЧАР,Промена личних података,136
04.05.2026,10.05.2026,БЕОГРАД-ВРАЧАР,Промена адресе пребивалишта,11
04.05.2026,10.05.2026,БЕОГРАД-ВРАЧАР,Брисање по основу одјаве пребивалишта,34
04.05.2026,10.05.2026,БЕОГРАД-ВРАЧАР,Брисање по основу смрти лица,20
04.05.2026,10.05.2026,БЕОГРАД-ВРАЧАР,Брисање по службеној дужности,3
04.05.2026,10.05.2026,БЕОГРАД-ГРОЦКА,Упис по основу стицања пунолетства,23
04.05.2026,10.05.2026,БЕОГРАД-ГРОЦКА,Упис по основу пријаве пребивалишта,42
04.05.2026,10.05.2026,БЕОГРАД-ГРОЦКА,Упис по основу пријаве боравишта интерно расељеног лица,3
04.05.2026,10.05.2026,БЕОГРАД-ГРОЦКА,Промена личних података,24
04.05.2026,10.05.2026,БЕОГРАД-ГРОЦКА,Промена адресе пребивалишта,30
04.05.2026,10.05.2026,БЕОГРАД-ГРОЦКА,Брисање по основу одјаве пребивалишта,29
04.05.2026,10.05.2026,БЕОГРАД-ГРОЦКА,Брисање по основу смрти лица,20
04.05.2026,10.05.2026,БЕОГРАД-ГРОЦКА,Брисање боравишта интерно расељеног лица,3
04.05.2026,10.05.2026,БЕОГРАД-ГРОЦКА,Брисање по службеној дужности,8
04.05.2026,10.05.2026,БЕОГРАД-ЗВЕЗДАРА,Упис по основу стицања пунолетства,32
04.05.2026,10.05.2026,БЕОГРАД-ЗВЕЗДАРА,Упис по основу пријаве пребивалишта,162
04.05.2026,10.05.2026,БЕОГРАД-ЗВЕЗДАРА,Упис по основу пријема у држављанство,1
04.05.2026,10.05.2026,БЕОГРАД-ЗВЕЗДАРА,Упис по основу пријаве боравишта интерно расељеног лица,4
04.05.2026,10.05.2026,БЕОГРАД-ЗВЕЗДАРА,Промена личних података,132
04.05.2026,10.05.2026,БЕОГРАД-ЗВЕЗДАРА,Промена адресе пребивалишта,63
04.05.2026,10.05.2026,БЕОГРАД-ЗВЕЗДАРА,Промена адресе боравишта интерно расељеног лица,4
04.05.2026,10.05.2026,БЕОГРАД-ЗВЕЗДАРА,Брисање по основу одјаве пребивалишта,87
04.05.2026,10.05.2026,БЕОГРАД-ЗВЕЗДАРА,Брисање по основу смрти лица,33
04.05.2026,10.05.2026,БЕОГРАД-ЗВЕЗДАРА,Брисање боравишта интерно расељеног лица,1
04.05.2026,10.05.2026,БЕОГРАД-ЗЕМУН,Упис по основу стицања пунолетства,36
04.05.2026,10.05.2026,БЕОГРАД-ЗЕМУН,Упис по основу пријаве пребивалишта,95
04.05.2026,10.05.2026,БЕОГРАД-ЗЕМУН,Промена личних података,19
04.05.2026,10.05.2026,БЕОГРАД-ЗЕМУН,Промена адресе пребивалишта,48
04.05.2026,10.05.2026,БЕОГРАД-ЗЕМУН,Брисање по основу одјаве пребивалишта,60
04.05.2026,10.05.2026,БЕОГРАД-ЗЕМУН,Брисање по основу смрти лица,39
04.05.2026,10.05.2026,БЕОГРАД-ЗЕМУН,Брисање по службеној дужности,13
04.05.2026,10.05.2026,БЕОГРАД-ЛАЗАРЕВАЦ,Упис по основу стицања пунолетства,14
04.05.2026,10.05.2026,БЕОГРАД-ЛАЗАРЕВАЦ,Упис по основу пријаве пребивалишта,15
04.05.2026,10.05.2026,БЕОГРАД-ЛАЗАРЕВАЦ,Промена личних података,8
04.05.2026,10.05.2026,БЕОГРАД-ЛАЗАРЕВАЦ,Промена адресе пребивалишта,31
04.05.2026,10.05.2026,БЕОГРАД-ЛАЗАРЕВАЦ,Брисање по основу одјаве пребивалишта,14
04.05.2026,10.05.2026,БЕОГРАД-ЛАЗАРЕВАЦ,Брисање по основу смрти лица,11
