ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
14.09.2026,АДА,14289
14.09.2026,АЛЕКСАНДРОВАЦ,20638
14.09.2026,АЛЕКСИНАЦ,39189
14.09.2026,АЛИБУНАР,16683
14.09.2026,АПАТИН,23362
14.09.2026,АРАНЂЕЛОВАЦ,36841
14.09.2026,АРИЉЕ,14757
14.09.2026,БАБУШНИЦА,7916
14.09.2026,БАЈИНА БАШТА,21357
14.09.2026,БАТОЧИНА,9677
14.09.2026,БАЧ,11802
14.09.2026,БАЧКА ПАЛАНКА,44423
14.09.2026,БАЧКА ТОПОЛА,26558
14.09.2026,БАЧКИ ПЕТРОВАЦ,11622
14.09.2026,БЕЛА ПАЛАНКА,8266
14.09.2026,БЕЛА ЦРКВА,15312
14.09.2026,БЕОГРАД-БАРАЈЕВО,23962
14.09.2026,БЕОГРАД-ВОЖДОВАЦ,163057
14.09.2026,БЕОГРАД-ВРАЧАР,62896
14.09.2026,БЕОГРАД-ГРОЦКА,73884
14.09.2026,БЕОГРАД-ЗВЕЗДАРА,164519
14.09.2026,БЕОГРАД-ЗЕМУН,171256
14.09.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49660
14.09.2026,БЕОГРАД-МЛАДЕНОВАЦ,45283
14.09.2026,БЕОГРАД-НОВИ БЕОГРАД,202124
14.09.2026,БЕОГРАД-ОБРЕНОВАЦ,64352
14.09.2026,БЕОГРАД-ПАЛИЛУЛА,175602
14.09.2026,БЕОГРАД-РАКОВИЦА,98993
14.09.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41266
14.09.2026,БЕОГРАД-СОПОТ,17354
14.09.2026,БЕОГРАД-СТАРИ ГРАД,52900
14.09.2026,БЕОГРАД-СУРЧИН,41175
14.09.2026,БЕОГРАД-ЧУКАРИЦА,163563
14.09.2026,БЕОЧИН,13285
14.09.2026,БЕЧЕЈ,30406
14.09.2026,БЛАЦЕ,8157
14.09.2026,БОГАТИЋ,23790
14.09.2026,БОЈНИК,8040
14.09.2026,БОЉЕВАЦ,9382
14.09.2026,БОР - ГРАД,38182
14.09.2026,БОСИЛЕГРАД,6966
14.09.2026,БРУС,12283
14.09.2026,БУЈАНОВАЦ,44506
14.09.2026,ВАЉЕВО - ГРАД,74297
14.09.2026,ВАРВАРИН,14571
14.09.2026,ВЕЛИКА ПЛАНА,35015
14.09.2026,ВЕЛИКО ГРАДИШТЕ,18668
14.09.2026,ВИТИНА,2395
14.09.2026,ВЛАДИМИРЦИ,13541
14.09.2026,ВЛАДИЧИН ХАН,15857
14.09.2026,ВЛАСОТИНЦЕ,22364
14.09.2026,ВРАЊЕ - ГРАД,59827
14.09.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7880
14.09.2026,ВРБАС,33439
