ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
01.06.2026,АДА,14320
01.06.2026,АЛЕКСАНДРОВАЦ,20688
01.06.2026,АЛЕКСИНАЦ,39249
01.06.2026,АЛИБУНАР,16709
01.06.2026,АПАТИН,23487
01.06.2026,АРАНЂЕЛОВАЦ,36813
01.06.2026,АРИЉЕ,14772
01.06.2026,БАБУШНИЦА,7960
01.06.2026,БАЈИНА БАШТА,21406
01.06.2026,БАТОЧИНА,9663
01.06.2026,БАЧ,11828
01.06.2026,БАЧКА ПАЛАНКА,44483
01.06.2026,БАЧКА ТОПОЛА,26707
01.06.2026,БАЧКИ ПЕТРОВАЦ,11622
01.06.2026,БЕЛА ПАЛАНКА,8290
01.06.2026,БЕЛА ЦРКВА,15403
01.06.2026,БЕОГРАД-БАРАЈЕВО,24022
01.06.2026,БЕОГРАД-ВОЖДОВАЦ,162830
01.06.2026,БЕОГРАД-ВРАЧАР,62981
01.06.2026,БЕОГРАД-ГРОЦКА,73676
01.06.2026,БЕОГРАД-ЗВЕЗДАРА,164228
01.06.2026,БЕОГРАД-ЗЕМУН,170921
01.06.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49696
01.06.2026,БЕОГРАД-МЛАДЕНОВАЦ,45177
01.06.2026,БЕОГРАД-НОВИ БЕОГРАД,202410
01.06.2026,БЕОГРАД-ОБРЕНОВАЦ,64248
01.06.2026,БЕОГРАД-ПАЛИЛУЛА,175460
01.06.2026,БЕОГРАД-РАКОВИЦА,99033
01.06.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41107
01.06.2026,БЕОГРАД-СОПОТ,17328
01.06.2026,БЕОГРАД-СТАРИ ГРАД,52964
01.06.2026,БЕОГРАД-СУРЧИН,40934
01.06.2026,БЕОГРАД-ЧУКАРИЦА,163103
01.06.2026,БЕОЧИН,13293
01.06.2026,БЕЧЕЈ,30486
01.06.2026,БЛАЦЕ,8186
01.06.2026,БОГАТИЋ,23827
01.06.2026,БОЈНИК,8057
01.06.2026,БОЉЕВАЦ,9406
01.06.2026,БОР - ГРАД,38342
01.06.2026,БОСИЛЕГРАД,7002
01.06.2026,БРУС,12324
01.06.2026,БУЈАНОВАЦ,44110
01.06.2026,ВАЉЕВО - ГРАД,74315
01.06.2026,ВАРВАРИН,14583
01.06.2026,ВЕЛИКА ПЛАНА,34978
01.06.2026,ВЕЛИКО ГРАДИШТЕ,18679
01.06.2026,ВИТИНА,2431
01.06.2026,ВЛАДИМИРЦИ,13555
01.06.2026,ВЛАДИЧИН ХАН,15870
01.06.2026,ВЛАСОТИНЦЕ,22413
01.06.2026,ВРАЊЕ - ГРАД,59753
01.06.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7888
01.06.2026,ВРБАС,33459
01.06.2026,ВРЊАЧКА БАЊА,23507
01.06.2026,ВРШАЦ - ГРАД,43571
01.06.2026,ВУЧИТРН,3615
01.06.2026,ГАЏИН ХАН,5283
01.06.2026,ГЊИЛАНЕ,7992
01.06.2026,ГОЛУБАЦ,7868
01.06.2026,ГОРА,6915
01.06.2026,ГОРЊИ МИЛАНОВАЦ,34229
01.06.2026,ДЕСПОТОВАЦ,21163
01.06.2026,ДИМИТРОВГРАД,7747
01.06.2026,ДОЉЕВАЦ,13661
01.06.2026,ЖАБАЉ,21109
01.06.2026,ЖАБАРИ,11036
01.06.2026,ЖАГУБИЦА,10276
01.06.2026,ЖИТИШТЕ,13321
01.06.2026,ЖИТОРАЂА,11752
01.06.2026,ЗАЈЕЧАР - ГРАД,46873
01.06.2026,ЗВЕЧАН,5512
01.06.2026,ЗРЕЊАНИН - ГРАД,98199
01.06.2026,ЗУБИН ПОТОК,4302
01.06.2026,ИВАЊИЦА,24112
01.06.2026,ИНЂИЈА,40537
01.06.2026,ИРИГ,8974
01.06.2026,ИСТОК,3076
01.06.2026,ЈАГОДИНА - ГРАД,63513
01.06.2026,КАЊИЖА,20680
