ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
03.08.2026,АДА,14284
03.08.2026,АЛЕКСАНДРОВАЦ,20651
03.08.2026,АЛЕКСИНАЦ,39225
03.08.2026,АЛИБУНАР,16679
03.08.2026,АПАТИН,23447
03.08.2026,АРАНЂЕЛОВАЦ,36820
03.08.2026,АРИЉЕ,14761
03.08.2026,БАБУШНИЦА,7926
03.08.2026,БАЈИНА БАШТА,21401
03.08.2026,БАТОЧИНА,9666
03.08.2026,БАЧ,11806
03.08.2026,БАЧКА ПАЛАНКА,44436
03.08.2026,БАЧКА ТОПОЛА,26637
03.08.2026,БАЧКИ ПЕТРОВАЦ,11635
03.08.2026,БЕЛА ПАЛАНКА,8275
03.08.2026,БЕЛА ЦРКВА,15393
03.08.2026,БЕОГРАД-БАРАЈЕВО,24030
03.08.2026,БЕОГРАД-ВОЖДОВАЦ,163003
03.08.2026,БЕОГРАД-ВРАЧАР,62923
03.08.2026,БЕОГРАД-ГРОЦКА,73775
03.08.2026,БЕОГРАД-ЗВЕЗДАРА,164436
03.08.2026,БЕОГРАД-ЗЕМУН,171058
03.08.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49669
03.08.2026,БЕОГРАД-МЛАДЕНОВАЦ,45232
03.08.2026,БЕОГРАД-НОВИ БЕОГРАД,202259
03.08.2026,БЕОГРАД-ОБРЕНОВАЦ,64262
03.08.2026,БЕОГРАД-ПАЛИЛУЛА,175590
03.08.2026,БЕОГРАД-РАКОВИЦА,99053
03.08.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41191
03.08.2026,БЕОГРАД-СОПОТ,17356
03.08.2026,БЕОГРАД-СТАРИ ГРАД,52909
03.08.2026,БЕОГРАД-СУРЧИН,41065
03.08.2026,БЕОГРАД-ЧУКАРИЦА,163155
03.08.2026,БЕОЧИН,13287
03.08.2026,БЕЧЕЈ,30432
03.08.2026,БЛАЦЕ,8166
03.08.2026,БОГАТИЋ,23818
03.08.2026,БОЈНИК,8039
03.08.2026,БОЉЕВАЦ,9400
03.08.2026,БОР - ГРАД,38272
03.08.2026,БОСИЛЕГРАД,6985
03.08.2026,БРУС,12289
03.08.2026,БУЈАНОВАЦ,44368
03.08.2026,ВАЉЕВО - ГРАД,74285
03.08.2026,ВАРВАРИН,14581
03.08.2026,ВЕЛИКА ПЛАНА,34968
03.08.2026,ВЕЛИКО ГРАДИШТЕ,18668
03.08.2026,ВИТИНА,2414
03.08.2026,ВЛАДИМИРЦИ,13529
03.08.2026,ВЛАДИЧИН ХАН,15874
03.08.2026,ВЛАСОТИНЦЕ,22387
03.08.2026,ВРАЊЕ - ГРАД,59709
03.08.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7893
03.08.2026,ВРБАС,33429
03.08.2026,ВРЊАЧКА БАЊА,23525
03.08.2026,ВРШАЦ - ГРАД,43542
03.08.2026,ВУЧИТРН,3606
03.08.2026,ГАЏИН ХАН,5274
03.08.2026,ГЊИЛАНЕ,8014
03.08.2026,ГОЛУБАЦ,7851
03.08.2026,ГОРА,6903
03.08.2026,ГОРЊИ МИЛАНОВАЦ,34196
03.08.2026,ДЕСПОТОВАЦ,21132
03.08.2026,ДИМИТРОВГРАД,7721
03.08.2026,ДОЉЕВАЦ,13697
03.08.2026,ЖАБАЉ,21112
03.08.2026,ЖАБАРИ,11028
03.08.2026,ЖАГУБИЦА,10272
03.08.2026,ЖИТИШТЕ,13300
03.08.2026,ЖИТОРАЂА,11735
03.08.2026,ЗАЈЕЧАР - ГРАД,46806
03.08.2026,ЗВЕЧАН,5489
03.08.2026,ЗРЕЊАНИН - ГРАД,98159
03.08.2026,ЗУБИН ПОТОК,4279
03.08.2026,ИВАЊИЦА,24047
03.08.2026,ИНЂИЈА,40538
03.08.2026,ИРИГ,8963
03.08.2026,ИСТОК,3059
03.08.2026,ЈАГОДИНА - ГРАД,63466
03.08.2026,КАЊИЖА,20656
03.08.2026,КИКИНДА - ГРАД,45816
03.08.2026,КЛАДОВО,21049
03.08.2026,КЛИНА,1892
03.08.2026,КНИЋ,10239
03.08.2026,КЊАЖЕВАЦ,22178
03.08.2026,КОВАЧИЦА,20770
03.08.2026,КОВИН,27150
03.08.2026,КОСЈЕРИЋ,8798
03.08.2026,КОСОВО ПОЉЕ,4839
03.08.2026,КОСОВСКА КАМЕНИЦА,6219
03.08.2026,КОСОВСКА МИТРОВИЦА,14721
03.08.2026,КОЦЕЉЕВА,10341
03.08.2026,КРАГУЈЕВАЦ - ГРАД,152755
03.08.2026,КРАЉЕВО - ГРАД,97883
03.08.2026,КРУПАЊ,12587
03.08.2026,КРУШЕВАЦ - ГРАД,103725
03.08.2026,КУЛА,33144
03.08.2026,КУРШУМЛИЈА,13504
03.08.2026,КУЧЕВО,15247
03.08.2026,ЛАЈКОВАЦ,11227
03.08.2026,ЛАПОВО,6393
03.08.2026,ЛЕБАНЕ,16322
03.08.2026,ЛЕПОСАВИЋ,8907
03.08.2026,ЛЕСКОВАЦ - ГРАД,112267
03.08.2026,ЛИПЉАН,6011
03.08.2026,ЛОЗНИЦА - ГРАД,76630
03.08.2026,ЛУЧАНИ,14572
03.08.2026,ЉИГ,8425
03.08.2026,ЉУБОВИЈА,13061
03.08.2026,МАЈДАНПЕК,15312
03.08.2026,МАЛИ ЗВОРНИК,16138
03.08.2026,МАЛИ ИЂОШ,9798
03.08.2026,МАЛО ЦРНИЋЕ,11544
03.08.2026,МЕДВЕЂА,5972
03.08.2026,МЕРОШИНА,9713
03.08.2026,МИОНИЦА,10611
03.08.2026,НЕГОТИН,35398
03.08.2026,НИШ-МЕДИЈАНА,76513
03.08.2026,НИШ-НИШКА БАЊА,11545
03.08.2026,НИШ-ПАЛИЛУЛА,63331
03.08.2026,НИШ-ПАНТЕЛЕЈ,46450
03.08.2026,НИШ-ЦРВЕНИ КРСТ,29301
03.08.2026,НОВА ВАРОШ,12102
03.08.2026,НОВА ЦРЊА,7720
03.08.2026,НОВИ БЕЧЕЈ,18131
03.08.2026,НОВИ КНЕЖЕВАЦ,8274
03.08.2026,НОВИ ПАЗАР - ГРАД,94704
03.08.2026,НОВИ САД - ГРАД,344515
03.08.2026,НОВО БРДО,953
03.08.2026,ОБИЛИЋ,3542
03.08.2026,ОПОВО,7976
03.08.2026,ОРАХОВАЦ,1536
03.08.2026,ОСЕЧИНА,8876
03.08.2026,ОЏАЦИ,23298
03.08.2026,ПАНЧЕВО - ГРАД,106270
03.08.2026,ПАРАЋИН,45553
03.08.2026,ПЕТРОВАЦ НА МЛАВИ,30646
03.08.2026,ПЕЋ,3895
03.08.2026,ПЕЋИНЦИ,15489
03.08.2026,ПИРОТ - ГРАД,44348
03.08.2026,ПЛАНДИШТЕ,8274
03.08.2026,ПОДУЈЕВО,405
03.08.2026,ПОЖАРЕВАЦ,56904
03.08.2026,ПОЖАРЕВАЦ-КОСТОЛАЦ,11337
03.08.2026,ПОЖЕГА,22485
03.08.2026,ПРЕШЕВО,44414
03.08.2026,ПРИБОЈ,26645
03.08.2026,ПРИЗРЕН,4560
03.08.2026,ПРИЈЕПОЉЕ,31515
03.08.2026,ПРИШТИНА - ГРАД,13756
03.08.2026,ПРОКУПЉЕ - ГРАД,35358
03.08.2026,РАЖАЊ,5906
03.08.2026,РАЧА,8919
03.08.2026,РАШКА,19607
03.08.2026,РЕКОВАЦ,7846
03.08.2026,РУМА,45290
03.08.2026,СВИЛАЈНАЦ,23437
03.08.2026,СВРЉИГ,9822
03.08.2026,СЕНТА,19348
03.08.2026,СЕЧАЊ,10132
03.08.2026,СЈЕНИЦА,27903
03.08.2026,СМЕДЕРЕВО - ГРАД,93857
03.08.2026,СМЕДЕРЕВСКА ПАЛАНКА,38819
03.08.2026,СОКОБАЊА,12807
03.08.2026,СОМБОР - ГРАД,69662
03.08.2026,СРБИЦА,291
03.08.2026,СРБОБРАН,13069
03.08.2026,СРЕМСКА МИТРОВИЦА - ГРАД,67960
03.08.2026,СРЕМСКИ КАРЛОВЦИ,7913
