ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
02.03.2026,АДА,14324
02.03.2026,АЛЕКСАНДРОВАЦ,20808
02.03.2026,АЛЕКСИНАЦ,39384
02.03.2026,АЛИБУНАР,16717
02.03.2026,АПАТИН,23529
02.03.2026,АРАНЂЕЛОВАЦ,36784
02.03.2026,АРИЉЕ,14773
02.03.2026,БАБУШНИЦА,8000
02.03.2026,БАЈИНА БАШТА,21472
02.03.2026,БАТОЧИНА,9655
02.03.2026,БАЧ,11853
02.03.2026,БАЧКА ПАЛАНКА,44593
02.03.2026,БАЧКА ТОПОЛА,26830
02.03.2026,БАЧКИ ПЕТРОВАЦ,11622
02.03.2026,БЕЛА ПАЛАНКА,8332
02.03.2026,БЕЛА ЦРКВА,15456
02.03.2026,БЕОГРАД-БАРАЈЕВО,23893
02.03.2026,БЕОГРАД-ВОЖДОВАЦ,162671
02.03.2026,БЕОГРАД-ВРАЧАР,62942
02.03.2026,БЕОГРАД-ГРОЦКА,73557
02.03.2026,БЕОГРАД-ЗВЕЗДАРА,163694
02.03.2026,БЕОГРАД-ЗЕМУН,170663
02.03.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49717
02.03.2026,БЕОГРАД-МЛАДЕНОВАЦ,45137
02.03.2026,БЕОГРАД-НОВИ БЕОГРАД,202474
02.03.2026,БЕОГРАД-ОБРЕНОВАЦ,64197
02.03.2026,БЕОГРАД-ПАЛИЛУЛА,175058
02.03.2026,БЕОГРАД-РАКОВИЦА,99032
02.03.2026,БЕОГРАД-САВСКИ ВЕНАЦ,40865
02.03.2026,БЕОГРАД-СОПОТ,17329
02.03.2026,БЕОГРАД-СТАРИ ГРАД,53004
02.03.2026,БЕОГРАД-СУРЧИН,40821
02.03.2026,БЕОГРАД-ЧУКАРИЦА,163108
02.03.2026,БЕОЧИН,13293
02.03.2026,БЕЧЕЈ,30613
02.03.2026,БЛАЦЕ,8217
02.03.2026,БОГАТИЋ,23859
02.03.2026,БОЈНИК,8084
02.03.2026,БОЉЕВАЦ,9458
02.03.2026,БОР - ГРАД,38515
02.03.2026,БОСИЛЕГРАД,7032
02.03.2026,БРУС,12365
02.03.2026,БУЈАНОВАЦ,43963
02.03.2026,ВАЉЕВО - ГРАД,74408
02.03.2026,ВАРВАРИН,14624
02.03.2026,ВЕЛИКА ПЛАНА,35023
02.03.2026,ВЕЛИКО ГРАДИШТЕ,18691
02.03.2026,ВИТИНА,2464
02.03.2026,ВЛАДИМИРЦИ,13561
02.03.2026,ВЛАДИЧИН ХАН,15908
02.03.2026,ВЛАСОТИНЦЕ,22491
02.03.2026,ВРАЊЕ - ГРАД,59807
02.03.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7894
02.03.2026,ВРБАС,33507
02.03.2026,ВРЊАЧКА БАЊА,23504
02.03.2026,ВРШАЦ - ГРАД,43601
