ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
03.08.2026,09.08.2026,АДА,Упис по основу стицања пунолетства,13
03.08.2026,09.08.2026,АДА,Упис по основу пријаве пребивалишта,13
03.08.2026,09.08.2026,АДА,Промена личних података,5
03.08.2026,09.08.2026,АДА,Промена адресе пребивалишта,12
03.08.2026,09.08.2026,АДА,Брисање по основу смрти лица,10
03.08.2026,09.08.2026,АЛЕКСАНДРОВАЦ,Упис по основу стицања пунолетства,1
03.08.2026,09.08.2026,АЛЕКСАНДРОВАЦ,Промена личних података,3
03.08.2026,09.08.2026,АЛЕКСАНДРОВАЦ,Промена адресе пребивалишта,13
03.08.2026,09.08.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,1
03.08.2026,09.08.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,4
03.08.2026,09.08.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,8
03.08.2026,09.08.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,12
03.08.2026,09.08.2026,АЛЕКСИНАЦ,Упис по основу пријаве боравишта интерно расељеног лица,1
03.08.2026,09.08.2026,АЛЕКСИНАЦ,Промена личних података,9
03.08.2026,09.08.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,43
03.08.2026,09.08.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,8
03.08.2026,09.08.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,10
03.08.2026,09.08.2026,АЛЕКСИНАЦ,Брисање боравишта интерно расељеног лица,83
03.08.2026,09.08.2026,АЛЕКСИНАЦ,Исправка техничке грешке,2
03.08.2026,09.08.2026,АЛИБУНАР,Упис по основу стицања пунолетства,8
03.08.2026,09.08.2026,АЛИБУНАР,Упис по основу пријаве пребивалишта,7
03.08.2026,09.08.2026,АЛИБУНАР,Промена личних података,4
03.08.2026,09.08.2026,АЛИБУНАР,Промена адресе пребивалишта,8
03.08.2026,09.08.2026,АЛИБУНАР,Брисање по основу одјаве пребивалишта,1
03.08.2026,09.08.2026,АЛИБУНАР,Брисање по основу смрти лица,7
03.08.2026,09.08.2026,АЛИБУНАР,Исправка техничке грешке,1
03.08.2026,09.08.2026,АПАТИН,Упис по основу стицања пунолетства,4
03.08.2026,09.08.2026,АПАТИН,Упис по основу пријаве пребивалишта,6
03.08.2026,09.08.2026,АПАТИН,Промена личних података,3
03.08.2026,09.08.2026,АПАТИН,Промена адресе пребивалишта,7
03.08.2026,09.08.2026,АПАТИН,Брисање по основу одјаве пребивалишта,19
03.08.2026,09.08.2026,АПАТИН,Брисање по основу смрти лица,14
03.08.2026,09.08.2026,АРАНЂЕЛОВАЦ,Упис по основу стицања пунолетства,9
03.08.2026,09.08.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве пребивалишта,3
03.08.2026,09.08.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве боравишта интерно расељеног лица,1
03.08.2026,09.08.2026,АРАНЂЕЛОВАЦ,Промена личних података,2
03.08.2026,09.08.2026,АРАНЂЕЛОВАЦ,Промена адресе пребивалишта,11
03.08.2026,09.08.2026,АРАНЂЕЛОВАЦ,Брисање по основу одјаве пребивалишта,3
03.08.2026,09.08.2026,АРАНЂЕЛОВАЦ,Брисање по основу смрти лица,10
03.08.2026,09.08.2026,АРАНЂЕЛОВАЦ,Исправка техничке грешке,1
03.08.2026,09.08.2026,АРИЉЕ,Упис по основу стицања пунолетства,3
03.08.2026,09.08.2026,АРИЉЕ,Упис по основу пријаве пребивалишта,3
03.08.2026,09.08.2026,АРИЉЕ,Промена личних података,2
