ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
20.04.2026,АДА,14324
20.04.2026,АЛЕКСАНДРОВАЦ,20729
20.04.2026,АЛЕКСИНАЦ,39304
20.04.2026,АЛИБУНАР,16701
20.04.2026,АПАТИН,23504
20.04.2026,АРАНЂЕЛОВАЦ,36812
20.04.2026,АРИЉЕ,14756
20.04.2026,БАБУШНИЦА,7980
20.04.2026,БАЈИНА БАШТА,21423
20.04.2026,БАТОЧИНА,9663
20.04.2026,БАЧ,11840
20.04.2026,БАЧКА ПАЛАНКА,44522
20.04.2026,БАЧКА ТОПОЛА,26763
20.04.2026,БАЧКИ ПЕТРОВАЦ,11635
20.04.2026,БЕЛА ПАЛАНКА,8315
20.04.2026,БЕЛА ЦРКВА,15418
20.04.2026,БЕОГРАД-БАРАЈЕВО,23965
20.04.2026,БЕОГРАД-ВОЖДОВАЦ,162775
20.04.2026,БЕОГРАД-ВРАЧАР,62927
20.04.2026,БЕОГРАД-ГРОЦКА,73636
20.04.2026,БЕОГРАД-ЗВЕЗДАРА,163986
20.04.2026,БЕОГРАД-ЗЕМУН,170744
20.04.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49689
20.04.2026,БЕОГРАД-МЛАДЕНОВАЦ,45154
20.04.2026,БЕОГРАД-НОВИ БЕОГРАД,202369
20.04.2026,БЕОГРАД-ОБРЕНОВАЦ,64209
20.04.2026,БЕОГРАД-ПАЛИЛУЛА,175263
20.04.2026,БЕОГРАД-РАКОВИЦА,98953
20.04.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41046
20.04.2026,БЕОГРАД-СОПОТ,17312
20.04.2026,БЕОГРАД-СТАРИ ГРАД,52958
20.04.2026,БЕОГРАД-СУРЧИН,40871
20.04.2026,БЕОГРАД-ЧУКАРИЦА,163125
20.04.2026,БЕОЧИН,13292
20.04.2026,БЕЧЕЈ,30491
20.04.2026,БЛАЦЕ,8190
20.04.2026,БОГАТИЋ,23815
20.04.2026,БОЈНИК,8059
20.04.2026,БОЉЕВАЦ,9427
20.04.2026,БОР - ГРАД,38411
20.04.2026,БОСИЛЕГРАД,7012
20.04.2026,БРУС,12338
20.04.2026,БУЈАНОВАЦ,44066
20.04.2026,ВАЉЕВО - ГРАД,74380
20.04.2026,ВАРВАРИН,14604
20.04.2026,ВЕЛИКА ПЛАНА,34990
20.04.2026,ВЕЛИКО ГРАДИШТЕ,18667
20.04.2026,ВИТИНА,2441
20.04.2026,ВЛАДИМИРЦИ,13538
20.04.2026,ВЛАДИЧИН ХАН,15887
20.04.2026,ВЛАСОТИНЦЕ,22455
20.04.2026,ВРАЊЕ - ГРАД,59773
20.04.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7891
20.04.2026,ВРБАС,33464
20.04.2026,ВРЊАЧКА БАЊА,23528
20.04.2026,ВРШАЦ - ГРАД,43551
20.04.2026,ВУЧИТРН,3623
20.04.2026,ГАЏИН ХАН,5306
20.04.2026,ГЊИЛАНЕ,7932
20.04.2026,ГОЛУБАЦ,7878
20.04.2026,ГОРА,6919
20.04.2026,ГОРЊИ МИЛАНОВАЦ,34243
20.04.2026,ДЕСПОТОВАЦ,21194
20.04.2026,ДИМИТРОВГРАД,7755
20.04.2026,ДОЉЕВАЦ,13713
20.04.2026,ЖАБАЉ,21130
20.04.2026,ЖАБАРИ,11040
20.04.2026,ЖАГУБИЦА,10285
20.04.2026,ЖИТИШТЕ,13339
20.04.2026,ЖИТОРАЂА,11764
20.04.2026,ЗАЈЕЧАР - ГРАД,46931
20.04.2026,ЗВЕЧАН,5519
20.04.2026,ЗРЕЊАНИН - ГРАД,98246
20.04.2026,ЗУБИН ПОТОК,4314
20.04.2026,ИВАЊИЦА,24152
20.04.2026,ИНЂИЈА,40527
20.04.2026,ИРИГ,8981
20.04.2026,ИСТОК,3095
20.04.2026,ЈАГОДИНА - ГРАД,63480
20.04.2026,КАЊИЖА,20712
20.04.2026,КИКИНДА - ГРАД,45945
