ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
10.08.2026,16.08.2026,АЛЕКСАНДРОВАЦ,Упис по основу стицања пунолетства,4
10.08.2026,16.08.2026,АЛЕКСАНДРОВАЦ,Упис по основу пријаве пребивалишта,3
10.08.2026,16.08.2026,АЛЕКСАНДРОВАЦ,Промена личних података,1
10.08.2026,16.08.2026,АЛЕКСАНДРОВАЦ,Промена адресе пребивалишта,33
10.08.2026,16.08.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,2
10.08.2026,16.08.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,10
10.08.2026,16.08.2026,АЛЕКСАНДРОВАЦ,Брисање боравишта интерно расељеног лица,2
10.08.2026,16.08.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,5
10.08.2026,16.08.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,12
10.08.2026,16.08.2026,АЛЕКСИНАЦ,Упис по основу пријаве боравишта интерно расељеног лица,1
10.08.2026,16.08.2026,АЛЕКСИНАЦ,Промена личних података,8
10.08.2026,16.08.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,52
10.08.2026,16.08.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,2
10.08.2026,16.08.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,15
10.08.2026,16.08.2026,АЛЕКСИНАЦ,Исправка техничке грешке,1
10.08.2026,16.08.2026,АЛИБУНАР,Упис по основу стицања пунолетства,2
10.08.2026,16.08.2026,АЛИБУНАР,Упис по основу пријаве пребивалишта,2
10.08.2026,16.08.2026,АЛИБУНАР,Брисање по основу одјаве пребивалишта,2
10.08.2026,16.08.2026,АЛИБУНАР,Брисање по основу смрти лица,2
10.08.2026,16.08.2026,АПАТИН,Упис по основу пријаве пребивалишта,5
10.08.2026,16.08.2026,АПАТИН,Промена личних података,5
10.08.2026,16.08.2026,АПАТИН,Промена адресе пребивалишта,11
10.08.2026,16.08.2026,АПАТИН,Брисање по основу одјаве пребивалишта,7
10.08.2026,16.08.2026,АПАТИН,Брисање по основу смрти лица,12
10.08.2026,16.08.2026,АРАНЂЕЛОВАЦ,Упис по основу стицања пунолетства,16
10.08.2026,16.08.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве пребивалишта,6
10.08.2026,16.08.2026,АРАНЂЕЛОВАЦ,Промена личних података,6
10.08.2026,16.08.2026,АРАНЂЕЛОВАЦ,Промена адресе пребивалишта,18
10.08.2026,16.08.2026,АРАНЂЕЛОВАЦ,Брисање по основу одјаве пребивалишта,9
