ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
30.03.2026,АДА,14320
30.03.2026,АЛЕКСАНДРОВАЦ,20739
30.03.2026,АЛЕКСИНАЦ,39323
30.03.2026,АЛИБУНАР,16707
30.03.2026,АПАТИН,23506
30.03.2026,АРАНЂЕЛОВАЦ,36841
30.03.2026,АРИЉЕ,14769
30.03.2026,БАБУШНИЦА,7988
30.03.2026,БАЈИНА БАШТА,21460
30.03.2026,БАТОЧИНА,9662
30.03.2026,БАЧ,11844
30.03.2026,БАЧКА ПАЛАНКА,44550
30.03.2026,БАЧКА ТОПОЛА,26807
30.03.2026,БАЧКИ ПЕТРОВАЦ,11614
30.03.2026,БЕЛА ПАЛАНКА,8321
30.03.2026,БЕЛА ЦРКВА,15425
30.03.2026,БЕОГРАД-БАРАЈЕВО,23847
30.03.2026,БЕОГРАД-ВОЖДОВАЦ,162708
30.03.2026,БЕОГРАД-ВРАЧАР,62936
30.03.2026,БЕОГРАД-ГРОЦКА,73619
30.03.2026,БЕОГРАД-ЗВЕЗДАРА,163820
30.03.2026,БЕОГРАД-ЗЕМУН,170684
30.03.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49709
30.03.2026,БЕОГРАД-МЛАДЕНОВАЦ,45147
30.03.2026,БЕОГРАД-НОВИ БЕОГРАД,202436
30.03.2026,БЕОГРАД-ОБРЕНОВАЦ,64187
30.03.2026,БЕОГРАД-ПАЛИЛУЛА,175110
30.03.2026,БЕОГРАД-РАКОВИЦА,99018
30.03.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41010
30.03.2026,БЕОГРАД-СОПОТ,17333
30.03.2026,БЕОГРАД-СТАРИ ГРАД,52915
30.03.2026,БЕОГРАД-СУРЧИН,40839
30.03.2026,БЕОГРАД-ЧУКАРИЦА,163127
30.03.2026,БЕОЧИН,13294
30.03.2026,БЕЧЕЈ,30522
30.03.2026,БЛАЦЕ,8197
30.03.2026,БОГАТИЋ,23835
30.03.2026,БОЈНИК,8067
30.03.2026,БОЉЕВАЦ,9444
30.03.2026,БОР - ГРАД,38492
30.03.2026,БОСИЛЕГРАД,7019
30.03.2026,БРУС,12354
30.03.2026,БУЈАНОВАЦ,44050
30.03.2026,ВАЉЕВО - ГРАД,74368
30.03.2026,ВАРВАРИН,14607
30.03.2026,ВЕЛИКА ПЛАНА,34991
30.03.2026,ВЕЛИКО ГРАДИШТЕ,18682
30.03.2026,ВИТИНА,2445
30.03.2026,ВЛАДИМИРЦИ,13548
30.03.2026,ВЛАДИЧИН ХАН,15897
30.03.2026,ВЛАСОТИНЦЕ,22481
30.03.2026,ВРАЊЕ - ГРАД,59806
30.03.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7893
30.03.2026,ВРБАС,33487
30.03.2026,ВРЊАЧКА БАЊА,23519
30.03.2026,ВРШАЦ - ГРАД,43583
30.03.2026,ВУЧИТРН,3625
30.03.2026,ГАЏИН ХАН,5322
30.03.2026,ГЊИЛАНЕ,7915
30.03.2026,ГОЛУБАЦ,7889
30.03.2026,ГОРА,6920
30.03.2026,ГОРЊИ МИЛАНОВАЦ,34255
30.03.2026,ДЕСПОТОВАЦ,21218
30.03.2026,ДИМИТРОВГРАД,7754
30.03.2026,ДОЉЕВАЦ,13726
30.03.2026,ЖАБАЉ,21134
30.03.2026,ЖАБАРИ,11035
30.03.2026,ЖАГУБИЦА,10287
30.03.2026,ЖИТИШТЕ,13346
30.03.2026,ЖИТОРАЂА,11766
30.03.2026,ЗАЈЕЧАР - ГРАД,46967
30.03.2026,ЗВЕЧАН,5530
30.03.2026,ЗРЕЊАНИН - ГРАД,98269
30.03.2026,ЗУБИН ПОТОК,4317
30.03.2026,ИВАЊИЦА,24175
30.03.2026,ИНЂИЈА,40537
30.03.2026,ИРИГ,8979
30.03.2026,ИСТОК,3110
30.03.2026,ЈАГОДИНА - ГРАД,63501
30.03.2026,КАЊИЖА,20713
30.03.2026,КИКИНДА - ГРАД,45988
30.03.2026,КЛАДОВО,21085
30.03.2026,КЛИНА,1922
30.03.2026,КНИЋ,10287
30.03.2026,КЊАЖЕВАЦ,22261
30.03.2026,КОВАЧИЦА,20793
30.03.2026,КОВИН,27206
30.03.2026,КОСЈЕРИЋ,8833
30.03.2026,КОСОВО ПОЉЕ,4902
30.03.2026,КОСОВСКА КАМЕНИЦА,6276
30.03.2026,КОСОВСКА МИТРОВИЦА,14810
30.03.2026,КОЦЕЉЕВА,10390
30.03.2026,КРАГУЈЕВАЦ - ГРАД,152505
30.03.2026,КРАЉЕВО - ГРАД,97968
30.03.2026,КРУПАЊ,12629
30.03.2026,КРУШЕВАЦ - ГРАД,103766
30.03.2026,КУЛА,33286
30.03.2026,КУРШУМЛИЈА,13578
30.03.2026,КУЧЕВО,15276
30.03.2026,ЛАЈКОВАЦ,11272
30.03.2026,ЛАПОВО,6400
30.03.2026,ЛЕБАНЕ,16369
30.03.2026,ЛЕПОСАВИЋ,9042
30.03.2026,ЛЕСКОВАЦ - ГРАД,112521
30.03.2026,ЛИПЉАН,6038
30.03.2026,ЛОЗНИЦА - ГРАД,76464
30.03.2026,ЛУЧАНИ,14631
30.03.2026,ЉИГ,8450
30.03.2026,ЉУБОВИЈА,13162
30.03.2026,МАЈДАНПЕК,15411
30.03.2026,МАЛИ ЗВОРНИК,16202
30.03.2026,МАЛИ ИЂОШ,9792
30.03.2026,МАЛО ЦРНИЋЕ,11556
30.03.2026,МЕДВЕЂА,5976
30.03.2026,МЕРОШИНА,9722
30.03.2026,МИОНИЦА,10624
30.03.2026,НЕГОТИН,35492
30.03.2026,НИШ-МЕДИЈАНА,76482
30.03.2026,НИШ-НИШКА БАЊА,11566
30.03.2026,НИШ-ПАЛИЛУЛА,63241
30.03.2026,НИШ-ПАНТЕЛЕЈ,46335
30.03.2026,НИШ-ЦРВЕНИ КРСТ,29307
30.03.2026,НОВА ВАРОШ,12164
30.03.2026,НОВА ЦРЊА,7769
30.03.2026,НОВИ БЕЧЕЈ,18160
30.03.2026,НОВИ КНЕЖЕВАЦ,8329
30.03.2026,НОВИ ПАЗАР - ГРАД,94165
30.03.2026,НОВИ САД - ГРАД,343625
30.03.2026,НОВО БРДО,962
30.03.2026,ОБИЛИЋ,3576
30.03.2026,ОПОВО,7988
30.03.2026,ОРАХОВАЦ,1555
30.03.2026,ОСЕЧИНА,8934
30.03.2026,ОЏАЦИ,23382
30.03.2026,ПАНЧЕВО - ГРАД,106208
30.03.2026,ПАРАЋИН,45592
30.03.2026,ПЕТРОВАЦ НА МЛАВИ,30701
30.03.2026,ПЕЋ,3950
30.03.2026,ПЕЋИНЦИ,15479
30.03.2026,ПИРОТ - ГРАД,44449
30.03.2026,ПЛАНДИШТЕ,8319
30.03.2026,ПОДУЈЕВО,414
30.03.2026,ПОЖАРЕВАЦ,56984
30.03.2026,ПОЖАРЕВАЦ-КОСТОЛАЦ,11353
30.03.2026,ПОЖЕГА,22517
30.03.2026,ПРЕШЕВО,44117
30.03.2026,ПРИБОЈ,26761
30.03.2026,ПРИЗРЕН,4633
30.03.2026,ПРИЈЕПОЉЕ,31604
30.03.2026,ПРИШТИНА - ГРАД,13930
30.03.2026,ПРОКУПЉЕ - ГРАД,35468
30.03.2026,РАЖАЊ,5934
30.03.2026,РАЧА,8906
30.03.2026,РАШКА,19538
30.03.2026,РЕКОВАЦ,7876
30.03.2026,РУМА,45329
30.03.2026,СВИЛАЈНАЦ,23506
30.03.2026,СВРЉИГ,9864
30.03.2026,СЕНТА,19362
30.03.2026,СЕЧАЊ,10165
30.03.2026,СЈЕНИЦА,27824
30.03.2026,СМЕДЕРЕВО - ГРАД,94018
30.03.2026,СМЕДЕРЕВСКА ПАЛАНКА,38933
30.03.2026,СОКОБАЊА,12858
30.03.2026,СОМБОР - ГРАД,69889
30.03.2026,СРБИЦА,292
30.03.2026,СРБОБРАН,13057
30.03.2026,СРЕМСКА МИТРОВИЦА - ГРАД,68050
30.03.2026,СРЕМСКИ КАРЛОВЦИ,7909
30.03.2026,СТАРА ПАЗОВА,56828
30.03.2026,СУБОТИЦА - ГРАД,124527
30.03.2026,СУРДУЛИЦА,16150
30.03.2026,ТЕМЕРИН,24787
30.03.2026,ТИТЕЛ,12574
30.03.2026,ТОПОЛА,17213
30.03.2026,ТРГОВИШТЕ,4400
30.03.2026,ТРСТЕНИК,33464
30.03.2026,ТУТИН,33684
30.03.2026,ЋИЋЕВАЦ,7141
30.03.2026,ЋУПРИЈА,27951
30.03.2026,УБ,22411
30.03.2026,УЖИЦЕ - ГРАД,56941
30.03.2026,УЖИЦЕ-СЕВОЈНО,5545
30.03.2026,УРОШЕВАЦ,3873
30.03.2026,ЦРНА ТРАВА,941
30.03.2026,ЧАЈЕТИНА,14395
30.03.2026,ЧАЧАК - ГРАД,93738
30.03.2026,ЧОКА,8535
30.03.2026,ШАБАЦ - ГРАД,99150
30.03.2026,ШИД,28851
30.03.2026,ШТРПЦЕ,5846
