ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
13.07.2026,АДА,14286
13.07.2026,АЛЕКСАНДРОВАЦ,20664
13.07.2026,АЛЕКСИНАЦ,39217
13.07.2026,АЛИБУНАР,16691
13.07.2026,АПАТИН,23463
13.07.2026,АРАНЂЕЛОВАЦ,36823
13.07.2026,АРИЉЕ,14757
13.07.2026,БАБУШНИЦА,7940
13.07.2026,БАЈИНА БАШТА,21415
13.07.2026,БАТОЧИНА,9661
13.07.2026,БАЧ,11808
13.07.2026,БАЧКА ПАЛАНКА,44448
13.07.2026,БАЧКА ТОПОЛА,26643
13.07.2026,БАЧКИ ПЕТРОВАЦ,11632
13.07.2026,БЕЛА ПАЛАНКА,8277
13.07.2026,БЕЛА ЦРКВА,15393
13.07.2026,БЕОГРАД-БАРАЈЕВО,24030
13.07.2026,БЕОГРАД-ВОЖДОВАЦ,162914
13.07.2026,БЕОГРАД-ВРАЧАР,62947
13.07.2026,БЕОГРАД-ГРОЦКА,73735
13.07.2026,БЕОГРАД-ЗВЕЗДАРА,164333
13.07.2026,БЕОГРАД-ЗЕМУН,170889
13.07.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49657
13.07.2026,БЕОГРАД-МЛАДЕНОВАЦ,45208
13.07.2026,БЕОГРАД-НОВИ БЕОГРАД,202281
13.07.2026,БЕОГРАД-ОБРЕНОВАЦ,64235
13.07.2026,БЕОГРАД-ПАЛИЛУЛА,175522
13.07.2026,БЕОГРАД-РАКОВИЦА,99005
13.07.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41155
13.07.2026,БЕОГРАД-СОПОТ,17319
13.07.2026,БЕОГРАД-СТАРИ ГРАД,52925
13.07.2026,БЕОГРАД-СУРЧИН,40996
13.07.2026,БЕОГРАД-ЧУКАРИЦА,163086
13.07.2026,БЕОЧИН,13271
13.07.2026,БЕЧЕЈ,30421
13.07.2026,БЛАЦЕ,8174
13.07.2026,БОГАТИЋ,23822
13.07.2026,БОЈНИК,8047
13.07.2026,БОЉЕВАЦ,9405
13.07.2026,БОР - ГРАД,38289
13.07.2026,БОСИЛЕГРАД,6991
13.07.2026,БРУС,12302
13.07.2026,БУЈАНОВАЦ,44232
13.07.2026,ВАЉЕВО - ГРАД,74275
13.07.2026,ВАРВАРИН,14580
13.07.2026,ВЕЛИКА ПЛАНА,34971
13.07.2026,ВЕЛИКО ГРАДИШТЕ,18676
13.07.2026,ВИТИНА,2419
13.07.2026,ВЛАДИМИРЦИ,13541
13.07.2026,ВЛАДИЧИН ХАН,15870
13.07.2026,ВЛАСОТИНЦЕ,22388
13.07.2026,ВРАЊЕ - ГРАД,59708
13.07.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7885
13.07.2026,ВРБАС,33432
13.07.2026,ВРЊАЧКА БАЊА,23501
13.07.2026,ВРШАЦ - ГРАД,43539
13.07.2026,ВУЧИТРН,3603
13.07.2026,ГАЏИН ХАН,5283
13.07.2026,ГЊИЛАНЕ,8021
13.07.2026,ГОЛУБАЦ,7851
13.07.2026,ГОРА,6908
13.07.2026,ГОРЊИ МИЛАНОВАЦ,34202
13.07.2026,ДЕСПОТОВАЦ,21137
13.07.2026,ДИМИТРОВГРАД,7738
13.07.2026,ДОЉЕВАЦ,13690
13.07.2026,ЖАБАЉ,21101
13.07.2026,ЖАБАРИ,11022
13.07.2026,ЖАГУБИЦА,10269
13.07.2026,ЖИТИШТЕ,13296
13.07.2026,ЖИТОРАЂА,11744
