ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
09.03.2026,АДА,14317
09.03.2026,АЛЕКСАНДРОВАЦ,20761
09.03.2026,АЛЕКСИНАЦ,39376
09.03.2026,АЛИБУНАР,16722
09.03.2026,АПАТИН,23518
09.03.2026,АРАНЂЕЛОВАЦ,36849
09.03.2026,АРИЉЕ,14765
09.03.2026,БАБУШНИЦА,7994
09.03.2026,БАЈИНА БАШТА,21477
09.03.2026,БАТОЧИНА,9660
09.03.2026,БАЧ,11844
09.03.2026,БАЧКА ПАЛАНКА,44568
09.03.2026,БАЧКА ТОПОЛА,26822
09.03.2026,БАЧКИ ПЕТРОВАЦ,11619
09.03.2026,БЕЛА ПАЛАНКА,8331
09.03.2026,БЕЛА ЦРКВА,15449
09.03.2026,БЕОГРАД-БАРАЈЕВО,23876
09.03.2026,БЕОГРАД-ВОЖДОВАЦ,162652
09.03.2026,БЕОГРАД-ВРАЧАР,62928
09.03.2026,БЕОГРАД-ГРОЦКА,73575
09.03.2026,БЕОГРАД-ЗВЕЗДАРА,163759
09.03.2026,БЕОГРАД-ЗЕМУН,170661
09.03.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49716
09.03.2026,БЕОГРАД-МЛАДЕНОВАЦ,45134
09.03.2026,БЕОГРАД-НОВИ БЕОГРАД,202415
09.03.2026,БЕОГРАД-ОБРЕНОВАЦ,64194
09.03.2026,БЕОГРАД-ПАЛИЛУЛА,175074
09.03.2026,БЕОГРАД-РАКОВИЦА,99027
09.03.2026,БЕОГРАД-САВСКИ ВЕНАЦ,40950
09.03.2026,БЕОГРАД-СОПОТ,17324
09.03.2026,БЕОГРАД-СТАРИ ГРАД,52993
09.03.2026,БЕОГРАД-СУРЧИН,40829
09.03.2026,БЕОГРАД-ЧУКАРИЦА,163113
09.03.2026,БЕОЧИН,13286
09.03.2026,БЕЧЕЈ,30600
09.03.2026,БЛАЦЕ,8215
09.03.2026,БОГАТИЋ,23848
09.03.2026,БОЈНИК,8079
09.03.2026,БОЉЕВАЦ,9450
09.03.2026,БОР - ГРАД,38533
09.03.2026,БОСИЛЕГРАД,7028
09.03.2026,БРУС,12356
09.03.2026,БУЈАНОВАЦ,43974
09.03.2026,ВАЉЕВО - ГРАД,74405
09.03.2026,ВАРВАРИН,14615
09.03.2026,ВЕЛИКА ПЛАНА,35010
09.03.2026,ВЕЛИКО ГРАДИШТЕ,18694
09.03.2026,ВИТИНА,2455
09.03.2026,ВЛАДИМИРЦИ,13553
09.03.2026,ВЛАДИЧИН ХАН,15907
09.03.2026,ВЛАСОТИНЦЕ,22495
09.03.2026,ВРАЊЕ - ГРАД,59816
09.03.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7890
09.03.2026,ВРБАС,33505
09.03.2026,ВРЊАЧКА БАЊА,23492
09.03.2026,ВРШАЦ - ГРАД,43593
09.03.2026,ВУЧИТРН,3630
09.03.2026,ГАЏИН ХАН,5331
09.03.2026,ГЊИЛАНЕ,7911
09.03.2026,ГОЛУБАЦ,7894
09.03.2026,ГОРА,6921
09.03.2026,ГОРЊИ МИЛАНОВАЦ,34277
09.03.2026,ДЕСПОТОВАЦ,21237
09.03.2026,ДИМИТРОВГРАД,7761
09.03.2026,ДОЉЕВАЦ,13727
09.03.2026,ЖАБАЉ,21133
09.03.2026,ЖАБАРИ,11041
09.03.2026,ЖАГУБИЦА,10295
09.03.2026,ЖИТИШТЕ,13361
09.03.2026,ЖИТОРАЂА,11760
09.03.2026,ЗАЈЕЧАР - ГРАД,46971
09.03.2026,ЗВЕЧАН,5537
09.03.2026,ЗРЕЊАНИН - ГРАД,98320
09.03.2026,ЗУБИН ПОТОК,4308
09.03.2026,ИВАЊИЦА,24190
09.03.2026,ИНЂИЈА,40528
09.03.2026,ИРИГ,8978
09.03.2026,ИСТОК,3116
09.03.2026,ЈАГОДИНА - ГРАД,63505
09.03.2026,КАЊИЖА,20723
09.03.2026,КИКИНДА - ГРАД,45997
09.03.2026,КЛАДОВО,21096
09.03.2026,КЛИНА,1927
09.03.2026,КНИЋ,10291
09.03.2026,КЊАЖЕВАЦ,22267
09.03.2026,КОВАЧИЦА,20810
09.03.2026,КОВИН,27217
09.03.2026,КОСЈЕРИЋ,8838
09.03.2026,КОСОВО ПОЉЕ,4907
09.03.2026,КОСОВСКА КАМЕНИЦА,6280
09.03.2026,КОСОВСКА МИТРОВИЦА,14808
09.03.2026,КОЦЕЉЕВА,10387
09.03.2026,КРАГУЈЕВАЦ - ГРАД,152537
09.03.2026,КРАЉЕВО - ГРАД,97990
09.03.2026,КРУПАЊ,12639
09.03.2026,КРУШЕВАЦ - ГРАД,103779
09.03.2026,КУЛА,33305
09.03.2026,КУРШУМЛИЈА,13587
09.03.2026,КУЧЕВО,15290
09.03.2026,ЛАЈКОВАЦ,11286
09.03.2026,ЛАПОВО,6402
09.03.2026,ЛЕБАНЕ,16388
09.03.2026,ЛЕПОСАВИЋ,9064
09.03.2026,ЛЕСКОВАЦ - ГРАД,112548
09.03.2026,ЛИПЉАН,6040
09.03.2026,ЛОЗНИЦА - ГРАД,76485
09.03.2026,ЛУЧАНИ,14636
09.03.2026,ЉИГ,8457
09.03.2026,ЉУБОВИЈА,13175
09.03.2026,МАЈДАНПЕК,15427
09.03.2026,МАЛИ ЗВОРНИК,16208
09.03.2026,МАЛИ ИЂОШ,9799
09.03.2026,МАЛО ЦРНИЋЕ,11574
09.03.2026,МЕДВЕЂА,5978
09.03.2026,МЕРОШИНА,9731
09.03.2026,МИОНИЦА,10619
09.03.2026,НЕГОТИН,35524
09.03.2026,НИШ-МЕДИЈАНА,76527
09.03.2026,НИШ-НИШКА БАЊА,11571
09.03.2026,НИШ-ПАЛИЛУЛА,63256
09.03.2026,НИШ-ПАНТЕЛЕЈ,46309
09.03.2026,НИШ-ЦРВЕНИ КРСТ,29301
