ДАТУМ_СТАЊА,ОПШТИНА_ГРАД,БРОЈ_БИРАЧА
06.07.2026,АДА,14297
06.07.2026,АЛЕКСАНДРОВАЦ,20676
06.07.2026,АЛЕКСИНАЦ,39225
06.07.2026,АЛИБУНАР,16695
06.07.2026,АПАТИН,23475
06.07.2026,АРАНЂЕЛОВАЦ,36824
06.07.2026,АРИЉЕ,14758
06.07.2026,БАБУШНИЦА,7945
06.07.2026,БАЈИНА БАШТА,21418
06.07.2026,БАТОЧИНА,9659
06.07.2026,БАЧ,11811
06.07.2026,БАЧКА ПАЛАНКА,44460
06.07.2026,БАЧКА ТОПОЛА,26669
06.07.2026,БАЧКИ ПЕТРОВАЦ,11632
06.07.2026,БЕЛА ПАЛАНКА,8281
06.07.2026,БЕЛА ЦРКВА,15401
06.07.2026,БЕОГРАД-БАРАЈЕВО,24032
06.07.2026,БЕОГРАД-ВОЖДОВАЦ,162929
06.07.2026,БЕОГРАД-ВРАЧАР,62954
06.07.2026,БЕОГРАД-ГРОЦКА,73750
06.07.2026,БЕОГРАД-ЗВЕЗДАРА,164317
06.07.2026,БЕОГРАД-ЗЕМУН,170970
06.07.2026,БЕОГРАД-ЛАЗАРЕВАЦ,49656
06.07.2026,БЕОГРАД-МЛАДЕНОВАЦ,45208
06.07.2026,БЕОГРАД-НОВИ БЕОГРАД,202362
06.07.2026,БЕОГРАД-ОБРЕНОВАЦ,64248
06.07.2026,БЕОГРАД-ПАЛИЛУЛА,175538
06.07.2026,БЕОГРАД-РАКОВИЦА,99031
06.07.2026,БЕОГРАД-САВСКИ ВЕНАЦ,41154
06.07.2026,БЕОГРАД-СОПОТ,17321
06.07.2026,БЕОГРАД-СТАРИ ГРАД,52920
06.07.2026,БЕОГРАД-СУРЧИН,40987
06.07.2026,БЕОГРАД-ЧУКАРИЦА,163107
06.07.2026,БЕОЧИН,13271
06.07.2026,БЕЧЕЈ,30434
06.07.2026,БЛАЦЕ,8179
06.07.2026,БОГАТИЋ,23824
06.07.2026,БОЈНИК,8048
06.07.2026,БОЉЕВАЦ,9404
06.07.2026,БОР - ГРАД,38301
06.07.2026,БОСИЛЕГРАД,6991
06.07.2026,БРУС,12304
06.07.2026,БУЈАНОВАЦ,44157
06.07.2026,ВАЉЕВО - ГРАД,74264
06.07.2026,ВАРВАРИН,14580
06.07.2026,ВЕЛИКА ПЛАНА,34980
06.07.2026,ВЕЛИКО ГРАДИШТЕ,18678
06.07.2026,ВИТИНА,2423
06.07.2026,ВЛАДИМИРЦИ,13544
06.07.2026,ВЛАДИЧИН ХАН,15847
06.07.2026,ВЛАСОТИНЦЕ,22395
06.07.2026,ВРАЊЕ - ГРАД,59702
06.07.2026,ВРАЊЕ-ВРАЊСКА БАЊА,7883
06.07.2026,ВРБАС,33433
06.07.2026,ВРЊАЧКА БАЊА,23513
06.07.2026,ВРШАЦ - ГРАД,43542
06.07.2026,ВУЧИТРН,3604
06.07.2026,ГАЏИН ХАН,5284
06.07.2026,ГЊИЛАНЕ,8045
06.07.2026,ГОЛУБАЦ,7851
06.07.2026,ГОРА,6908
06.07.2026,ГОРЊИ МИЛАНОВАЦ,34200
06.07.2026,ДЕСПОТОВАЦ,21146
06.07.2026,ДИМИТРОВГРАД,7739
06.07.2026,ДОЉЕВАЦ,13695
06.07.2026,ЖАБАЉ,21100
06.07.2026,ЖАБАРИ,11029
06.07.2026,ЖАГУБИЦА,10274
06.07.2026,ЖИТИШТЕ,13308
06.07.2026,ЖИТОРАЂА,11737
06.07.2026,ЗАЈЕЧАР - ГРАД,46835
06.07.2026,ЗВЕЧАН,5500
06.07.2026,ЗРЕЊАНИН - ГРАД,98171
06.07.2026,ЗУБИН ПОТОК,4294
06.07.2026,ИВАЊИЦА,24074
06.07.2026,ИНЂИЈА,40513
06.07.2026,ИРИГ,8972
06.07.2026,ИСТОК,3063
06.07.2026,ЈАГОДИНА - ГРАД,63444
06.07.2026,КАЊИЖА,20657
06.07.2026,КИКИНДА - ГРАД,45831
