ПЕРИОД_ОД,ПЕРИОД_ДО,ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,БРОЈ_ПРОМЕНА
08.06.2026,14.06.2026,АДА,Упис по основу стицања пунолетства,1
08.06.2026,14.06.2026,АДА,Упис по основу пријаве пребивалишта,1
08.06.2026,14.06.2026,АДА,Промена личних података,5
08.06.2026,14.06.2026,АДА,Промена адресе пребивалишта,18
08.06.2026,14.06.2026,АДА,Брисање по основу одјаве пребивалишта,3
08.06.2026,14.06.2026,АДА,Брисање по основу смрти лица,9
08.06.2026,14.06.2026,АДА,Брисање по службеној дужности,2
08.06.2026,14.06.2026,АЛЕКСАНДРОВАЦ,Упис по основу стицања пунолетства,2
08.06.2026,14.06.2026,АЛЕКСАНДРОВАЦ,Упис по основу пријаве пребивалишта,7
08.06.2026,14.06.2026,АЛЕКСАНДРОВАЦ,Промена личних података,7
08.06.2026,14.06.2026,АЛЕКСАНДРОВАЦ,Промена адресе пребивалишта,29
08.06.2026,14.06.2026,АЛЕКСАНДРОВАЦ,Брисање по основу одјаве пребивалишта,4
08.06.2026,14.06.2026,АЛЕКСАНДРОВАЦ,Брисање по основу смрти лица,5
08.06.2026,14.06.2026,АЛЕКСИНАЦ,Упис по основу стицања пунолетства,11
08.06.2026,14.06.2026,АЛЕКСИНАЦ,Упис по основу пријаве пребивалишта,10
08.06.2026,14.06.2026,АЛЕКСИНАЦ,Промена личних података,7
08.06.2026,14.06.2026,АЛЕКСИНАЦ,Промена адресе пребивалишта,47
08.06.2026,14.06.2026,АЛЕКСИНАЦ,Брисање по основу одјаве пребивалишта,4
08.06.2026,14.06.2026,АЛЕКСИНАЦ,Брисање по основу смрти лица,8
08.06.2026,14.06.2026,АЛИБУНАР,Упис по основу стицања пунолетства,3
08.06.2026,14.06.2026,АЛИБУНАР,Упис по основу пријаве пребивалишта,3
08.06.2026,14.06.2026,АЛИБУНАР,Промена адресе пребивалишта,3
08.06.2026,14.06.2026,АЛИБУНАР,Брисање по основу одјаве пребивалишта,4
08.06.2026,14.06.2026,АЛИБУНАР,Брисање по основу смрти лица,8
08.06.2026,14.06.2026,АПАТИН,Упис по основу стицања пунолетства,4
08.06.2026,14.06.2026,АПАТИН,Упис по основу пријаве пребивалишта,1
08.06.2026,14.06.2026,АПАТИН,Промена личних података,4
08.06.2026,14.06.2026,АПАТИН,Промена адресе пребивалишта,128
08.06.2026,14.06.2026,АПАТИН,Брисање по основу одјаве пребивалишта,3
08.06.2026,14.06.2026,АПАТИН,Брисање по основу смрти лица,9
08.06.2026,14.06.2026,АПАТИН,Брисање по службеној дужности,5
08.06.2026,14.06.2026,АРАНЂЕЛОВАЦ,Упис по основу стицања пунолетства,10
08.06.2026,14.06.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве пребивалишта,7
08.06.2026,14.06.2026,АРАНЂЕЛОВАЦ,Упис по основу пријаве боравишта интерно расељеног лица,1
08.06.2026,14.06.2026,АРАНЂЕЛОВАЦ,Промена личних података,7
08.06.2026,14.06.2026,АРАНЂЕЛОВАЦ,Промена адресе пребивалишта,23
08.06.2026,14.06.2026,АРАНЂЕЛОВАЦ,Брисање по основу одјаве пребивалишта,7
08.06.2026,14.06.2026,АРАНЂЕЛОВАЦ,Брисање по основу смрти лица,12
08.06.2026,14.06.2026,АРАНЂЕЛОВАЦ,Брисање боравишта интерно расељеног лица,3
08.06.2026,14.06.2026,АРАНЂЕЛОВАЦ,Исправка техничке грешке,1
08.06.2026,14.06.2026,АРИЉЕ,Упис по основу стицања пунолетства,2
08.06.2026,14.06.2026,АРИЉЕ,Упис по основу пријема у држављанство,1
08.06.2026,14.06.2026,АРИЉЕ,Промена личних података,2
08.06.2026,14.06.2026,АРИЉЕ,Промена адресе пребивалишта,31
08.06.2026,14.06.2026,АРИЉЕ,Брисање по основу одјаве пребивалишта,1
08.06.2026,14.06.2026,АРИЉЕ,Брисање по основу смрти лица,3
08.06.2026,14.06.2026,АРИЉЕ,Брисање по службеној дужности,1
08.06.2026,14.06.2026,БАБУШНИЦА,Упис по основу пријаве пребивалишта,1
08.06.2026,14.06.2026,БАБУШНИЦА,Промена адресе пребивалишта,8
08.06.2026,14.06.2026,БАБУШНИЦА,Брисање по основу смрти лица,8
08.06.2026,14.06.2026,БАЈИНА БАШТА,Упис по основу стицања пунолетства,6
08.06.2026,14.06.2026,БАЈИНА БАШТА,Упис по основу пријаве пребивалишта,5
08.06.2026,14.06.2026,БАЈИНА БАШТА,Промена личних података,2
08.06.2026,14.06.2026,БАЈИНА БАШТА,Промена адресе пребивалишта,32
08.06.2026,14.06.2026,БАЈИНА БАШТА,Брисање по основу одјаве пребивалишта,5
08.06.2026,14.06.2026,БАЈИНА БАШТА,Брисање по основу смрти лица,3
08.06.2026,14.06.2026,БАТОЧИНА,Упис по основу стицања пунолетства,2
08.06.2026,14.06.2026,БАТОЧИНА,Упис по основу пријаве пребивалишта,3
08.06.2026,14.06.2026,БАТОЧИНА,Промена личних података,1
08.06.2026,14.06.2026,БАТОЧИНА,Промена адресе пребивалишта,12
08.06.2026,14.06.2026,БАТОЧИНА,Промена адресе боравишта интерно расељеног лица,1
08.06.2026,14.06.2026,БАТОЧИНА,Брисање по основу одјаве пребивалишта,1
08.06.2026,14.06.2026,БАТОЧИНА,Брисање по основу смрти лица,4
08.06.2026,14.06.2026,БАЧ,Упис по основу стицања пунолетства,4
08.06.2026,14.06.2026,БАЧ,Упис по основу пријаве пребивалишта,3
08.06.2026,14.06.2026,БАЧ,Промена адресе пребивалишта,5
08.06.2026,14.06.2026,БАЧ,Брисање по основу одјаве пребивалишта,4
