ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,16.02.2026 – 22.02.2026,23.02.2026 – 01.03.2026,02.03.2026 – 08.03.2026,УКУПНО
НИШ-НИШКА БАЊА,Брисање по основу одјаве пребивалишта,5,4,8,17
НИШ-НИШКА БАЊА,Брисање по основу смрти лица,0,3,7,10
НИШ-НИШКА БАЊА,Брисање по службеној дужности,0,0,1,1
НИШ-НИШКА БАЊА,Промена адресе пребивалишта,2,13,5,20
НИШ-НИШКА БАЊА,Промена личних података,2,0,0,2
НИШ-НИШКА БАЊА,Упис по основу пријаве пребивалишта,1,2,2,5
НИШ-НИШКА БАЊА,Упис по основу стицања пунолетства,2,6,2,10
НИШ-ПАЛИЛУЛА,Брисање боравишта интерно расељеног лица,0,0,1,1
НИШ-ПАЛИЛУЛА,Брисање по основу губитка пословне способности,0,0,1,1
НИШ-ПАЛИЛУЛА,Брисање по основу одјаве пребивалишта,30,29,43,102
НИШ-ПАЛИЛУЛА,Брисање по основу смрти лица,15,16,18,49
НИШ-ПАЛИЛУЛА,Брисање по службеној дужности,4,8,2,14
НИШ-ПАЛИЛУЛА,Исправка техничке грешке,0,1,0,1
НИШ-ПАЛИЛУЛА,Промена адресе пребивалишта,13,35,44,92
НИШ-ПАЛИЛУЛА,Промена личних података,7,8,4,19
НИШ-ПАЛИЛУЛА,Упис по основу пријаве боравишта интерно расељеног лица,1,0,1,2
НИШ-ПАЛИЛУЛА,Упис по основу пријаве пребивалишта,20,25,35,80
НИШ-ПАЛИЛУЛА,Упис по основу стицања пунолетства,18,16,23,57
НИШ-ПАНТЕЛЕЈ,Брисање боравишта интерно расељеног лица,0,0,5,5
НИШ-ПАНТЕЛЕЈ,Брисање по основу одјаве пребивалишта,10,29,17,56
НИШ-ПАНТЕЛЕЈ,Брисање по основу смрти лица,13,16,18,47
НИШ-ПАНТЕЛЕЈ,Брисање по службеној дужности,1,6,1,8
НИШ-ПАНТЕЛЕЈ,Промена адресе пребивалишта,26,25,39,90
НИШ-ПАНТЕЛЕЈ,Промена личних података,5,3,6,14
НИШ-ПАНТЕЛЕЈ,Упис по основу пријаве пребивалишта,29,22,43,94
НИШ-ПАНТЕЛЕЈ,Упис по основу стицања пунолетства,10,6,10,26
НИШ-ЦРВЕНИ КРСТ,Брисање по основу одјаве пребивалишта,9,14,14,37
НИШ-ЦРВЕНИ КРСТ,Брисање по основу смрти лица,6,14,8,28
НИШ-ЦРВЕНИ КРСТ,Брисање по службеној дужности,0,4,3,7
НИШ-ЦРВЕНИ КРСТ,Промена адресе боравишта интерно расељеног лица,0,1,0,1
НИШ-ЦРВЕНИ КРСТ,Промена адресе пребивалишта,10,25,23,58
НИШ-ЦРВЕНИ КРСТ,Промена личних података,4,3,2,9
НИШ-ЦРВЕНИ КРСТ,Упис по основу пријаве пребивалишта,9,18,17,44
НИШ-ЦРВЕНИ КРСТ,Упис по основу стицања пунолетства,8,5,8,21
НОВА ВАРОШ,Брисање по основу одјаве пребивалишта,3,4,4,11
НОВА ВАРОШ,Брисање по основу смрти лица,6,6,4,16
НОВА ВАРОШ,Промена адресе пребивалишта,1,0,0,1
НОВА ВАРОШ,Упис по основу пријаве пребивалишта,1,1,4,6
НОВА ВАРОШ,Упис по основу стицања пунолетства,1,2,1,4
НОВА ЦРЊА,Брисање по основу губитка пословне способности,1,0,0,1
НОВА ЦРЊА,Брисање по основу одјаве пребивалишта,1,3,4,8
НОВА ЦРЊА,Брисање по основу смрти лица,2,5,5,12
НОВА ЦРЊА,Промена адресе пребивалишта,0,4,6,10
НОВА ЦРЊА,Промена личних података,1,0,0,1
НОВА ЦРЊА,Упис по основу пријаве пребивалишта,5,0,3,8
НОВА ЦРЊА,Упис по основу стицања пунолетства,4,2,1,7
НОВИ БЕЧЕЈ,Брисање по основу одјаве пребивалишта,5,14,5,24
НОВИ БЕЧЕЈ,Брисање по основу смрти лица,5,5,3,13
НОВИ БЕЧЕЈ,Промена адресе пребивалишта,3,3,8,14
НОВИ БЕЧЕЈ,Промена личних података,1,3,2,6
НОВИ БЕЧЕЈ,Упис по основу пријаве пребивалишта,4,2,1,7
НОВИ БЕЧЕЈ,Упис по основу стицања пунолетства,6,2,5,13
НОВИ КНЕЖЕВАЦ,Брисање по основу одјаве пребивалишта,3,1,3,7
НОВИ КНЕЖЕВАЦ,Брисање по основу смрти лица,2,5,6,13
НОВИ КНЕЖЕВАЦ,Промена адресе пребивалишта,1,9,2,12
НОВИ КНЕЖЕВАЦ,Промена личних података,0,1,1,2
НОВИ КНЕЖЕВАЦ,Упис по основу пријаве пребивалишта,5,2,0,7
НОВИ КНЕЖЕВАЦ,Упис по основу стицања пунолетства,5,0,1,6
НОВИ ПАЗАР - ГРАД,Брисање боравишта интерно расељеног лица,0,1,0,1
НОВИ ПАЗАР - ГРАД,Брисање по основу одјаве пребивалишта,5,9,20,34
НОВИ ПАЗАР - ГРАД,Брисање по основу отпуста из држављанства,0,0,1,1
НОВИ ПАЗАР - ГРАД,Брисање по основу смрти лица,12,14,7,33
НОВИ ПАЗАР - ГРАД,Исправка техничке грешке,0,1,1,2
НОВИ ПАЗАР - ГРАД,Промена адресе боравишта интерно расељеног лица,0,0,2,2
НОВИ ПАЗАР - ГРАД,Промена адресе пребивалишта,92,146,119,357
НОВИ ПАЗАР - ГРАД,Промена личних података,10,9,12,31
НОВИ ПАЗАР - ГРАД,Упис по основу пријаве боравишта интерно расељеног лица,0,0,1,1
НОВИ ПАЗАР - ГРАД,Упис по основу пријаве пребивалишта,1,1,2,4
НОВИ ПАЗАР - ГРАД,Упис по основу пријема у држављанство,0,3,7,10
НОВИ ПАЗАР - ГРАД,Упис по основу стицања пунолетства,38,36,28,102
НОВИ САД - ГРАД,Брисање по основу одјаве пребивалишта,75,100,97,272
