ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,16.02.2026 – 22.02.2026,23.02.2026 – 01.03.2026,02.03.2026 – 08.03.2026,УКУПНО
ПРОКУПЉЕ - ГРАД,Упис по основу стицања пунолетства,8,0,0,8
РАЖАЊ,Брисање по основу одјаве пребивалишта,3,3,2,8
РАЖАЊ,Брисање по основу смрти лица,3,3,0,6
РАЖАЊ,Промена адресе пребивалишта,9,17,9,35
РАЖАЊ,Промена личних података,0,0,1,1
РАЖАЊ,Упис по основу пријаве пребивалишта,1,0,1,2
РАЖАЊ,Упис по основу стицања пунолетства,1,4,0,5
РАЧА,Брисање по основу одјаве пребивалишта,4,5,4,13
РАЧА,Брисање по основу отпуста из држављанства,0,1,1,2
РАЧА,Брисање по основу смрти лица,0,3,2,5
РАЧА,Промена адресе пребивалишта,6,21,13,40
РАЧА,Упис по основу пријаве пребивалишта,9,3,1,13
РАЧА,Упис по основу стицања пунолетства,0,3,1,4
РАШКА,Брисање по основу одјаве пребивалишта,11,12,8,31
РАШКА,Брисање по основу смрти лица,3,7,2,12
РАШКА,Брисање по службеној дужности,0,0,1,1
РАШКА,Промена адресе пребивалишта,11,13,18,42
РАШКА,Промена личних података,2,3,2,7
РАШКА,Упис по основу пријаве пребивалишта,0,0,2,2
РАШКА,Упис по основу стицања пунолетства,0,28,0,28
РЕКОВАЦ,Брисање по основу одјаве пребивалишта,5,1,2,8
РЕКОВАЦ,Брисање по основу смрти лица,1,8,2,11
РЕКОВАЦ,Промена адресе пребивалишта,17,40,36,93
РЕКОВАЦ,Промена личних података,2,3,2,7
РЕКОВАЦ,Упис по основу пријаве пребивалишта,5,2,4,11
РЕКОВАЦ,Упис по основу стицања пунолетства,4,1,0,5
РУМА,Брисање по основу губитка пословне способности,5,0,0,5
РУМА,Брисање по основу одјаве пребивалишта,1,13,8,22
РУМА,Брисање по основу смрти лица,12,12,16,40
РУМА,Брисање по службеној дужности,1,0,17,18
РУМА,Промена адресе пребивалишта,22,3,39,64
РУМА,Промена личних података,3,2,4,9
РУМА,Упис по основу пријаве пребивалишта,8,4,38,50
РУМА,Упис по основу пријема у држављанство,1,0,0,1
РУМА,Упис по основу стицања пунолетства,5,5,14,24
СЈЕНИЦА,Брисање по основу одјаве пребивалишта,1,1,1,3
СЈЕНИЦА,Брисање по основу смрти лица,5,5,7,17
СЈЕНИЦА,Промена адресе пребивалишта,57,97,52,206
СЈЕНИЦА,Промена личних података,3,2,2,7
СЈЕНИЦА,Упис по основу стицања пунолетства,7,8,11,26
СВИЛАЈНАЦ,Брисање по основу губитка пословне способности,0,1,0,1
СВИЛАЈНАЦ,Брисање по основу одјаве пребивалишта,8,10,4,22
СВИЛАЈНАЦ,Брисање по основу отпуста из држављанства,0,1,2,3
СВИЛАЈНАЦ,Брисање по основу смрти лица,6,6,8,20
СВИЛАЈНАЦ,Исправка техничке грешке,0,1,0,1
СВИЛАЈНАЦ,Промена адресе пребивалишта,10,28,19,57
СВИЛАЈНАЦ,Промена личних података,1,0,1,2
СВИЛАЈНАЦ,Упис по основу пријаве пребивалишта,4,11,4,19
СВИЛАЈНАЦ,Упис по основу стицања пунолетства,11,7,5,23
СВРЉИГ,Брисање по основу одјаве пребивалишта,3,6,5,14
СВРЉИГ,Брисање по основу смрти лица,3,7,1,11
СВРЉИГ,Промена адресе пребивалишта,13,24,20,57
СВРЉИГ,Упис по основу пријаве пребивалишта,3,0,0,3
СВРЉИГ,Упис по основу стицања пунолетства,3,0,0,3
СЕНТА,Брисање по основу одјаве пребивалишта,4,1,4,9
СЕНТА,Брисање по основу отпуста из држављанства,0,0,3,3
СЕНТА,Брисање по основу смрти лица,7,7,4,18
СЕНТА,Промена адресе пребивалишта,4,8,1,13
СЕНТА,Промена личних података,2,0,0,2
СЕНТА,Упис по основу пријаве пребивалишта,2,1,7,10
СЕНТА,Упис по основу стицања пунолетства,3,6,2,11
СЕЧАЊ,Брисање по основу одјаве пребивалишта,2,5,5,12
СЕЧАЊ,Брисање по основу смрти лица,2,4,2,8
СЕЧАЊ,Промена адресе пребивалишта,3,0,0,3
СЕЧАЊ,Упис по основу пријаве пребивалишта,1,0,0,1
СЕЧАЊ,Упис по основу стицања пунолетства,1,0,0,1
СМЕДЕРЕВО - ГРАД,Брисање боравишта интерно расељеног лица,2,2,2,6
СМЕДЕРЕВО - ГРАД,Брисање по основу губитка пословне способности,0,0,1,1
СМЕДЕРЕВО - ГРАД,Брисање по основу дуплог уписа,0,1,0,1
СМЕДЕРЕВО - ГРАД,Брисање по основу одјаве пребивалишта,15,32,23,70
СМЕДЕРЕВО - ГРАД,Брисање по основу отпуста из држављанства,0,5,4,9
СМЕДЕРЕВО - ГРАД,Брисање по основу смрти лица,35,35,20,90
СМЕДЕРЕВО - ГРАД,Брисање по службеној дужности,5,1,3,9
СМЕДЕРЕВО - ГРАД,Промена адресе боравишта интерно расељеног лица,0,1,2,3
СМЕДЕРЕВО - ГРАД,Промена адресе пребивалишта,23,64,302,389
СМЕДЕРЕВО - ГРАД,Промена личних података,6,28,24,58
СМЕДЕРЕВО - ГРАД,Упис по основу пријаве боравишта интерно расељеног лица,0,1,3,4
СМЕДЕРЕВО - ГРАД,Упис по основу пријаве пребивалишта,21,27,18,66
СМЕДЕРЕВО - ГРАД,Упис по основу пријема у држављанство,0,1,2,3
СМЕДЕРЕВО - ГРАД,Упис по основу стицања пунолетства,19,20,27,66
СМЕДЕРЕВСКА ПАЛАНКА,Брисање боравишта интерно расељеног лица,0,3,0,3
СМЕДЕРЕВСКА ПАЛАНКА,Брисање по основу губитка пословне способности,0,5,6,11
СМЕДЕРЕВСКА ПАЛАНКА,Брисање по основу одјаве пребивалишта,14,16,7,37
СМЕДЕРЕВСКА ПАЛАНКА,Брисање по основу смрти лица,29,20,16,65
СМЕДЕРЕВСКА ПАЛАНКА,Брисање по службеној дужности,0,10,0,10
СМЕДЕРЕВСКА ПАЛАНКА,Потврда о упису у бирачки списак,0,2,0,2
СМЕДЕРЕВСКА ПАЛАНКА,Промена адресе пребивалишта,61,83,40,184
СМЕДЕРЕВСКА ПАЛАНКА,Промена личних података,3,3,5,11
СМЕДЕРЕВСКА ПАЛАНКА,Упис по основу пријаве боравишта интерно расељеног лица,1,0,0,1
СМЕДЕРЕВСКА ПАЛАНКА,Упис по основу пријаве пребивалишта,9,31,1,41
СМЕДЕРЕВСКА ПАЛАНКА,Упис по основу стицања пунолетства,10,23,33,66
СОКОБАЊА,Брисање по основу одјаве пребивалишта,3,1,5,9
СОКОБАЊА,Брисање по основу смрти лица,2,6,5,13
СОКОБАЊА,Брисање по службеној дужности,0,0,3,3
СОКОБАЊА,Промена адресе пребивалишта,0,6,2,8
СОКОБАЊА,Промена личних података,0,1,2,3
СОКОБАЊА,Упис по основу пријаве пребивалишта,0,5,7,12
СОКОБАЊА,Упис по основу пријема у држављанство,1,0,0,1
СОКОБАЊА,Упис по основу стицања пунолетства,0,2,0,2
СОМБОР - ГРАД,Брисање по основу одјаве пребивалишта,12,11,16,39
СОМБОР - ГРАД,Брисање по основу смрти лица,21,21,23,65
СОМБОР - ГРАД,Брисање по службеној дужности,4,0,9,13
СОМБОР - ГРАД,Промена адресе пребивалишта,20,21,31,72
СОМБОР - ГРАД,Промена личних података,4,5,9,18
СОМБОР - ГРАД,Упис по основу пријаве пребивалишта,18,14,11,43
СОМБОР - ГРАД,Упис по основу пријема у држављанство,0,0,1,1
СОМБОР - ГРАД,Упис по основу стицања пунолетства,10,15,20,45
СРБИЦА,Брисање по основу одјаве пребивалишта,1,0,0,1
СРБИЦА,Брисање по основу смрти лица,0,0,1,1
СРБОБРАН,Брисање по основу одјаве пребивалишта,6,4,7,17
СРБОБРАН,Брисање по основу смрти лица,3,4,2,9
СРБОБРАН,Брисање по службеној дужности,4,0,0,4
СРБОБРАН,Промена адресе пребивалишта,2,6,3,11
СРБОБРАН,Промена личних података,1,2,3,6
СРБОБРАН,Упис по основу пријаве пребивалишта,3,0,5,8
СРБОБРАН,Упис по основу стицања пунолетства,2,2,1,5
СРЕМСКА МИТРОВИЦА - ГРАД,Брисање по основу одјаве пребивалишта,10,7,20,37
СРЕМСКА МИТРОВИЦА - ГРАД,Брисање по основу смрти лица,18,25,13,56
СРЕМСКА МИТРОВИЦА - ГРАД,Брисање по службеној дужности,0,16,18,34
СРЕМСКА МИТРОВИЦА - ГРАД,Промена адресе пребивалишта,27,43,25,95
СРЕМСКА МИТРОВИЦА - ГРАД,Промена личних података,7,10,7,24
СРЕМСКА МИТРОВИЦА - ГРАД,Упис по основу пријаве пребивалишта,16,12,11,39
СРЕМСКА МИТРОВИЦА - ГРАД,Упис по основу стицања пунолетства,16,9,14,39
СРЕМСКИ КАРЛОВЦИ,Брисање по основу одјаве пребивалишта,2,1,5,8
СРЕМСКИ КАРЛОВЦИ,Брисање по основу смрти лица,0,2,2,4
СРЕМСКИ КАРЛОВЦИ,Брисање по службеној дужности,2,8,0,10
СРЕМСКИ КАРЛОВЦИ,Промена адресе пребивалишта,8,13,2,23
СРЕМСКИ КАРЛОВЦИ,Промена личних података,2,3,0,5
СРЕМСКИ КАРЛОВЦИ,Упис по основу пријаве боравишта интерно расељеног лица,0,1,0,1
СРЕМСКИ КАРЛОВЦИ,Упис по основу пријаве пребивалишта,2,30,9,41
СРЕМСКИ КАРЛОВЦИ,Упис по основу стицања пунолетства,0,2,1,3
СТАРА ПАЗОВА,Брисање по основу одјаве пребивалишта,9,20,5,34
СТАРА ПАЗОВА,Брисање по основу смрти лица,12,11,8,31
СТАРА ПАЗОВА,Исправка техничке грешке,0,0,1,1
СТАРА ПАЗОВА,Промена адресе пребивалишта,26,7,74,107
СТАРА ПАЗОВА,Промена личних података,7,6,11,24
СТАРА ПАЗОВА,Упис по основу пријаве пребивалишта,29,20,34,83
СТАРА ПАЗОВА,Упис по основу стицања пунолетства,8,12,14,34
СУБОТИЦА - ГРАД,Брисање по основу губитка пословне способности,0,0,1,1
СУБОТИЦА - ГРАД,Брисање по основу одјаве пребивалишта,21,15,24,60
СУБОТИЦА - ГРАД,Брисање по основу смрти лица,30,37,31,98
СУБОТИЦА - ГРАД,Брисање по службеној дужности,0,0,1,1
СУБОТИЦА - ГРАД,Исправка техничке грешке,0,0,1,1
СУБОТИЦА - ГРАД,Промена адресе пребивалишта,43,59,153,255
СУБОТИЦА - ГРАД,Промена личних података,98,59,173,330
СУБОТИЦА - ГРАД,Упис по основу пријаве пребивалишта,18,3,65,86
СУБОТИЦА - ГРАД,Упис по основу стицања пунолетства,72,32,24,128
СУРДУЛИЦА,Брисање боравишта интерно расељеног лица,7,0,0,7
СУРДУЛИЦА,Брисање по основу одјаве пребивалишта,4,4,4,12
СУРДУЛИЦА,Брисање по основу смрти лица,3,7,9,19
СУРДУЛИЦА,Промена адресе боравишта интерно расељеног лица,2,0,0,2
СУРДУЛИЦА,Промена адресе пребивалишта,40,78,82,200
СУРДУЛИЦА,Промена личних података,3,1,0,4
СУРДУЛИЦА,Упис по основу пријаве боравишта интерно расељеног лица,0,0,2,2
СУРДУЛИЦА,Упис по основу пријаве пребивалишта,4,5,2,11
СУРДУЛИЦА,Упис по основу стицања пунолетства,5,2,3,10
ТЕМЕРИН,Брисање по основу одјаве пребивалишта,6,5,14,25
ТЕМЕРИН,Брисање по основу смрти лица,9,4,6,19
ТЕМЕРИН,Брисање по службеној дужности,0,3,12,15
ТЕМЕРИН,Промена адресе пребивалишта,5,2,2,9
ТЕМЕРИН,Промена личних података,1,3,4,8
ТЕМЕРИН,Упис по основу пријаве пребивалишта,13,9,8,30
ТЕМЕРИН,Упис по основу стицања пунолетства,4,4,10,18
ТИТЕЛ,Брисање по основу одјаве пребивалишта,2,3,4,9
ТИТЕЛ,Брисање по основу смрти лица,4,3,6,13
ТИТЕЛ,Промена адресе пребивалишта,3,2,3,8
ТИТЕЛ,Промена личних података,0,3,1,4
ТИТЕЛ,Упис по основу пријаве пребивалишта,7,8,2,17
ТИТЕЛ,Упис по основу стицања пунолетства,2,1,5,8
ТОПОЛА,Брисање боравишта интерно расељеног лица,1,0,0,1
ТОПОЛА,Брисање по основу одјаве пребивалишта,1,5,8,14
ТОПОЛА,Брисање по основу смрти лица,5,6,7,18
ТОПОЛА,Промена адресе пребивалишта,2,0,0,2
ТОПОЛА,Промена личних података,6,1,0,7
ТОПОЛА,Упис по основу пријаве пребивалишта,10,9,0,19
ТОПОЛА,Упис по основу стицања пунолетства,0,5,0,5
ТРГОВИШТЕ,Брисање по основу одјаве пребивалишта,2,3,5,10
ТРГОВИШТЕ,Брисање по основу смрти лица,2,3,3,8
ТРГОВИШТЕ,Промена адресе пребивалишта,14,7,17,38
ТРГОВИШТЕ,Промена личних података,1,0,0,1
ТРГОВИШТЕ,Упис по основу пријаве пребивалишта,1,0,3,4
ТРГОВИШТЕ,Упис по основу стицања пунолетства,1,0,1,2
ТРСТЕНИК,Брисање по основу одјаве пребивалишта,7,12,7,26
ТРСТЕНИК,Брисање по основу смрти лица,14,15,10,39
ТРСТЕНИК,Брисање по службеној дужности,0,0,7,7
ТРСТЕНИК,Промена адресе пребивалишта,1,9,10,20
ТРСТЕНИК,Промена личних података,2,0,1,3
ТРСТЕНИК,Упис по основу пријаве пребивалишта,12,4,9,25
ТРСТЕНИК,Упис по основу стицања пунолетства,8,5,8,21
ТУТИН,Брисање по основу одјаве пребивалишта,0,0,1,1
ТУТИН,Брисање по основу смрти лица,3,0,8,11
ТУТИН,Промена адресе пребивалишта,92,0,197,289
ТУТИН,Промена личних података,3,0,8,11
ТУТИН,Упис по основу пријаве пребивалишта,0,0,3,3
ТУТИН,Упис по основу стицања пунолетства,9,0,21,30
УБ,Брисање по основу одјаве пребивалишта,8,5,10,23
УБ,Брисање по основу смрти лица,6,1,12,19
УБ,Промена адресе пребивалишта,7,9,11,27
УБ,Промена личних података,1,2,4,7
УБ,Упис по основу пријаве пребивалишта,0,1,8,9
УБ,Упис по основу стицања пунолетства,6,4,3,13
УЖИЦЕ - ГРАД,Брисање по основу одјаве пребивалишта,14,20,27,61
УЖИЦЕ - ГРАД,Брисање по основу смрти лица,3,24,16,43
УЖИЦЕ - ГРАД,Брисање по службеној дужности,0,0,1,1
УЖИЦЕ - ГРАД,Исправка техничке грешке,0,0,2,2
УЖИЦЕ - ГРАД,Промена адресе пребивалишта,59,91,66,216
УЖИЦЕ - ГРАД,Промена личних података,3,9,3,15
УЖИЦЕ - ГРАД,Упис по основу пријаве пребивалишта,10,7,16,33
УЖИЦЕ - ГРАД,Упис по основу стицања пунолетства,11,16,12,39
УЖИЦЕ-СЕВОЈНО,Брисање по основу одјаве пребивалишта,1,3,2,6
УЖИЦЕ-СЕВОЈНО,Брисање по основу смрти лица,1,2,0,3
УЖИЦЕ-СЕВОЈНО,Брисање по службеној дужности,1,0,0,1
УЖИЦЕ-СЕВОЈНО,Промена адресе пребивалишта,2,5,8,15
УЖИЦЕ-СЕВОЈНО,Промена личних података,0,0,1,1
УЖИЦЕ-СЕВОЈНО,Упис по основу пријаве пребивалишта,2,4,8,14
УРОШЕВАЦ,Брисање по основу одјаве пребивалишта,4,4,4,12
ЦРНА ТРАВА,Брисање по основу одјаве пребивалишта,1,0,0,1
ЦРНА ТРАВА,Брисање по основу смрти лица,1,0,0,1
ЦРНА ТРАВА,Промена адресе пребивалишта,3,6,5,14
ЦРНА ТРАВА,Упис по основу пријаве пребивалишта,0,0,1,1
ЧАЈЕТИНА,Брисање по основу одјаве пребивалишта,8,3,7,18
ЧАЈЕТИНА,Брисање по основу смрти лица,1,6,4,11
ЧАЈЕТИНА,Промена адресе пребивалишта,16,33,16,65
ЧАЈЕТИНА,Промена личних података,2,2,0,4
ЧАЈЕТИНА,Упис по основу пријаве пребивалишта,1,28,6,35
ЧАЈЕТИНА,Упис по основу пријема у држављанство,0,0,3,3
ЧАЈЕТИНА,Упис по основу стицања пунолетства,10,2,2,14
ЧАЧАК - ГРАД,Брисање боравишта интерно расељеног лица,1,3,0,4
ЧАЧАК - ГРАД,Брисање по основу одјаве пребивалишта,13,21,27,61
ЧАЧАК - ГРАД,Брисање по основу отпуста из држављанства,0,0,1,1
ЧАЧАК - ГРАД,Брисање по основу смрти лица,24,45,29,98
ЧАЧАК - ГРАД,Брисање по службеној дужности,0,3,1,4
ЧАЧАК - ГРАД,Исправка техничке грешке,2,0,2,4
ЧАЧАК - ГРАД,Промена адресе боравишта интерно расељеног лица,1,0,0,1
ЧАЧАК - ГРАД,Промена адресе пребивалишта,33,29,72,134
ЧАЧАК - ГРАД,Промена личних података,9,11,17,37
ЧАЧАК - ГРАД,Упис по основу пријаве боравишта интерно расељеног лица,2,1,0,3
ЧАЧАК - ГРАД,Упис по основу пријаве пребивалишта,21,24,46,91
ЧАЧАК - ГРАД,Упис по основу стицања пунолетства,30,12,20,62
ЧОКА,Брисање по основу одјаве пребивалишта,2,5,4,11
ЧОКА,Брисање по основу смрти лица,3,8,5,16
ЧОКА,Промена адресе пребивалишта,1,5,1,7
ЧОКА,Промена личних података,0,2,0,2
ЧОКА,Упис по основу пријаве пребивалишта,5,1,0,6
ЧОКА,Упис по основу стицања пунолетства,2,3,2,7
ШАБАЦ - ГРАД,Брисање по основу одјаве пребивалишта,21,22,29,72
ШАБАЦ - ГРАД,Брисање по основу отпуста из држављанства,0,7,21,28
ШАБАЦ - ГРАД,Брисање по основу смрти лица,35,23,30,88
ШАБАЦ - ГРАД,Промена адресе пребивалишта,140,79,56,275
ШАБАЦ - ГРАД,Промена личних података,8,13,6,27
ШАБАЦ - ГРАД,Упис по основу пријаве пребивалишта,30,18,41,89
ШАБАЦ - ГРАД,Упис по основу стицања пунолетства,17,16,16,49
ШИД,Брисање по основу губитка пословне способности,0,0,1,1
ШИД,Брисање по основу одјаве пребивалишта,7,4,11,22
ШИД,Брисање по основу смрти лица,4,21,0,25
ШИД,Брисање по службеној дужности,0,1,1,2
ШИД,Промена адресе пребивалишта,0,20,14,34
ШИД,Промена личних података,1,4,0,5
ШИД,Упис по основу пријаве пребивалишта,0,13,4,17
ШИД,Упис по основу стицања пунолетства,0,15,4,19
ШТРПЦЕ,Брисање боравишта интерно расељеног лица,0,1,0,1
ШТРПЦЕ,Брисање по основу одјаве пребивалишта,0,1,1,2
ШТРПЦЕ,Брисање по основу смрти лица,1,1,1,3
ШТРПЦЕ,Упис по основу пријаве пребивалишта,0,0,2,2
ШТРПЦЕ,Упис по основу стицања пунолетства,2,0,2,4
УКУПНО,,12342,16110,16878,45330
